Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1954-04-01,-0.98,1.53,-0.47,2.12,-3.37,1.04,0.7366666666666667,-3.25,0.07,-1.45,0.02,-2.33,0.67,-1.04,-0.34,-0.27,2.96,1.32,0.47,0.12,0.17
1954-07-01,0.61,0.08,1.04,-0.58,-2.8,2.41,0.5,-1.96,3.02,0.94,0.04,-2.52,0.36,-0.28,1.29,1.09,3.18,1.32,0.6766666666666667,0.84,0.02
1954-10-01,1.42,2.08,0.01,0.71,-0.57,1.48,1.51,-0.42,2.9,-0.22,0.06,-1.69,0.48,1.11,1.74,0.04,5.09,1.44,0.35333333333333333,0.16,-0.03
1955-01-01,3.88,3.25,0.27,0.57,-0.95,2.54,1.2233333333333334,0.34,6.42,-0.95,0.05,0.03,-0.39,-0.98,1.06,0.78,5.55,1.76,0.49666666666666665,1.3,0.45
1955-04-01,1.42,2.05,1.87,-0.43,-1.07,2.66,1.0833333333333333,-0.66,4.08,-0.94,0.13,-1.64,-1.37,0.57,1.84,2.33,4.63,0.33,0.0,0.4,0.33
1955-07-01,-0.39,1.26,1.44,1.04,0.82,1.46,0.8766666666666666,0.79,1.06,-0.33,0.15,0.62,0.7,0.2,0.63,2.0,2.96,-0.55,0.3433333333333333,-0.03,0.42
1955-10-01,1.33,-1.01,0.74,0.05,-1.82,0.21,-0.0366666666666667,-1.63,1.55,-0.61,0.21,-1.39,-0.56,-0.43,1.97,1.22,3.07,-1.01,0.8733333333333334,0.19,0.27
1956-01-01,-0.9,-1.71,-1.16,0.8,-0.21,-1.22,-0.14333333333333334,0.13,-2.11,-0.73,0.21,-0.1,0.07,-0.11,1.05,-0.61,0.37,-0.6,0.29,0.34,0.34
1956-04-01,-1.17,0.06,0.1,1.21,1.48,0.59,0.37000000000000005,1.89,-0.58,0.05,0.18,1.27,1.25,0.21,-0.32,0.74,0.78,-0.15,0.3066666666666667,0.4,0.46
1956-07-01,-0.57,-0.64,0.26,0.62,-0.85,-0.04,0.013333333333333327,-0.68,-0.61,-0.2,0.11,-0.09,0.43,-0.76,0.02,0.39,0.51,-0.43,0.30000000000000004,0.16,0.02
1956-10-01,-0.21,1.14,-0.02,0.88,1.97,-0.33,0.8333333333333334,2.3,-0.54,0.75,0.11,1.54,1.63,0.43,0.79,0.0,3.35,-0.33,0.8300000000000001,0.33,-0.09
1957-01-01,-0.9,0.63,0.43,1.31,1.12,-0.06,0.6866666666666666,1.9,-0.96,-1.33,-0.04,0.46,-0.01,0.66,0.6,0.23,1.65,-0.29,-0.14333333333333334,0.78,-0.16
1957-04-01,0.49,-0.87,-0.07,-0.62,-0.68,-0.55,-0.41333333333333333,-0.42,-0.06,-0.18,0.01,0.43,-0.8,-1.12,0.39,-0.09,0.41,-0.47,0.2833333333333333,0.26,-0.02
1957-07-01,0.75,-0.22,0.87,-0.56,0.4,0.68,0.26,0.86,1.43,0.3,0.06,0.51,-0.26,-0.11,1.42,0.93,1.94,-0.25,0.2966666666666667,0.47,0.0
