Date,Average of GDP and GDI,Gross domestic income (GDI),Real disposable personal income
1967-01-01,2.9,2.9,4.2
1967-04-01,2.7,2.7,4.8
1967-07-01,2.9,3.1,4.5
1967-10-01,3.0,3.2,4.0
1968-01-01,4.0,4.2,4.2
1968-04-01,5.3,5.1,5.1
1968-07-01,5.4,5.5,4.4
1968-10-01,5.0,5.1,4.5
1969-01-01,4.5,4.6,3.0
1969-04-01,3.4,3.7,2.3
1969-07-01,3.0,3.0,4.1
1969-10-01,2.1,2.1,4.1
1970-01-01,0.4,0.4,4.9
1970-04-01,0.0,-0.2,5.2
1970-07-01,0.2,0.0,4.7
1970-10-01,-0.5,-0.8,3.7
1971-01-01,2.3,1.9,4.7
1971-04-01,2.8,2.5,4.9
1971-07-01,2.8,2.6,3.8
1971-10-01,4.6,4.8,5.2
1972-01-01,3.9,4.3,3.6
1972-04-01,5.1,4.9,3.2
1972-07-01,5.6,5.8,4.7
1972-10-01,7.0,7.1,7.6
1973-01-01,7.5,7.5,7.9
1973-04-01,6.5,6.7,7.7
1973-07-01,5.0,5.3,6.2
1973-10-01,3.9,3.8,3.2
1974-01-01,0.9,1.1,0.7
1974-04-01,0.0,0.2,-1.1
1974-07-01,-0.7,-0.7,-1.4
1974-10-01,-2.4,-2.9,-2.6
1975-01-01,-2.8,-3.2,-1.1
1975-04-01,-1.9,-2.0,4.4
1975-07-01,0.6,0.5,2.8
1975-10-01,2.6,2.7,3.8
1976-01-01,6.1,6.1,5.2
1976-04-01,6.0,5.9,1.1
1976-07-01,4.8,4.5,3.4
1976-10-01,4.1,3.8,3.2
1977-01-01,3.0,2.8,2.2
1977-04-01,4.5,4.6,2.6
1977-07-01,5.7,5.7,3.2
1977-10-01,5.5,6.0,4.5
1978-01-01,4.8,5.5,5.1
1978-04-01,6.1,6.1,5.2
1978-07-01,5.1,5.0,4.6
1978-10-01,6.0,5.4,3.3
1979-01-01,6.1,5.6,3.7
1979-04-01,2.3,2.0,1.7
1979-07-01,1.9,1.4,1.4
1979-10-01,1.0,0.8,1.0
1980-01-01,0.7,-0.1,0.1
1980-04-01,-1.0,-1.2,0.2
1980-07-01,-1.1,-0.6,0.8
1980-10-01,0.6,1.3,1.9
1981-01-01,1.9,2.2,1.4
1981-04-01,3.4,3.9,2.3
1981-07-01,4.5,4.6,3.4
1981-10-01,1.2,1.2,2.1
1982-01-01,-1.3,-0.4,2.5
1982-04-01,-0.5,0.0,3.1
1982-07-01,-2.2,-1.8,1.5
1982-10-01,-1.3,-1.2,1.7
1983-01-01,1.0,0.6,2.5
1983-04-01,2.6,1.9,2.6
1983-07-01,4.7,3.7,3.6
1983-10-01,7.3,6.6,5.5
1984-01-01,8.5,8.4,6.4
1984-04-01,8.2,8.3,7.4
1984-07-01,7.4,8.0,7.2
1984-10-01,6.1,6.7,5.8
1985-01-01,4.6,4.7,3.5
1985-04-01,3.7,3.8,3.9
1985-07-01,4.1,3.9,2.3
1985-10-01,3.8,3.4,2.6
1986-01-01,3.8,3.5,4.2
1986-04-01,3.4,3.1,3.5
1986-07-01,2.8,2.5,4.3
1986-10-01,2.8,2.7,3.2
1987-01-01,2.7,2.8,2.6
1987-04-01,3.7,4.1,0.3
1987-07-01,4.1,5.0,1.5
1987-10-01,5.0,5.5,3.0
1988-01-01,5.0,5.7,3.9
1988-04-01,4.9,5.2,6.2
1988-07-01,4.4,4.7,5.4
1988-10-01,4.2,4.7,4.8
1989-01-01,4.2,4.1,4.3
1989-04-01,3.2,2.7,2.7
1989-07-01,3.1,2.2,2.4
1989-10-01,1.9,1.0,2.3
1990-01-01,2.1,1.3,2.0
1990-04-01,2.2,2.0,3.1
1990-07-01,1.6,1.6,2.4
1990-10-01,0.8,1.0,0.7
1991-01-01,-0.6,-0.2,0.3
1991-04-01,-0.5,-0.4,0.3
1991-07-01,-0.1,-0.1,0.6
1991-10-01,0.9,0.7,2.2
1992-01-01,2.8,2.6,3.9
1992-04-01,3.2,3.2,4.1
1992-07-01,3.5,3.3,4.1
1992-10-01,4.1,3.9,3.8
1993-01-01,2.5,1.8,2.2
1993-04-01,2.5,2.1,1.6
1993-07-01,2.1,2.0,1.2
1993-10-01,2.8,3.0,1.5
1994-01-01,3.7,3.9,1.7
1994-04-01,4.3,4.3,2.4
1994-07-01,4.7,5.1,3.0
1994-10-01,4.2,4.3,3.7
1995-01-01,3.8,4.2,3.9
1995-04-01,2.8,3.2,3.2
1995-07-01,3.1,3.5,3.5
1995-10-01,2.6,2.9,2.6
1996-01-01,3.1,3.6,2.7
1996-04-01,4.3,4.5,3.3
1996-07-01,4.1,4.2,3.2
1996-10-01,4.6,4.8,3.2
1997-01-01,4.6,4.8,3.1
1997-04-01,4.5,4.6,3.1
1997-07-01,5.0,5.3,3.5
1997-10-01,5.0,5.5,4.5
1998-01-01,5.1,5.3,5.8
1998-04-01,4.8,5.5,6.3
1998-07-01,4.7,5.3,6.1
1998-10-01,4.9,4.9,5.4
1999-01-01,5.1,5.3,4.3
1999-04-01,4.5,4.3,2.9
1999-07-01,4.3,3.9,2.6
1999-10-01,4.6,4.4,3.2
2000-01-01,4.6,5.0,3.9
2000-04-01,5.2,5.2,5.0
2000-07-01,4.5,5.1,5.7
2000-10-01,3.3,3.6,5.0
2001-01-01,2.4,2.7,4.0
2001-04-01,1.4,1.9,2.7
2001-07-01,0.5,0.4,3.7
2001-10-01,-0.1,-0.4,1.3
2002-01-01,0.5,-0.2,2.9
2002-04-01,1.1,0.8,3.8
2002-07-01,1.9,1.6,1.6
2002-10-01,2.6,3.2,4.0
2003-01-01,1.8,1.9,1.6
2003-04-01,1.9,1.8,1.9
2003-07-01,2.9,2.6,3.5
2003-10-01,3.5,2.7,3.2
