Date,Auto output,Autos,Domestic output of new autos,Exports,Final sales of domestic product,Final sales of motor vehicles to domestic purchasers,Gross government investment,Imports,Light trucks (including utility vehicles),Motor vehicle output,Net purchases of used autos and used light trucks,New motor vehicles,Other,Personal consumption expenditures,Private fixed investment,Private fixed investment in new autos and new light trucks,Sales of imported new autos,Truck output,Trucks,Used autos,Used light trucks (including utility vehicles)
1967-04-01,46.8,33.16,55.1,37.7,34.3,34.0,8.4,31.6,10.1,27.7,56.9,38.2,,46.6,8.5,,105.0,-23.8,46.35,56.9,27.75
1967-07-01,-3.7,2.54,-2.8,-4.1,-9.6,-8.1,-4.3,27.2,14.9,-7.6,-0.05000000000000071,-7.25,,-13.2,7.1,,39.7,-22.1,-1.2999999999999998,-0.2999999999999998,17.450000000000003
1967-10-01,2.5,19.740000000000002,-3.5,-23.9,-17.0,-13.4,-12.2,63.6,-17.5,4.7,-13.05,-17.4,,-12.5,-15.6,,0.9,14.5,-41.325,-11.9,-38.2
1968-01-01,89.7,70.94,96.4,99.6,75.5,73.9,-18.1,61.8,134.5,83.3,-4.850000000000001,93.6,,72.0,96.1,,60.1,58.2,174.67499999999998,-6.15,75.45
1968-04-01,15.2,15.88,21.3,-6.1,1.1,5.5,-8.0,80.3,25.7,23.1,9.45,5.8500000000000005,,4.9,8.6,,28.7,62.9,37.625,10.8,-18.150000000000002
1968-07-01,-11.4,21.439999999999998,-11.4,-23.4,20.8,25.7,-5.9,69.3,25.5,-12.6,37.0,23.450000000000003,,27.8,23.7,,56.9,-17.2,6.774999999999999,39.1,-6.15
1968-10-01,12.2,14.719999999999999,5.8,57.0,-0.5,0.0,-3.0,24.9,58.4,16.0,-8.9,7.7,,-7.1,21.0,,25.5,32.7,49.6,-9.600000000000001,25.75
1969-01-01,6.4,-9.24,8.2,-3.6,16.9,9.9,-0.5,-53.0,15.6,7.1,12.049999999999999,8.55,,9.1,13.0,,-11.6,10.2,11.45,12.149999999999999,23.799999999999997
1969-04-01,-34.2,50.28,-38.9,32.3,-13.2,-5.6,2.1,202.8,-9.2,-29.8,2.8500000000000005,-0.8000000000000003,,-10.3,5.7,,65.3,-10.8,92.72500000000001,2.5500000000000007,7.0
1969-07-01,44.3,7.18,52.5,-15.7,-0.2,2.5,-5.2,25.7,-0.9,44.4,16.15,2.0,,5.3,-3.2,,25.4,44.6,-2.5250000000000004,16.0,12.9
