Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Recreation services,Recreational goods and vehicles,Services,Transportation services
1959-02-01,0.26,0.61,-0.06,0.04,0.03,-0.09,0.1,0.09,-0.05,0.68,0.07,0.02,0.33,0.08,0.08,0.03,,,0.5,0.06,0.0,-0.06,0.07,1.18,1.1,0.29,0.01,0.02,0.36,0.01
1959-03-01,-0.12,0.05,-0.01,0.04,0.04,-0.26,-0.11,-0.06,0.0,0.81,0.07,0.02,0.1,0.08,0.08,0.03,,,0.12,0.76,0.0,1.14,0.05,1.21,1.13,0.06,0.01,-0.02,0.13,0.01
1959-04-01,-0.08,0.17,-0.1,0.04,0.03,0.02,0.0,0.02,-0.09,-0.55,0.06,0.01,0.15,0.03,0.02,0.02,,,0.16,-0.72,-0.01,-0.58,0.07,-0.28,-0.31,0.17,0.01,0.0,0.19,0.01
1959-05-01,0.41,0.06,0.1,0.04,0.03,0.43,0.1,0.07,0.12,0.84,0.07,0.01,0.33,0.08,0.08,0.02,,,-0.06,0.78,0.03,-0.18,0.08,0.67,0.59,0.3,0.02,0.03,0.37,0.02
1959-06-01,-0.01,0.16,0.08,0.04,0.02,0.03,0.17,0.14,0.05,0.03,0.06,0.01,0.3,0.03,0.06,0.02,,,-0.04,-0.13,0.03,-0.2,0.01,0.25,0.22,0.28,0.01,0.03,0.34,0.02
1959-07-01,-0.18,-0.19,0.01,0.01,0.01,-0.13,-0.07,-0.13,-0.02,-0.42,0.01,0.01,0.07,0.08,0.12,0.0,,,0.02,-0.23,-0.03,0.1,-0.01,-0.22,-0.3,-0.03,0.0,-0.05,0.08,0.02
1959-08-01,-0.12,0.31,-0.07,0.02,0.02,0.09,0.03,0.04,-0.1,0.41,0.01,0.0,0.17,0.09,0.12,-0.01,,,0.24,0.1,0.01,0.23,-0.02,0.58,0.5,0.08,0.0,0.02,0.19,0.02
1959-09-01,0.22,0.35,-0.04,0.01,0.03,0.05,0.1,0.03,-0.05,0.72,0.01,-0.01,0.27,0.09,0.11,-0.01,,,0.3,0.36,0.0,0.14,0.03,0.99,0.9,0.18,0.01,0.02,0.29,0.01
1959-10-01,-0.03,-0.8,0.1,0.02,0.03,0.01,-0.04,0.02,0.1,-0.79,0.01,-0.01,0.08,0.04,0.05,-0.01,,,-0.84,0.01,0.03,-0.07,0.04,-0.8,-0.84,0.07,0.01,-0.01,0.11,0.01
1959-11-01,-0.07,-0.04,0.09,0.02,0.03,-0.12,-0.03,-0.04,0.08,-0.21,0.01,-0.01,0.15,0.09,0.11,-0.01,,,0.03,-0.17,-0.02,-0.07,0.04,-0.01,-0.11,0.07,0.01,0.0,0.17,0.01
