Date,Nonfarm inventories to final sales,Nonfarm inventories to final sales of goods and structures,Private inventories to final sales
1988-04-01,2.75,4.26,3.17
1988-07-01,2.75,4.29,3.18
1988-10-01,2.75,4.29,3.17
1989-01-01,2.78,4.35,3.19
1989-04-01,2.76,4.31,3.16
1989-07-01,2.71,4.22,3.09
1989-10-01,2.73,4.29,3.12
1990-01-01,2.68,4.2,3.07
1990-04-01,2.68,4.24,3.06
1990-07-01,2.72,4.32,3.09
1990-10-01,2.73,4.36,3.11
1991-01-01,2.69,4.3,3.08
1991-04-01,2.61,4.2,2.98
1991-07-01,2.6,4.2,2.95
1991-10-01,2.61,4.26,2.96
1992-01-01,2.55,4.17,2.91
1992-04-01,2.54,4.16,2.9
1992-07-01,2.52,4.14,2.89
1992-10-01,2.48,4.08,2.83
1993-01-01,2.5,4.13,2.83
1993-04-01,2.49,4.11,2.82
1993-07-01,2.46,4.09,2.79
1993-10-01,2.43,4.01,2.76
1994-01-01,2.43,4.01,2.77
1994-04-01,2.45,4.05,2.77
1994-07-01,2.46,4.05,2.77
1994-10-01,2.48,4.08,2.79
1995-01-01,2.53,4.16,2.83
1995-04-01,2.54,4.21,2.84
1995-07-01,2.51,4.15,2.8
1995-10-01,2.49,4.12,2.79
1996-01-01,2.46,4.06,2.74
1996-04-01,2.42,3.99,2.71
1996-07-01,2.41,3.97,2.72
1996-10-01,2.38,3.93,2.67
1997-01-01,2.37,3.91,2.66
1997-04-01,2.36,3.9,2.64
1997-07-01,2.33,3.83,2.6
1997-10-01,2.34,3.86,2.6
