Date,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, recreation, accommodation, and food services",Construction,Domestic industries,Durable goods,"Educational services, health care, and social assistance",Employer contributions for government social insurance,"Finance and insurance, real estate, rental, and leasing",Government,Information,Manufacturing,Mining,Nondurable goods,"Other services, except government",Private industries,"Professional, and business services",Retail trade,Transportation and warehousing,Utilities,Wholesale trade
2012-01-01,3932.0,26644.0,27382.0,513293.0,37541.0,73608.0,513293.0,37415.0,80171.0,14938.0,55968.0,4635.0,18427.0,16201.0,433122.0,85040.0,36936.0,20056.0,3392.0,26975.0
2013-01-01,4243.0,27490.0,28941.0,526309.0,37836.0,76087.0,526309.0,38597.0,79928.0,15566.0,56569.0,4680.0,18733.0,16380.0,446381.0,88982.0,37497.0,20389.0,3501.0,27459.0
2014-01-01,4326.0,29012.0,30774.0,546421.0,38686.0,78906.0,546421.0,40182.0,81511.0,16165.0,57846.0,4977.0,19160.0,17168.0,464910.0,93436.0,38708.0,21519.0,3644.0,28249.0
2015-01-01,4206.0,30712.0,32720.0,569362.0,40206.0,82960.0,569362.0,41866.0,83503.0,16943.0,60011.0,4481.0,19805.0,17871.0,485858.0,98034.0,40489.0,22870.0,3829.0,28866.0
2016-01-01,4642.0,31849.0,34041.0,580946.0,40326.0,85811.0,580946.0,42753.0,84525.0,17443.0,60496.0,3787.0,20170.0,18147.0,496420.0,100467.0,40883.0,23224.0,4020.0,28859.0
2017-01-01,5000.0,33274.0,35915.0,604656.0,41298.0,89859.0,604656.0,45247.0,87069.0,18067.0,62097.0,4056.0,20799.0,18959.0,517587.0,105257.0,41623.0,24372.0,4123.0,29737.0
2018-01-01,4485.0,34285.0,37818.0,624789.0,42554.0,93133.0,624789.0,46333.0,90264.0,18755.0,63608.0,4358.0,21055.0,19628.0,534525.0,109906.0,42198.0,25854.0,4192.0,29972.0
2019-01-01,4574.0,36056.0,39586.0,650639.0,44097.0,97017.0,650639.0,48193.0,93364.0,19625.0,66093.0,4316.0,21996.0,20402.0,557275.0,115240.0,43004.0,28410.0,4273.0,30486.0
2020-01-01,4645.0,29189.0,38893.0,658716.0,42244.0,104028.0,658716.0,49570.0,100424.0,20003.0,64225.0,3532.0,21981.0,20703.0,558292.0,114909.0,44966.0,29454.0,4191.0,29984.0
2021-01-01,4863.0,36440.0,41863.0,706739.0,44146.0,106665.0,706739.0,53991.0,101225.0,22877.0,67437.0,3499.0,23291.0,22245.0,605513.0,126457.0,49769.0,33387.0,4396.0,31624.0
2022-01-01,5375.0,42269.0,45661.0,765340.0,48092.0,113490.0,765340.0,58138.0,105039.0,25226.0,73246.0,3980.0,25154.0,23803.0,660301.0,141816.0,50688.0,36366.0,4783.0,35461.0
2023-01-01,6656.0,45928.0,49370.0,821031.0,51469.0,125038.0,821031.0,62027.0,112572.0,26708.0,77610.0,4404.0,26141.0,25501.0,708460.0,150930.0,52256.0,38236.0,5305.0,38491.0
