Date,Distributive industries,Goods-producing industries,Government,Manufacturing,Private industries,Service industries,Wages and salaries
1947-01-01,33833.0,52310.0,17126.0,41213.0,101738.0,15595.0,118864.0
1947-04-01,34341.0,53418.0,17346.0,41957.0,103914.0,16155.0,121260.0
1947-07-01,35785.0,54290.0,17598.0,42321.0,106390.0,16315.0,123988.0
1947-10-01,36913.0,56958.0,17973.0,44353.0,110294.0,16423.0,128267.0
1948-01-01,36652.0,59379.0,18294.0,46128.0,113371.0,17340.0,131665.0
1948-04-01,37015.0,59846.0,18631.0,46428.0,114747.0,17886.0,133378.0
1948-07-01,38270.0,62419.0,19254.0,47992.0,118803.0,18114.0,138057.0
1948-10-01,38351.0,62648.0,19902.0,48032.0,119199.0,18200.0,139101.0
1949-01-01,37831.0,60307.0,20350.0,46392.0,116392.0,18254.0,136742.0
1949-04-01,38285.0,57769.0,20689.0,44472.0,114316.0,18262.0,135005.0
1949-07-01,37344.0,57149.0,21079.0,44364.0,112904.0,18411.0,133983.0
1949-10-01,36977.0,56043.0,21190.0,43324.0,112012.0,18992.0,133202.0
1950-01-01,37908.0,58389.0,21225.0,45371.0,115645.0,19348.0,136870.0
1950-04-01,39030.0,62574.0,21804.0,48405.0,121238.0,19634.0,143042.0
1950-07-01,41000.0,67157.0,22958.0,52018.0,128067.0,19909.0,151025.0
1950-10-01,41786.0,71183.0,24545.0,55470.0,133529.0,20560.0,158074.0
1951-01-01,43459.0,74087.0,26706.0,57711.0,138627.0,21081.0,165333.0
1951-04-01,44629.0,76695.0,28509.0,59768.0,142484.0,21160.0,170993.0
1951-07-01,44458.0,77023.0,30184.0,59750.0,143310.0,21829.0,173494.0
1951-10-01,45027.0,77714.0,31516.0,60198.0,145089.0,22348.0,176605.0
1952-01-01,45908.0,79979.0,32439.0,62039.0,148567.0,22680.0,181006.0
1952-04-01,46290.0,79759.0,33135.0,62188.0,148985.0,22936.0,182120.0
1952-07-01,47276.0,81545.0,33761.0,63517.0,152191.0,23370.0,185952.0
1952-10-01,48223.0,87285.0,34177.0,68985.0,159289.0,23781.0,193466.0
1953-01-01,48646.0,89680.0,34321.0,71136.0,162748.0,24422.0,197069.0
1953-04-01,49940.0,90789.0,34355.0,72399.0,165672.0,24943.0,200027.0
1953-07-01,50377.0,90285.0,34287.0,71750.0,165859.0,25197.0,200146.0
1953-10-01,50649.0,88246.0,34389.0,69726.0,164326.0,25431.0,198715.0
1954-01-01,50259.0,86295.0,34397.0,67926.0,162004.0,25450.0,196401.0
1954-04-01,50004.0,85419.0,34717.0,67135.0,161240.0,25818.0,195957.0
1954-07-01,50210.0,84567.0,35129.0,66529.0,161205.0,26428.0,196334.0
1954-10-01,50703.0,87047.0,35377.0,68705.0,164983.0,27233.0,200360.0
1955-01-01,51416.0,89519.0,35482.0,70754.0,168574.0,27639.0,204056.0
1955-04-01,52803.0,92566.0,36234.0,73147.0,173617.0,28248.0,209851.0
1955-07-01,54430.0,94285.0,37398.0,74592.0,177848.0,29132.0,215246.0
1955-10-01,55603.0,96753.0,37270.0,77062.0,182181.0,29825.0,219451.0
1956-01-01,57063.0,98006.0,37836.0,77549.0,185446.0,30376.0,223282.0
1956-04-01,57808.0,99999.0,38532.0,78595.0,188969.0,31161.0,227501.0
1956-07-01,57983.0,100876.0,39184.0,79308.0,190769.0,31910.0,229953.0
1956-10-01,58965.0,104270.0,39656.0,82504.0,195711.0,32475.0,235367.0
1957-01-01,59806.0,105049.0,40229.0,83243.0,198037.0,33182.0,238266.0
1957-04-01,60482.0,104753.0,40733.0,82832.0,198884.0,33649.0,239617.0
1957-07-01,61404.0,104853.0,41501.0,82897.0,200328.0,34071.0,241829.0
1957-10-01,61300.0,102869.0,41589.0,81088.0,198503.0,34334.0,240092.0
1958-01-01,60487.0,99175.0,42035.0,77861.0,194689.0,35027.0,236724.0
1958-04-01,60011.0,97415.0,43091.0,76331.0,193185.0,35759.0,236276.0
1958-07-01,61165.0,100514.0,46107.0,79036.0,197730.0,36051.0,243837.0
1958-10-01,62649.0,103960.0,45255.0,81648.0,203177.0,36568.0,248432.0
1959-01-01,63818.0,107467.0,45456.0,84843.0,208555.0,37271.0,254011.0
1959-04-01,65222.0,111285.0,45844.0,88145.0,214712.0,38205.0,260556.0
1959-07-01,65433.0,109994.0,46236.0,87204.0,214663.0,39236.0,260899.0
1959-10-01,66115.0,110735.0,46680.0,87556.0,217222.0,40372.0,263902.0
1960-01-01,67668.0,114786.0,47712.0,91449.0,223037.0,40583.0,270749.0
1960-04-01,68904.0,114532.0,48636.0,90769.0,224762.0,41326.0,273398.0
1960-07-01,68925.0,113022.0,49872.0,89281.0,224092.0,42145.0,273964.0
1960-10-01,68823.0,111240.0,50508.0,87605.0,222800.0,42737.0,273308.0
1961-01-01,68549.0,110584.0,51104.0,86969.0,222685.0,43552.0,273789.0
1961-04-01,68976.0,112762.0,51800.0,88949.0,225833.0,44095.0,277633.0
1961-07-01,70078.0,114793.0,52792.0,90559.0,229460.0,44590.0,282252.0
1961-10-01,70949.0,117830.0,54188.0,93172.0,234215.0,45437.0,288403.0
1962-01-01,72030.0,119638.0,55300.0,94911.0,237976.0,46308.0,293276.0
1962-04-01,73116.0,122292.0,55976.0,96932.0,242771.0,47363.0,298747.0
1962-07-01,73605.0,123067.0,56488.0,97422.0,244687.0,48015.0,301175.0
1962-10-01,74321.0,123718.0,57624.0,97906.0,246610.0,48571.0,304234.0
1963-01-01,75024.0,124660.0,58620.0,98799.0,249342.0,49659.0,307962.0
1963-04-01,76369.0,126408.0,59380.0,100009.0,252976.0,50200.0,312356.0
1963-07-01,77306.0,128349.0,60180.0,101248.0,256665.0,51011.0,316845.0
1963-10-01,78374.0,130048.0,61924.0,102903.0,260316.0,51894.0,322240.0
1964-01-01,79861.0,131958.0,63124.0,104310.0,265098.0,53278.0,328222.0
1964-04-01,81193.0,135032.0,64160.0,106519.0,270673.0,54448.0,334833.0
1964-07-01,82812.0,137586.0,65660.0,108734.0,275749.0,55351.0,341409.0
1964-10-01,84262.0,139232.0,66756.0,109629.0,279931.0,56437.0,346687.0
1965-01-01,85356.0,142930.0,67452.0,112802.0,285362.0,57077.0,352814.0
