Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-01-01,51.892,35.341,19.531,9.668,14.837,20.102666666666668,7.184,11.148,15.866,13.931,22.342,9.616,9.134,14.928,19.181,11.557,7.186,11.072333333333333,5.186,5.236
1947-04-01,52.369,36.836,20.977,9.555,15.396,21.375333333333334,7.166,11.3,16.473,14.912,22.569,9.572,8.691,15.074,19.763,11.649,7.584,10.873,5.268,5.303
1947-07-01,52.662,37.664,22.045,9.169,15.781,22.403666666666666,7.029,11.478,17.022,15.711,23.036,8.825,9.752,15.346,20.284,11.866,7.751,10.835333333333333,5.38,5.489
1947-10-01,53.348,38.013,22.589,9.184,16.105,23.128,7.118,11.714,17.227,16.247,23.561,8.82,9.905,15.81,20.652,12.162,7.943,10.883666666666665,5.552,5.673
1948-01-01,53.756,37.805,22.732,9.259,16.265,23.42533333333333,7.252,11.849,17.448,16.626,23.622,9.04,9.304,16.07,20.762,12.297,8.085,11.063666666666668,5.757,5.824
1948-04-01,54.461,38.916,22.61,9.336,16.62,23.464333333333332,7.35,11.989,17.823,16.682,24.015,9.187,9.143,16.23,21.343,12.424,8.173,11.136333333333333,5.883,5.984
1948-07-01,56.356,40.532,22.343,9.433,17.124,23.375,7.497,12.198,18.313,16.518,24.361,9.327,9.116,16.388,22.074,12.614,8.36,11.204,6.094,6.138
1948-10-01,56.459,41.266,21.997,9.439,17.309,23.019666666666666,7.543,12.193,18.418,16.253,24.254,9.367,9.025,16.218,22.373,12.574,8.405,11.216999999999999,6.188,6.195
1949-01-01,56.269,41.205,21.608,9.735,17.278,22.58366666666667,7.658,12.153,18.363,15.887,24.189,9.538,9.668,15.971,22.22,12.475,8.471,11.153666666666666,6.123,6.09
1949-04-01,55.9,41.451,21.206,9.726,17.254,22.221,7.608,12.078,18.33,15.722,24.111,9.51,9.717,15.766,22.186,12.399,8.461,11.149333333333333,6.027,6.006
1949-07-01,55.22,41.313,20.871,9.648,17.067,21.93133333333333,7.563,11.991,18.139,15.654,24.064,9.458,9.573,15.587,22.101,12.327,8.264,11.154333333333334,6.013,5.975
1949-10-01,55.154,40.855,20.646,9.833,17.005,21.79733333333333,7.629,11.988,18.062,15.715,24.055,9.617,9.829,15.469,21.972,12.317,8.268,11.182,5.973,5.987
1950-01-01,54.986,40.982,20.311,9.891,17.002,21.747333333333334,7.625,11.954,18.039,16.009,24.058,9.654,9.953,15.371,21.998,12.297,8.256,11.139000000000001,5.916,5.975
1950-04-01,55.408,41.674,20.351,9.778,17.276,21.948666666666668,7.594,12.004,18.306,16.35,24.322,9.603,9.69,15.442,22.211,12.356,8.468,11.200666666666665,5.956,5.956
1950-07-01,56.176,42.544,20.539,9.894,17.76,22.45,7.736,12.254,18.815,16.877,24.858,9.813,9.48,15.885,22.681,12.614,8.79,11.315333333333333,6.124,6.084
1950-10-01,57.103,43.779,20.917,9.841,18.093,23.124666666666666,7.803,12.45,19.236,17.661,25.437,9.846,9.059,16.249,23.428,12.839,8.775,11.444666666666668,6.3,6.342
