Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures (PCE),Recreation services,Recreational goods and vehicles,Services,Transportation services
1947-01-01,44.63,51.892,,31.784,6.156,13.226,7.359,48.665,6.783,22.699,,3.407,6.67,,8.041,,,,21.145,14.928,31.938,12.334,7.274,,,,11.557,8.593,314.697,7.029,7.292
1947-04-01,45.512,52.369,,32.047,6.202,13.261,7.375,49.32,6.975,22.917,,3.48,6.706,,8.083,,,,21.162,15.074,32.307,12.44,7.319,,,,11.649,8.612,318.534,7.068,7.271
1947-07-01,45.948,52.662,,33.329,6.404,13.544,7.524,49.807,7.188,23.267,,3.669,6.863,,8.243,,,,21.482,15.346,31.649,12.604,7.517,,,,11.866,8.775,317.415,7.237,7.274
1947-10-01,46.862,53.348,,34.164,6.507,14.033,7.782,50.461,7.513,23.88,,3.749,7.018,,8.475,,,,21.792,15.81,31.852,12.834,7.62,,,,12.162,8.941,322.419,7.401,7.293
1948-01-01,47.826,53.756,,34.577,6.526,14.17,7.841,50.767,7.857,24.223,,3.725,7.058,,8.551,,,,22.03,16.07,31.86,13.024,7.678,,,,12.297,8.844,326.079,7.444,7.359
1948-04-01,48.6,54.461,,35.215,6.608,14.234,7.87,51.422,8.066,24.482,,3.764,7.125,,8.606,,,,22.297,16.23,32.194,13.14,7.767,,,,12.424,8.944,331.949,7.518,7.555
1948-07-01,48.881,56.356,,35.833,6.72,14.325,7.925,52.131,8.209,24.859,,3.818,7.232,,8.68,,,,24.034,16.388,32.457,13.412,7.871,,,,12.614,9.139,341.127,7.631,8.005
1948-10-01,48.886,56.459,,35.842,6.742,14.003,7.773,52.28,8.268,24.673,,3.804,7.259,,8.756,,,,23.839,16.218,32.659,13.428,7.902,,,,12.574,9.268,347.675,7.659,8.328
1949-01-01,47.758,56.269,,35.528,6.725,13.808,7.697,51.441,8.242,24.368,,3.807,7.256,,8.836,,,,23.938,15.971,32.744,13.222,7.917,,,,12.475,9.05,350.593,7.654,8.287
1949-04-01,46.78,55.9,,35.53,6.739,13.669,7.654,50.43,8.23,24.091,,3.826,7.272,,8.867,,,,24.004,15.766,32.625,12.989,7.945,,,,12.399,9.178,350.742,7.669,8.288
1949-07-01,45.948,55.22,,35.679,6.769,13.516,7.607,49.979,8.214,23.812,,3.838,7.294,,8.907,,,,23.738,15.587,31.659,12.872,7.997,,,,12.327,9.278,347.74,7.694,8.323
1949-10-01,45.343,55.154,,35.943,6.82,13.439,7.608,49.854,8.191,23.671,,3.851,7.347,,8.986,,,,23.749,15.469,31.51,12.763,8.054,,,,12.317,9.332,348.534,7.749,8.497
1950-01-01,45.104,54.986,,36.199,6.86,13.305,7.584,49.595,8.199,23.544,,3.862,7.377,,9.089,,,,23.786,15.371,31.357,12.742,8.08,,,,12.297,9.115,344.525,7.781,8.565
1950-04-01,45.182,55.408,,36.404,6.839,13.403,7.653,50.191,8.216,23.674,,3.867,7.403,,9.127,,,,23.978,15.442,31.454,12.769,8.076,,,,12.356,9.226,342.508,7.81,8.584
1950-07-01,46.235,56.176,,37.281,6.889,13.848,7.88,51.794,8.363,24.257,,3.922,7.514,,9.203,,,,23.938,15.885,31.739,13.146,8.193,,,,12.614,9.374,347.445,7.93,8.761
1950-10-01,47.825,57.103,,38.48,6.946,14.135,7.986,53.654,8.466,24.768,,3.995,7.606,,9.257,,,,23.99,16.249,32.141,13.42,8.336,,,,12.839,9.423,350.824,8.031,8.987
1951-01-01,49.573,59.215,,39.624,6.948,14.942,8.337,56.111,8.564,25.777,,4.06,7.742,,9.378,,,,24.736,16.935,33.435,13.781,8.474,,,,13.247,9.346,359.624,8.178,9.155
1951-04-01,50.339,59.609,,40.166,6.929,15.085,8.351,56.855,8.544,25.998,,4.085,7.797,,9.458,,,,24.908,17.088,33.469,13.871,8.541,,,,13.353,9.542,355.37,8.238,9.286
1951-07-01,50.357,59.632,,40.429,6.941,15.043,8.292,56.697,8.486,25.962,,4.08,7.839,,9.552,,,,24.988,17.052,33.94,13.863,8.604,,,,13.371,9.702,352.147,8.282,9.414
1951-10-01,50.183,60.207,,40.573,7.026,15.384,8.461,56.517,8.573,26.273,,4.138,7.961,,9.699,,,,25.958,17.268,33.623,13.953,8.742,,,,13.548,9.78,346.851,8.408,9.534
1952-01-01,49.821,60.618,,40.453,7.14,15.458,8.512,56.432,8.631,26.336,,4.21,8.02,,9.781,,,,26.583,17.285,33.48,13.917,8.817,,,,13.606,9.663,344.273,8.467,9.477
1952-04-01,48.895,59.904,,40.279,7.279,15.455,8.525,55.824,8.673,26.184,,4.265,8.086,,9.849,,,,26.13,17.22,33.424,13.906,8.87,,,,13.603,9.881,341.056,8.534,9.585
1952-07-01,48.412,60.524,,40.314,7.478,15.543,8.587,55.964,8.738,26.281,,4.333,8.174,,9.905,,,,26.846,17.25,33.426,13.932,8.943,,,,13.692,10.113,340.683,8.624,9.796
1952-10-01,49.932,59.103,,40.091,7.657,15.461,8.565,55.69,8.746,26.212,,4.36,8.24,,10.024,,,,25.17,17.322,33.826,13.925,8.991,,,,13.715,10.111,338.835,8.69,9.925
1953-01-01,50.004,59.678,,40.645,7.957,15.24,8.471,55.738,8.834,26.19,,4.452,8.324,,10.156,,,,25.905,17.247,33.719,14.036,9.142,,,,13.766,9.992,336.527,8.78,9.949
1953-04-01,49.082,59.746,,40.74,8.135,15.135,8.438,55.992,8.944,26.114,,4.462,8.388,,10.252,,,,25.945,17.174,33.548,14.181,9.183,,,,13.786,10.286,336.548,8.846,10.079
1953-07-01,48.865,59.363,,41.163,8.312,15.166,8.479,56.291,9.129,26.11,,4.516,8.498,,10.405,,,,25.355,17.21,33.749,14.167,9.276,,,,13.861,10.563,338.182,8.961,10.224
1953-10-01,48.644,59.479,,41.49,8.414,15.172,8.506,56.278,9.209,26.117,,4.554,8.583,,10.544,,,,25.545,17.205,33.753,14.126,9.337,,,,13.921,10.747,336.254,9.05,10.344
1954-01-01,49.206,59.953,,41.915,8.47,15.201,8.544,56.081,9.204,26.235,,4.621,8.631,,10.605,,,,26.201,17.262,33.825,14.125,9.414,,,,13.991,10.57,334.112,9.102,10.368
1954-04-01,49.132,58.447,,41.92,8.472,15.297,8.62,56.029,9.207,26.134,,4.639,8.648,,10.599,,,,24.761,17.319,33.277,14.158,9.359,,,,13.972,10.741,328.847,9.119,10.467
1954-07-01,49.502,57.489,,42.054,8.496,15.138,8.566,55.79,9.157,25.948,,4.66,8.663,,10.618,,,,24.1,17.25,32.604,14.176,9.37,,,,13.926,10.949,322.979,9.135,10.52
1954-10-01,49.244,57.154,,42.292,8.551,15.027,8.544,55.341,9.135,25.816,,4.687,8.7,,10.661,,,,24.132,17.169,32.289,14.201,9.414,,,,13.912,11.136,318.288,9.175,10.607
1955-01-01,49.065,57.51,,42.653,8.65,15.01,8.579,55.324,9.184,25.853,,4.77,8.749,,10.728,,,,24.519,17.169,32.6,14.257,9.466,,,,13.957,10.845,317.558,9.227,10.649
1955-04-01,49.016,57.792,,42.787,8.685,14.906,8.555,55.298,9.233,25.83,,4.793,8.78,,10.775,,,,24.904,17.12,32.532,14.266,9.479,,,,13.971,11.068,315.195,9.26,10.712
1955-07-01,49.238,58.342,,43.202,8.736,14.855,8.546,55.477,9.315,25.916,,4.817,8.821,,10.799,,,,25.377,17.137,32.58,14.319,9.551,,,,14.026,11.392,315.715,9.304,10.765
1955-10-01,49.231,58.497,,43.872,8.82,14.785,8.516,55.486,9.362,25.922,,4.882,8.87,,10.835,,,,25.544,17.126,32.622,14.404,9.649,,,,14.064,11.539,315.057,9.359,10.838
1956-01-01,49.561,58.72,,44.439,8.895,14.769,8.504,55.359,9.407,25.995,,4.949,8.919,,10.877,,,,25.784,17.167,32.72,14.476,9.762,,,,14.122,11.338,315.862,9.413,10.99
1956-04-01,49.895,58.846,,44.79,8.928,14.957,8.612,55.561,9.469,26.188,,4.959,8.97,,10.907,,,,25.742,17.327,32.866,14.552,9.805,,,,14.217,11.518,317.942,9.467,11.105
1956-07-01,50.31,59.697,,45.33,8.992,15.114,8.714,55.95,9.655,26.473,,4.991,9.044,,10.989,,,,26.435,17.493,33.028,14.587,9.9,,,,14.356,11.606,320.302,9.546,11.15
1956-10-01,50.519,60.476,,45.951,9.077,15.147,8.755,56.543,9.721,26.623,,5.048,9.097,,11.017,,,,26.943,17.546,33.086,14.61,9.995,,,,14.44,11.719,323.685,9.605,11.179
1957-01-01,50.666,60.962,,46.645,9.2,15.287,8.865,56.476,9.924,26.86,,5.118,9.179,,11.067,,,,27.516,17.708,32.926,14.737,10.089,,,,14.57,11.786,324.351,9.693,11.328
1957-04-01,50.748,61.805,,46.947,9.251,15.345,8.9,56.768,10.041,27.065,,5.15,9.221,,11.092,,,,28.123,17.804,33.198,14.878,10.137,,,,14.662,11.917,329.149,9.738,11.461
