Date,Residual
2002-01-01,-2671.0
2002-04-01,-2686.0
2002-07-01,-551.0
2002-10-01,-4330.0
2003-01-01,-2390.0
2003-04-01,-4268.0
2003-07-01,-1074.0
2003-10-01,-762.0
2004-01-01,-226.0
2004-04-01,953.0
2004-07-01,1505.0
2004-10-01,-94.0
2005-01-01,2930.0
2005-04-01,2941.0
2005-07-01,5918.0
2005-10-01,1575.0
2006-01-01,4755.0
2006-04-01,5179.0
2006-07-01,3675.0
2006-10-01,-269.0
2007-01-01,-25394.0
2007-04-01,-22998.0
2007-07-01,-19462.0
2007-10-01,-11420.0
2008-01-01,-13161.0
2008-04-01,-22133.0
2008-07-01,-23570.0
2008-10-01,-31077.0
2009-01-01,-32144.0
2009-04-01,-28947.0
2009-07-01,-22632.0
2009-10-01,-14713.0
2010-01-01,-17631.0
2010-04-01,-20822.0
2010-07-01,-13072.0
2010-10-01,-3461.0
2011-01-01,-7468.0
2011-04-01,-16470.0
2011-07-01,-12449.0
2011-10-01,-3264.0
2012-01-01,-135.0
2012-04-01,-12745.0
2012-07-01,-4565.0
2012-10-01,-3868.0
2013-01-01,-52.0
2013-04-01,-10991.0
2013-07-01,-2073.0
2013-10-01,5887.0
2014-01-01,3909.0
2014-04-01,-6086.0
2014-07-01,2959.0
2014-10-01,-754.0
2015-01-01,60.0
2015-04-01,1899.0
2015-07-01,-2401.0
2015-10-01,-10283.0
2016-01-01,-5707.0
2016-04-01,-2326.0
2016-07-01,-1536.0
2016-10-01,-8476.0
2017-01-01,-248.0
2017-04-01,2422.0
2017-07-01,354.0
2017-10-01,-2528.0
2018-01-01,1283.0
2018-04-01,3022.0
2018-07-01,-126.0
2018-10-01,-8069.0
2019-01-01,908.0
2019-04-01,1341.0
2019-07-01,1389.0
2019-10-01,-9440.0
2020-01-01,2660.0
2020-04-01,1339.0
2020-07-01,-10312.0
2020-10-01,-17033.0
2021-01-01,-3512.0
2021-04-01,-1808.0
2021-07-01,2690.0
2021-10-01,-11045.0
2022-01-01,3277.0
2022-04-01,4200.0
2022-07-01,-1611.0
2022-10-01,-29496.0
2023-01-01,-14033.0
2023-04-01,-7993.0
2023-07-01,-5496.0
2023-10-01,-25817.0
2024-01-01,-4536.0
2024-04-01,-2710.0
2024-07-01,-2124.0
2024-10-01,-25266.0
