Date,Goods-producing industries,Government,Manufacturing,Other services-producing industries,Private industries,Services-producing industries,"Trade, transportation, and utilities",Wages and salaries
2001-01-01,1067415.0,797897.0,742482.0,2238990.0,4158833.0,3091418.0,852428.0,4956730.0
2001-02-01,1070706.0,802033.0,740635.0,2258986.0,4182361.0,3111656.0,852670.0,4984394.0
2001-03-01,1071616.0,805423.0,737801.0,2266289.0,4191831.0,3120216.0,853927.0,4997255.0
2001-04-01,1063878.0,809281.0,733392.0,2249139.0,4162677.0,3098799.0,849660.0,4971959.0
2001-05-01,1054002.0,813002.0,721872.0,2242285.0,4145007.0,3091005.0,848720.0,4958009.0
2001-06-01,1045189.0,819650.0,712539.0,2240171.0,4134554.0,3089365.0,849193.0,4954204.0
2001-07-01,1043214.0,824552.0,711116.0,2230118.0,4118564.0,3075350.0,845231.0,4943116.0
2001-08-01,1029825.0,829010.0,698299.0,2231747.0,4105500.0,3075675.0,843928.0,4934510.0
2001-09-01,1025755.0,833163.0,694968.0,2228260.0,4097004.0,3071249.0,842989.0,4930166.0
2001-10-01,1022193.0,838190.0,691697.0,2230036.0,4092038.0,3069845.0,839809.0,4930228.0
2001-11-01,1020046.0,843948.0,689451.0,2233635.0,4094872.0,3074826.0,841191.0,4938820.0
2001-12-01,1018585.0,847827.0,686237.0,2237340.0,4096401.0,3077816.0,840476.0,4944228.0
2002-01-01,1010990.0,851550.0,678809.0,2235057.0,4086774.0,3075784.0,840727.0,4938325.0
2002-02-01,1011759.0,854814.0,678801.0,2232548.0,4084694.0,3072935.0,840387.0,4939508.0
2002-03-01,1015759.0,859073.0,682935.0,2239798.0,4100707.0,3084948.0,845149.0,4959780.0
2002-04-01,1014047.0,862838.0,683041.0,2256279.0,4114389.0,3100341.0,844062.0,4977226.0
2002-05-01,1016354.0,868564.0,686625.0,2262655.0,4126609.0,3110255.0,847600.0,4995174.0
2002-06-01,1018910.0,873096.0,688659.0,2279622.0,4149457.0,3130546.0,850924.0,5022553.0
