Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Private fixed investment in intellectual property products,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1929-01-01,,,24.026,,,,,5.292,,,,,8.607,,,11.11,,,,,,,,0.396,0.479,,,,,12.367,
1930-01-01,,,21.291,,,,,5.064,,,,,6.641,,,9.848,,,,,,,,0.399,0.531,,,,,12.947,
1931-01-01,,,20.041,,,,,4.151,,,,,3.515,,,9.443,,,,,,,,0.383,0.643,,,,,10.421,
1932-01-01,,,17.778,,,,,3.965,,,,,1.77,,,8.685,,,,,,,,0.372,0.641,,,,,11.153,
1933-01-01,,,14.506,,,,,4.219,,,,,1.589,,,8.089,,,,,,,,0.388,0.649,,,,,13.491,
1934-01-01,,,17.305,,,,,4.889,,,,,2.007,,,8.586,,,,,,,,0.446,0.738,,,,,15.549,
1935-01-01,,,19.346,,,,,5.525,,,,,2.486,,,9.161,,,,,,,,0.493,0.792,,,,,17.632,
1936-01-01,,,20.839,,,,,6.568,,,,,2.738,,,9.678,,,,,,,,0.551,0.806,,,,,21.87,
1937-01-01,,,23.297,,,,,7.106,,,,,2.831,,,10.13,,,,,,,,0.58,0.81,,,,,23.563,
1938-01-01,,,23.485,,,,,7.422,,,,,3.41,,,10.736,,,,,,,,0.624,0.916,,,,,24.623,
1939-01-01,,,22.459,,,,,7.364,,,,,4.421,,,11.374,,,,,,,,0.634,0.967,,,,,24.069,
1940-01-01,,,24.933,,,,,7.17,,,,,4.449,,,12.074,,,,,,,,0.663,1.117,,,,,22.324,
1941-01-01,,,26.905,,,,,8.441,,,,,6.808,,,13.017,,,,,,,,0.865,1.634,,,,,26.445,
1942-01-01,,,30.866,,,,,8.185,,,,,7.386,,,14.31,,,,,,,,0.825,1.532,,,,,23.776,
1943-01-01,,,31.454,,,,,9.128,,,,,8.867,,,15.605,,,,,,,,0.713,1.002,,,,,27.101,
1944-01-01,,,35.905,,,,,9.179,,,,,8.942,,,16.944,,,,,,,,0.711,0.987,,,,,25.988,
1945-01-01,,,38.973,,,,,11.032,,,,,12.92,,,17.926,,,,,,,,0.801,1.006,,,,,31.896,
1946-01-01,,,30.348,,,,,11.372,,,,,16.406,,,19.678,,,,,,,,0.975,1.552,,,,,33.977,
1947-01-01,,,31.754,,,,,9.987,,,,,13.244,,,20.784,,,,,,,,0.976,1.782,,,,,28.572,
1948-01-01,,,30.107,,,,,9.324,,,,,12.314,,,20.965,,,,,,,,0.954,1.81,,,,,26.344,
1949-01-01,,,28.987,,,,,10.362,,0.29,,,12.12,,,21.52,,,,,,,,0.936,1.578,,,,,30.34,
1950-01-01,,,29.644,,,,,10.321,,0.838,,,13.712,,,22.456,,,,,,,,1.014,1.858,,,,,27.457,
1951-01-01,,,29.591,,,,,9.224,,1.775,,,14.954,,,22.978,,,,,,,,0.996,1.97,,,,,18.951,
1952-01-01,,,29.022,,,,,10.085,,2.7,,,16.452,,,22.982,,,,,,,,1.244,2.679,,,,,19.442,
1953-01-01,,,29.409,,,,,11.313,,3.441,,,17.384,,,24.094,,,,,,,,1.503,3.373,,,,,21.972,
1954-01-01,,,29.899,,,,,11.761,,4.437,,,17.642,,,25.651,,,,,,,,1.582,3.575,,,,,20.262,
1955-01-01,,,32.612,,,,,13.679,,5.553,,,19.56,,,26.568,,,,,,,,1.717,3.727,,,,,23.738,
1956-01-01,,,35.534,,,,,13.414,,6.761,,,22.024,,,27.476,,,,,,,,2.001,4.761,,,,,16.852,
