Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Private fixed investment in structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
2009-01-01,577.0,,,10083.0,92047.0,15981.0,126828.0,19713.0,2496.0,17472.0,60394.0,6926.0,4868.0,39741.0,27827.0,31265.0,151237.0,8484.0,31428.0,4923.0,56765.0,8476.0,5706.0,79181.0,28538.0,18391.0,-2867.5,455817.0,442200.0,42849.0,2503.0,11248.0,15670.0,172299.5,133874.0,73475.0,76064.0,95777.0,734730.0,837023.0,6177.0,381207.0,292531.0,105336.0,3439.0,9061.0,9730.0
2010-01-01,396.0,36674.0,12301.0,7780.0,89755.0,12399.0,92146.0,17690.0,1654.0,14163.0,48975.0,6378.0,4605.0,33263.0,24231.0,27324.0,147913.0,9503.0,13866.0,4902.0,40275.0,5938.0,6819.0,93453.0,14686.0,12486.0,-3077.5,379784.0,369475.0,28007.0,2468.0,8124.0,17145.0,155129.0,127255.0,86634.0,66120.0,83810.0,651199.0,747197.0,5237.0,367413.0,281724.0,112569.0,3093.0,9900.0,5661.0
2011-01-01,605.0,30731.0,19560.0,8093.0,89092.0,12319.0,93390.0,17537.0,2165.0,14188.0,50291.0,5870.0,5268.0,32536.0,23054.0,26425.0,151423.0,8944.0,10392.0,4846.0,39607.0,6111.0,11221.0,124683.0,15037.0,13361.0,-1699.5,404457.0,393874.0,27283.0,2097.0,8400.0,13971.0,155421.0,123215.0,113462.0,64262.0,81799.0,675523.0,773535.0,4205.0,369078.0,281649.0,108178.0,3371.0,9549.0,6543.0
2012-01-01,1073.0,39001.0,29966.0,7461.0,103836.0,14605.0,103769.0,15953.0,2902.0,16260.0,68967.0,7748.0,5845.0,35375.0,23888.0,28155.0,156320.0,9810.0,12623.0,5274.0,46774.0,7220.0,11011.0,152911.0,22510.0,14904.0,-1376.5,479435.0,466206.0,31547.0,1604.0,9052.0,17435.0,170290.0,154525.0,141900.0,86402.0,102355.0,785227.0,900915.0,3818.0,421479.0,319021.0,132015.0,4267.0,10883.0,7047.0
2013-01-01,1025.0,37594.0,16817.0,8300.0,124400.0,16755.0,109842.0,17620.0,3924.0,15515.0,54411.0,9476.0,6594.0,33425.0,21610.0,25529.0,162931.0,9989.0,16127.0,5940.0,50206.0,7896.0,11653.0,152442.0,32663.0,16685.0,-1370.5,491463.0,476854.0,34633.0,1471.0,9740.0,26867.0,188338.0,203431.0,140789.0,81278.0,98898.0,853080.0,991494.0,3564.0,500031.0,376226.0,170768.0,3919.0,11013.0,8766.0
2014-01-01,1081.0,42618.0,27352.0,9263.0,125692.0,21170.0,127446.0,17106.0,3559.0,15670.0,69970.0,11005.0,7230.0,32512.0,19899.0,24445.0,178553.0,11036.0,20185.0,6466.0,58941.0,8067.0,10731.0,180512.0,44621.0,19542.0,-1397.5,574608.0,555449.0,44668.0,1620.0,9796.0,28236.0,202942.0,238221.0,169781.0,98206.0,115312.0,982248.0,1126314.0,3379.0,551706.0,426799.0,193600.0,4546.0,12116.0,13698.0
2015-01-01,1096.0,55666.0,19503.0,12039.0,139929.0,26569.0,145512.0,21506.0,3931.0,16677.0,75169.0,9280.0,7273.0,34824.0,22133.0,26882.0,197378.0,12413.0,26536.0,7365.0,81288.0,7942.0,10124.0,128801.0,58272.0,20035.0,-1317.5,584524.0,560158.0,55011.0,1874.0,11518.0,24380.0,228019.5,279400.0,118677.0,99549.0,121055.0,1048232.0,1212095.0,3588.0,627572.0,488074.0,221128.0,4749.0,13509.0,16850.0
2016-01-01,2036.0,57327.0,24556.0,15106.0,151069.0,30991.0,172180.0,22015.0,4604.0,18850.0,81883.0,8303.0,8252.0,35743.0,22256.0,26711.0,218138.0,10908.0,32968.0,8770.0,78349.0,9032.0,5957.0,69713.0,71054.0,22403.0,-1218.5,566206.0,537586.0,68682.0,1144.0,14466.0,20380.0,252101.0,313530.0,63757.0,102263.0,124278.0,1082629.0,1262252.0,3751.0,696046.0,545043.0,242476.0,4455.0,12944.0,22634.0
2017-01-01,3458.0,43110.0,22026.0,17422.0,160311.0,33104.0,181756.0,23572.0,4528.0,20557.0,65136.0,9877.0,8155.0,37725.0,22748.0,27338.0,238306.0,11042.0,34742.0,10182.0,69970.0,10388.0,7230.0,97579.0,74011.0,24047.0,-610.5,594900.0,564383.0,68866.0,1049.0,13910.0,24638.0,273471.0,344174.0,90349.0,89774.0,113346.0,1161573.0,1353766.0,3585.0,758866.0,597190.0,270163.0,4590.0,14500.0,29053.0
2018-01-01,4351.0,48961.0,21468.0,18854.0,160881.0,34663.0,191309.0,24316.0,4532.0,21923.0,70429.0,6974.0,8679.0,38226.0,23351.0,27361.0,252624.0,13157.0,37698.0,11555.0,72005.0,10865.0,7562.0,114846.0,77544.0,20817.0,-1626.5,636633.0,604749.0,76815.0,1521.0,13715.0,23868.0,284489.0,367126.0,107284.0,94297.0,118613.0,1240586.0,1432876.0,3498.0,796243.0,635837.0,289582.0,4010.0,17509.0,33056.0
2019-01-01,4705.0,52367.0,26373.0,18943.0,167719.0,36388.0,203345.0,22086.0,4559.0,21005.0,78740.0,7987.0,9309.0,41365.0,23631.0,28793.0,265946.0,12076.0,40005.0,11818.0,80537.0,12572.0,9906.0,117439.0,82215.0,14615.0,-1978.0,677866.0,644498.0,89116.0,2224.0,14182.0,31677.0,296574.0,362177.0,107534.0,110417.0,132503.0,1288998.0,1489149.0,3730.0,811283.0,644500.0,279962.0,5162.0,16781.0,34757.0
2020-01-01,4461.0,53688.0,34787.0,16258.0,191617.0,38424.0,214285.0,23746.0,4253.0,17903.0,88475.0,8415.0,8756.0,43954.0,22791.0,28932.0,293889.0,11468.0,33941.0,12491.0,75068.0,15022.0,8977.0,68295.0,91737.0,10923.0,-1642.5,624709.0,589697.0,92547.0,1799.0,15727.0,22115.0,317551.5,401127.0,59318.0,110590.0,134336.0,1301458.0,1528213.0,3468.0,903504.0,711761.0,309390.0,6141.0,15929.0,42377.0
2021-01-01,4763.0,53506.0,35620.0,16421.0,232809.0,40546.0,220219.0,22581.0,3127.0,16662.0,89126.0,8464.0,8318.0,45300.0,22504.0,28383.0,329866.0,11196.0,22977.0,17460.0,81634.0,16917.0,10627.0,70261.0,106175.0,10378.0,-2109.0,628304.0,590852.0,89125.0,2111.0,15053.0,21347.0,352637.0,530044.0,59634.0,110473.0,133054.0,1471349.0,1740486.0,3089.0,1112182.0,880497.0,423869.0,5880.0,15959.0,52046.0
2022-01-01,4932.0,55850.0,35153.0,20511.0,208216.0,41805.0,263260.0,23963.0,3695.0,20066.0,91003.0,11459.0,11767.0,52145.0,24914.0,29861.0,356389.0,12700.0,24325.0,22763.0,124458.0,22283.0,11821.0,93673.0,114755.0,14658.0,-2246.0,756087.0,717053.0,94673.0,3447.0,18059.0,20070.0,364501.0,567973.0,81852.0,111073.0,135036.0,1667873.0,1913401.0,3186.0,1157315.0,950820.0,453218.0,4948.0,17632.0,71959.0
2023-01-01,4879.0,56834.0,40014.0,22549.0,172474.0,47203.0,281904.0,27231.0,3903.0,23817.0,96848.0,11600.0,13884.0,58740.0,27201.0,31450.0,362726.0,15298.0,30085.0,16853.0,193134.0,27291.0,13206.0,103546.0,135778.0,17167.0,-2468.0,884053.0,839852.0,96852.0,5045.0,20575.0,20117.0,357648.0,536199.0,90340.0,116965.0,144196.0,1759533.0,1974275.0,3800.0,1090222.0,919681.0,400421.0,4249.0,20176.0,74686.0
