Date,Aircraft,Amusement and recreation,Commercial,Conservation and development,Educational,Electronics,Equipment,Federal,Government enterprise gross fixed investment,Gross government fixed investment,Health care,Highways and streets,Industrial,Intellectual property products,Military facilities,Missiles,National defense,Net purchases of used structures,New,Nondefense,Office,Other,Other equipment,Power,Public safety,Research and development,Residential,Sewer systems,Ships,Software,State and local,Structures,Transportation,Vehicles,Water systems
1929-01-01,,10.5165,74.887,26.746,25.799,,1.2605,6.365,9.722,4.184,22.657,90.094,,0.248,15.943,,3.2195,57.513,20.678,9.637749999999999,6.2475000000000005,5.173,,27.979,13.1,0.6126666666666667,0.0,23.493,,,9.7292,20.993333333333332,15.464500000000001,,24.519
1930-01-01,,13.8735,79.087,45.786,25.884999999999998,,1.1195,9.097000000000001,12.006,4.98,28.3635,57.388999999999996,,0.339,26.819,,5.423,48.227,28.529666666666667,13.210749999999999,6.5649999999999995,5.4625,,29.919,13.671,0.7596666666666666,0.0,26.605,,,11.498999999999999,30.61466666666667,20.7115,,39.64
1931-01-01,,18.107999999999997,116.571,58.698,46.0325,,0.989,13.0502,12.428,5.244,30.738,74.23,,0.41,40.558,,8.127,48.773,37.51166666666666,14.6185,9.630500000000001,7.054,,41.22,17.422,0.8666666666666667,0.0,23.178,,,11.6888,39.13333333333333,28.908,,33.377
1932-01-01,,18.522,81.641,83.259,46.5635,,0.8546666666666667,19.213,9.751,4.661,26.982,111.321,,0.516,40.665,,8.1715,50.295,46.251666666666665,22.33125,9.9995,5.928,,30.305,13.008,1.0250000000000001,0.0,16.598,,,9.3128,68.43866666666666,41.3615,,22.033
1933-01-01,,15.9945,41.412,119.201,82.7495,,0.769,25.5718,5.829,3.734,17.3675,129.501,9.59,0.5,39.865,,8.44825,44.975,56.24533333333333,25.79,12.0875,3.654,,14.609,9.4445,0.9963333333333333,0.0,10.479,,,5.9892,47.714666666666666,47.0645,,12.258
1934-01-01,,20.215,59.139,138.7295,94.0775,,0.699,27.204999999999995,6.882,4.299,17.078500000000002,135.2605,45.716,0.425,47.563,,11.3475,35.311,62.806000000000004,36.58125,14.479,4.792,,13.052,18.2965,0.9086666666666666,2.6965,19.643,,,7.013800000000001,35.738,51.4345,,14.389
1935-01-01,,22.75,61.086,180.782,119.997,,0.7636666666666666,36.082,7.702,4.679,14.9065,182.066,7.672,0.436,36.776,,9.56025,36.195,75.77433333333333,44.54425,16.6635,5.853,,20.571,16.377499999999998,0.9733333333333333,22.375,19.978,,,6.8852,46.54233333333334,71.908,,15.404
1936-01-01,,41.138999999999996,159.517,161.418,112.729,,0.7653333333333334,38.672000000000004,14.078,6.52,23.2385,163.26149999999998,15.345,0.475,26.127,,26.613999999999997,36.252,78.59833333333334,55.0685,18.1315,9.5065,,50.673,24.914,1.0556666666666665,159.0335,40.494,,,11.8134,59.53266666666667,65.55,,20.744
1937-01-01,,28.8015,98.918,145.38750000000002,76.90700000000001,,0.9236666666666666,36.95700000000001,11.525,5.854,19.7045,163.161,6.393,0.479,32.488,,31.602,35.302,77.72066666666666,53.046499999999995,14.3795,7.2905,,34.614,18.3,1.073,225.47,34.659,,,10.065000000000001,56.537,64.9995,,17.808
1938-01-01,,28.4265,119.835,129.4655,78.0725,,1.0366666666666666,34.197,12.87,6.484,24.329,168.6605,42.194,0.531,55.11,,28.00525,38.635,73.37833333333333,49.850500000000004,14.058499999999999,15.9165,,40.514,20.653,1.1623333333333334,84.55900000000001,37.276,,,11.628400000000001,52.03866666666667,64.911,,20.04
