Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Dividends,Effect on personal income (1-7-9 or 15-7-9),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (20),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (10),Less: Pension service charges,Monetary income receipts on assets (12+14),Monetary interest,Net change in benefit entitlements,Net transfers from other sources,Output,Plus: Household actual contributions (7),Plus: Implied funding of benefits from holding gains on assets
1984-01-01,45178.0,42740.0,2438.0,2604.0,46513.0,36533.0,29712.0,78156.0,129204.0,129204.0,10464.0,78322.0,39692.0,83766.0,75717.0,48444.0,-12862.0,48444.0,7972.0,48444.0,37980.0,56493.0,2604.0,46513.0,46513.0,2604.0,48444.0,2604.0,40473.0,30009.0,31643.0,,2604.0,2438.0,8049.0
1985-01-01,40020.0,38002.0,2019.0,3071.0,54466.0,28716.0,30368.0,76608.0,125919.0,125919.0,11624.0,77660.0,39517.0,91964.0,74589.0,46240.0,-6582.0,46240.0,7.0,46240.0,34616.0,63615.0,3071.0,54466.0,54466.0,3071.0,46240.0,3071.0,46233.0,34609.0,22142.0,,3071.0,2019.0,17375.0
1986-01-01,31459.0,29984.0,1475.0,3327.0,67974.0,8010.0,31019.0,82143.0,136594.0,136594.0,11786.0,83995.0,31596.0,98096.0,80668.0,51124.0,2887.0,51124.0,3272.0,51124.0,39339.0,68552.0,3327.0,67974.0,67974.0,3327.0,51124.0,3327.0,47852.0,36067.0,14169.0,,3327.0,1475.0,17428.0
1987-01-01,28136.0,26919.0,1218.0,3261.0,66241.0,6735.0,32599.0,89923.0,150509.0,150509.0,11932.0,91966.0,39846.0,104869.0,88706.0,57325.0,7723.0,57325.0,9224.0,57325.0,45393.0,73488.0,3261.0,66241.0,66241.0,3261.0,57325.0,3261.0,48100.0,36168.0,23682.0,,3261.0,1218.0,16164.0
1988-01-01,24310.0,23330.0,980.0,3390.0,60450.0,6579.0,33603.0,93112.0,156011.0,156011.0,11113.0,95521.0,51578.0,111047.0,92132.0,59509.0,12682.0,59509.0,13401.0,59509.0,48397.0,78425.0,3390.0,60450.0,60450.0,3390.0,59509.0,3390.0,46108.0,34996.0,32662.0,,3390.0,980.0,18916.0
1989-01-01,23154.0,22322.0,832.0,3370.0,66707.0,2839.0,40330.0,98528.0,160095.0,160095.0,11416.0,101065.0,46564.0,112438.0,97695.0,58198.0,20545.0,58198.0,8436.0,58198.0,46782.0,72941.0,3370.0,66707.0,66707.0,3370.0,58198.0,3370.0,49762.0,38346.0,31821.0,,3370.0,832.0,14743.0
1990-01-01,21633.0,20941.0,692.0,3726.0,66363.0,4700.0,41150.0,108573.0,179722.0,179722.0,11837.0,111606.0,52047.0,117718.0,107880.0,67423.0,23242.0,67423.0,14268.0,67423.0,55585.0,77261.0,3726.0,66363.0,66363.0,3726.0,67423.0,3726.0,53155.0,41318.0,42210.0,,3726.0,692.0,9838.0
1991-01-01,27988.0,27190.0,798.0,3962.0,71503.0,7900.0,42117.0,105456.0,172756.0,172756.0,12922.0,108619.0,52195.0,122899.0,104657.0,63338.0,18091.0,63338.0,7961.0,63338.0,50416.0,81580.0,3962.0,71503.0,71503.0,3962.0,63338.0,3962.0,55377.0,42455.0,33953.0,,3962.0,798.0,18242.0
1992-01-01,32915.0,32110.0,805.0,4010.0,77853.0,5543.0,52411.0,115740.0,183079.0,183079.0,13675.0,118945.0,48190.0,125238.0,114935.0,63329.0,23506.0,63329.0,8838.0,63329.0,49654.0,73632.0,4010.0,77853.0,77853.0,4010.0,63329.0,4010.0,54491.0,40816.0,37887.0,,4010.0,805.0,10303.0
1993-01-01,37962.0,37067.0,895.0,4325.0,79093.0,7087.0,53667.0,111842.0,174341.0,174341.0,14500.0,115272.0,51912.0,130110.0,110947.0,58175.0,20030.0,58175.0,5632.0,58175.0,43675.0,77338.0,4325.0,79093.0,79093.0,4325.0,58175.0,4325.0,52543.0,38043.0,32749.0,,4325.0,895.0,19163.0
1994-01-01,43723.0,43083.0,640.0,4678.0,82625.0,10810.0,54486.0,113360.0,176912.0,176912.0,15544.0,117398.0,52906.0,134891.0,112720.0,58874.0,15441.0,58874.0,4484.0,58874.0,43330.0,81044.0,4678.0,82625.0,82625.0,4678.0,58874.0,4678.0,54390.0,38846.0,30735.0,,4678.0,640.0,22170.0
1995-01-01,44949.0,44151.0,798.0,4964.0,85134.0,12651.0,53778.0,108362.0,167909.0,167909.0,16498.0,112527.0,53394.0,137730.0,107563.0,54584.0,13793.0,54584.0,-3216.0,54584.0,38086.0,84750.0,4964.0,85134.0,85134.0,4964.0,54584.0,4964.0,57800.0,41302.0,23228.0,,4964.0,798.0,30166.0
