Date,Consumption expenditures,Consumption of fixed capital,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Government social benefits,Grants-in-aid to state and local governments,Gross government investment,Income receipts on assets,Interest payments,Net federal government saving,Other current transfer payments,Personal current taxes,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world
1960-07-01,13120.0,3819.0,3987.0,23533.0,23132.0,-240.0,18701.0,6716.0,77.0,4934.0,1043.0,5621.0,608.0,3457.0,-401.0,1782.0,10648.0,240.0,24.0,4934.0,3095.0,4872.0,3380.0,292.6666666666667
1960-10-01,13113.0,3867.0,3928.0,24037.0,23417.0,-144.0,18916.0,6964.0,82.0,5163.0,926.0,5581.0,635.0,3437.0,-620.0,1801.0,10710.0,523.0,24.0,4842.0,3340.0,5097.0,3369.0,336.3333333333333
1961-01-01,12430.0,3922.0,4005.0,23982.0,22125.0,-237.0,17754.0,7952.0,86.0,6076.0,1041.0,6030.0,518.0,3423.0,-1857.0,1876.0,10408.0,177.0,26.0,4363.0,2957.0,6004.0,3354.0,325.3333333333333
1961-04-01,13303.0,3973.0,4452.0,25290.0,24183.0,-242.0,19331.0,8029.0,86.0,5949.0,1030.0,6033.0,556.0,3437.0,-1107.0,2080.0,10615.0,521.0,27.0,5215.0,3474.0,5880.0,3372.0,394.6666666666667
1961-07-01,13394.0,4038.0,4058.0,24915.0,23696.0,-274.0,19267.0,7632.0,91.0,5731.0,1144.0,6220.0,554.0,3494.0,-1219.0,1901.0,10806.0,395.0,28.0,5280.0,3153.0,5665.0,3426.0,297.0
1961-10-01,13607.0,4101.0,4051.0,25624.0,25075.0,-139.0,20419.0,7549.0,94.0,5627.0,1067.0,6362.0,650.0,3547.0,-549.0,1922.0,10865.0,921.0,31.0,5946.0,3577.0,5558.0,3471.0,333.3333333333333
1962-01-01,13909.0,4179.0,4351.0,26366.0,23965.0,-207.0,19148.0,8318.0,95.0,6175.0,1206.0,6483.0,578.0,3630.0,-2400.0,2143.0,10819.0,509.0,32.0,5053.0,3244.0,6094.0,3550.0,366.0
1962-04-01,14562.0,4230.0,4923.0,26634.0,26207.0,-230.0,20744.0,8070.0,97.0,5905.0,1102.0,6507.0,673.0,3743.0,-427.0,2165.0,11398.0,259.0,36.0,5587.0,3723.0,5833.0,3659.0,406.3333333333333
1962-07-01,15547.0,4330.0,4622.0,27806.0,25833.0,-269.0,20750.0,7821.0,100.0,5785.0,1271.0,6780.0,630.0,3830.0,-1973.0,2036.0,11945.0,608.0,37.0,5389.0,3379.0,5713.0,3744.0,307.6666666666667
1962-10-01,15000.0,4431.0,4729.0,27751.0,27182.0,-195.0,21835.0,7950.0,102.0,5937.0,1157.0,6730.0,711.0,3904.0,-569.0,2013.0,12368.0,897.0,40.0,5642.0,3785.0,5863.0,3815.0,339.6666666666667
1963-01-01,14549.0,4495.0,4971.0,27791.0,26362.0,-180.0,20827.0,8882.0,110.0,6668.0,1299.0,6449.0,634.0,3950.0,-1429.0,2214.0,12279.0,410.0,44.0,5159.0,3345.0,6583.0,3859.0,363.6666666666667
1963-04-01,15080.0,4567.0,5628.0,27918.0,28967.0,-201.0,22730.0,8569.0,121.0,6172.0,1203.0,6600.0,690.0,4015.0,1050.0,2397.0,12543.0,254.0,48.0,6202.0,3937.0,6089.0,3920.0,457.3333333333333
1963-07-01,16119.0,4622.0,5266.0,29371.0,27781.0,-221.0,21941.0,8151.0,114.0,6010.0,1413.0,6988.0,681.0,4101.0,-1590.0,2141.0,12418.0,1000.0,49.0,5969.0,3505.0,5933.0,3997.0,303.0
1963-10-01,15459.0,4669.0,5241.0,28419.0,28226.0,-114.0,22212.0,8214.0,118.0,6118.0,1330.0,6631.0,769.0,4188.0,-192.0,2096.0,11898.0,558.0,47.0,6368.0,3899.0,6039.0,4077.0,318.6666666666667
1964-01-01,15255.0,4727.0,5302.0,29160.0,26434.0,-159.0,20343.0,9047.0,114.0,6712.0,1503.0,6733.0,834.0,4273.0,-2725.0,2335.0,11216.0,585.0,45.0,5669.0,3413.0,6630.0,4162.0,341.6666666666667
1964-04-01,15766.0,4778.0,5898.0,29254.0,28751.0,-187.0,22046.0,8856.0,104.0,6344.0,1438.0,6774.0,889.0,4333.0,-503.0,2512.0,11375.0,299.0,45.0,6434.0,4192.0,6264.0,4223.0,421.3333333333333
1964-07-01,16670.0,4824.0,5376.0,30737.0,27745.0,-254.0,21530.0,8503.0,191.0,6208.0,1584.0,6834.0,902.0,4418.0,-2991.0,2295.0,11622.0,1146.0,45.0,6177.0,3686.0,6118.0,4309.0,303.3333333333333
1964-10-01,15448.0,4875.0,5205.0,29060.0,28388.0,-162.0,22232.0,8456.0,208.0,6245.0,1428.0,6777.0,905.0,4467.0,-672.0,2211.0,11772.0,689.0,48.0,6279.0,4133.0,6151.0,4344.0,333.3333333333333
1965-01-01,15312.0,4918.0,5229.0,29667.0,28598.0,-167.0,22525.0,9191.0,221.0,6864.0,1488.0,6566.0,790.0,4539.0,-1068.0,2327.0,12290.0,625.0,49.0,6284.0,3902.0,6771.0,4417.0,351.3333333333333
1965-04-01,16007.0,4974.0,5886.0,30530.0,31046.0,-239.0,24313.0,9605.0,229.0,6626.0,1783.0,6567.0,856.0,4620.0,516.0,2979.0,12946.0,298.0,51.0,7085.0,4231.0,6469.0,4502.0,490.3333333333333
1965-07-01,17412.0,5034.0,5634.0,33257.0,29452.0,-276.0,23035.0,9716.0,240.0,7273.0,1679.0,6799.0,819.0,4668.0,-3806.0,2443.0,12801.0,1461.0,53.0,6753.0,3428.0,7170.0,4550.0,328.3333333333333
1965-10-01,17765.0,5088.0,5993.0,32487.0,31331.0,-193.0,24429.0,9352.0,247.0,6952.0,1610.0,6767.0,855.0,4765.0,-1156.0,2400.0,13030.0,605.0,53.0,7480.0,3866.0,6852.0,4634.0,340.3333333333333
1966-01-01,17567.0,5142.0,6728.0,33520.0,31277.0,-289.0,23740.0,10541.0,249.0,7469.0,2131.0,7252.0,849.0,4860.0,-2243.0,3072.0,13490.0,552.0,54.0,7129.0,3067.0,7364.0,4727.0,393.0
1966-04-01,18506.0,5224.0,7911.0,34916.0,35329.0,-257.0,26458.0,11043.0,253.0,7209.0,2501.0,7187.0,964.0,5002.0,413.0,3834.0,14499.0,365.0,54.0,7852.0,4053.0,7105.0,4868.0,523.6666666666666
1966-07-01,20489.0,5300.0,7970.0,38487.0,34703.0,-408.0,25926.0,10693.0,256.0,7486.0,2419.0,7778.0,959.0,5122.0,-3785.0,3207.0,15060.0,2183.0,60.0,7300.0,3506.0,7341.0,4984.0,357.0
1966-10-01,19924.0,5383.0,8011.0,37451.0,36078.0,-241.0,26934.0,11422.0,261.0,8183.0,2315.0,7872.0,1113.0,5280.0,-1373.0,3239.0,15553.0,825.0,60.0,7498.0,3823.0,8073.0,5136.0,392.6666666666667
1967-01-01,21071.0,5462.0,8212.0,40032.0,34500.0,-309.0,25344.0,12844.0,228.0,9214.0,2564.0,7966.0,1025.0,5387.0,-5532.0,3630.0,15283.0,730.0,59.0,6630.0,3372.0,9097.0,5249.0,440.3333333333333
1967-04-01,21913.0,5559.0,9150.0,40567.0,36910.0,-320.0,26719.0,12908.0,238.0,9164.0,2649.0,7739.0,1123.0,5406.0,-3657.0,3744.0,15540.0,340.0,60.0,7205.0,3914.0,9040.0,5258.0,455.6666666666667
1967-07-01,22316.0,5664.0,8379.0,43051.0,36495.0,-377.0,27127.0,13198.0,248.0,9318.0,2940.0,8194.0,1117.0,5477.0,-6557.0,3880.0,16595.0,2060.0,62.0,6743.0,3727.0,9131.0,5339.0,421.6666666666667
1967-10-01,22742.0,5778.0,8361.0,42116.0,38352.0,-267.0,28726.0,13058.0,254.0,9379.0,2781.0,8046.0,1278.0,5661.0,-3764.0,3679.0,16967.0,655.0,67.0,7541.0,4151.0,9252.0,5487.0,399.6666666666667
1968-01-01,23561.0,5893.0,8748.0,43940.0,38440.0,-259.0,28417.0,13921.0,245.0,10228.0,2684.0,7811.0,1290.0,5876.0,-5500.0,3693.0,16887.0,582.0,71.0,7613.0,3846.0,10102.0,5702.0,436.3333333333333
1968-04-01,24068.0,5982.0,9961.0,45791.0,42246.0,-260.0,30941.0,15292.0,243.0,10660.0,3506.0,7841.0,1361.0,6093.0,-3545.0,4632.0,17850.0,338.0,76.0,8765.0,4250.0,10533.0,5909.0,479.0
1968-07-01,24411.0,6087.0,9530.0,47929.0,43919.0,-355.0,33093.0,14605.0,234.0,10685.0,2802.0,7786.0,1418.0,6242.0,-4009.0,3920.0,20542.0,2671.0,83.0,8249.0,4219.0,10524.0,6086.0,478.3333333333333
1968-10-01,24788.0,6193.0,9659.0,46668.0,45972.0,-151.0,34766.0,14983.0,231.0,10844.0,2846.0,7677.0,1467.0,6341.0,-696.0,4139.0,21156.0,556.0,89.0,8964.0,4557.0,10701.0,6153.0,541.3333333333334
1969-01-01,24180.0,6299.0,10144.0,46556.0,45784.0,-311.0,34386.0,15400.0,241.0,11508.0,2972.0,8109.0,1324.0,6415.0,-772.0,3892.0,22090.0,561.0,95.0,8089.0,4112.0,11369.0,6230.0,414.6666666666667
1969-04-01,25011.0,6408.0,11482.0,48613.0,49609.0,-330.0,36776.0,16597.0,248.0,11628.0,3627.0,7584.0,1433.0,6666.0,996.0,4969.0,23231.0,339.0,98.0,8819.0,4628.0,11484.0,6474.0,559.3333333333334
1969-07-01,25734.0,6501.0,10891.0,51589.0,47618.0,-426.0,35458.0,15891.0,252.0,11456.0,3432.0,7775.0,1444.0,6956.0,-3971.0,4435.0,23030.0,3008.0,101.0,7892.0,4435.0,11307.0,6768.0,446.6666666666667
1969-10-01,25538.0,6611.0,10797.0,50225.0,48823.0,-196.0,36331.0,16659.0,257.0,11749.0,3629.0,7260.0,1634.0,7427.0,-1401.0,4910.0,23349.0,601.0,100.0,8245.0,4637.0,11596.0,7215.0,548.6666666666666
1970-01-01,25510.0,6738.0,10957.0,51453.0,45466.0,-471.0,33142.0,17760.0,254.0,12634.0,4057.0,7689.0,1584.0,7881.0,-5987.0,5126.0,22505.0,302.0,96.0,6300.0,4241.0,12475.0,7698.0,470.3333333333333
1970-04-01,25644.0,6856.0,12022.0,55218.0,48007.0,-685.0,34737.0,20965.0,255.0,14734.0,4992.0,7622.0,1678.0,8220.0,-7211.0,6231.0,22799.0,389.0,95.0,7193.0,4650.0,14550.0,7993.0,550.0
1970-07-01,25598.0,6966.0,11329.0,57762.0,45890.0,-760.0,33434.0,19950.0,226.0,14071.0,4620.0,7481.0,1661.0,8568.0,-11871.0,5879.0,22018.0,3646.0,92.0,6832.0,4492.0,13882.0,8327.0,563.0
1970-10-01,25595.0,7074.0,11196.0,55514.0,45765.0,-550.0,33117.0,20842.0,224.0,14918.0,4673.0,7669.0,1778.0,8661.0,-9748.0,5924.0,21531.0,416.0,91.0,6797.0,4698.0,14729.0,8363.0,579.3333333333334
1971-01-01,26300.0,7182.0,11766.0,57845.0,45023.0,-772.0,32173.0,22409.0,229.0,15991.0,4996.0,6911.0,1626.0,8686.0,-12822.0,6418.0,20505.0,450.0,89.0,6887.0,4692.0,15801.0,8401.0,632.3333333333334
