Date,Consumption expenditures,Consumption of fixed capital,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Government social benefits,Grants-in-aid to state and local governments,Gross government investment,Income receipts on assets,Interest payments,Net federal government saving,Other current transfer payments,Personal current taxes,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world
1975-01-01,32594.0,9456.0,20722.0,89569.0,65172.0,-1020.0,42662.0,43108.0,274.0,31757.0,9621.0,9403.0,2534.0,12573.0,-24397.0,11351.0,30879.0,1294.0,100.0,6973.0,4710.0,31305.0,11477.0,1092.6666666666667
1975-04-01,33422.0,9572.0,22866.0,95285.0,63061.0,-1149.0,38460.0,47939.0,275.0,34048.0,11593.0,9264.0,2610.0,12867.0,-32224.0,13891.0,23605.0,1057.0,108.0,9220.0,5527.0,33561.0,11824.0,1276.0
1975-07-01,33569.0,9776.0,22022.0,93386.0,73437.0,-1126.0,49627.0,45674.0,276.0,33816.0,10985.0,10435.0,2638.0,13259.0,-19949.0,11858.0,32775.0,884.0,122.0,10918.0,5812.0,33306.0,12154.0,829.3333333333334
1975-10-01,34291.0,9940.0,22444.0,96519.0,75165.0,-1121.0,50707.0,47359.0,281.0,34698.0,11427.0,10751.0,2854.0,13768.0,-21354.0,12661.0,33472.0,1101.0,141.0,11066.0,6028.0,34160.0,12679.0,953.6666666666666
1976-01-01,34278.0,10174.0,23450.0,99687.0,74697.0,-765.0,48817.0,49886.0,315.0,37244.0,11824.0,10889.0,2880.0,14218.0,-24990.0,12642.0,32770.0,1305.0,164.0,10881.0,5002.0,36652.0,13228.0,800.0
1976-04-01,35051.0,10265.0,26109.0,99305.0,82091.0,-770.0,53490.0,48670.0,297.0,35667.0,11995.0,10905.0,2965.0,14523.0,-17213.0,13003.0,34737.0,1061.0,180.0,13071.0,5502.0,35052.0,13532.0,871.3333333333334
1976-07-01,34687.0,10498.0,25063.0,100816.0,82645.0,-733.0,54911.0,49991.0,296.0,35959.0,12162.0,11407.0,3108.0,14860.0,-18171.0,14032.0,36581.0,1278.0,186.0,12630.0,5514.0,35319.0,13735.0,1211.6666666666667
1976-10-01,36030.0,10734.0,25163.0,103677.0,83154.0,-638.0,55174.0,51060.0,315.0,37126.0,13096.0,11553.0,3140.0,15295.0,-20523.0,13934.0,37509.0,1292.0,184.0,12125.0,5356.0,36483.0,14131.0,881.6666666666666
1977-01-01,36170.0,10992.0,25965.0,105994.0,82575.0,-779.0,53982.0,52835.0,316.0,39328.0,12514.0,11919.0,3091.0,15511.0,-23419.0,13507.0,37416.0,1478.0,177.0,11124.0,5265.0,38701.0,14396.0,911.6666666666666
1977-04-01,37744.0,11243.0,29029.0,107581.0,93004.0,-887.0,61235.0,52545.0,351.0,37877.0,13513.0,12390.0,3276.0,15944.0,-14577.0,14668.0,40046.0,1348.0,174.0,15350.0,5665.0,37250.0,14758.0,989.3333333333334
1977-07-01,38133.0,11404.0,27824.0,109872.0,93687.0,-958.0,63114.0,53626.0,439.0,38288.0,14227.0,12511.0,3268.0,16445.0,-16184.0,15338.0,41665.0,1668.0,181.0,15256.0,6012.0,37626.0,15136.0,1027.3333333333333
1977-10-01,39089.0,11630.0,28260.0,113869.0,94604.0,-805.0,63310.0,55023.0,471.0,39529.0,14506.0,12384.0,3368.0,17361.0,-19265.0,15494.0,43386.0,2396.0,195.0,13948.0,5781.0,38866.0,15734.0,1092.6666666666667
1978-01-01,39289.0,11936.0,28724.0,117694.0,92603.0,-1007.0,60897.0,57977.0,507.0,41431.0,15323.0,12563.0,3482.0,18490.0,-25090.0,16546.0,42061.0,1938.0,217.0,12948.0,5671.0,40767.0,16659.0,1239.3333333333333
1978-04-01,41107.0,12352.0,33137.0,120300.0,106597.0,-890.0,69936.0,57884.0,545.0,40502.0,16119.0,13488.0,3868.0,19335.0,-13703.0,17382.0,45777.0,1974.0,235.0,17455.0,6469.0,39828.0,17382.0,1296.6666666666667
1978-07-01,41411.0,12520.0,32618.0,121714.0,109527.0,-693.0,72948.0,58109.0,576.0,41282.0,15623.0,14084.0,4077.0,20236.0,-12187.0,16827.0,49539.0,1958.0,247.0,16624.0,6538.0,40591.0,18221.0,1303.3333333333333
1978-10-01,42370.0,12860.0,34235.0,126154.0,115098.0,-305.0,76043.0,59906.0,600.0,42187.0,16417.0,14607.0,4525.0,21051.0,-11056.0,17719.0,51821.0,2827.0,255.0,17367.0,6600.0,41474.0,18617.0,1483.0
1979-01-01,42991.0,13116.0,34431.0,128768.0,112349.0,-546.0,73282.0,61788.0,613.0,45166.0,15349.0,14505.0,4569.0,21891.0,-16419.0,16622.0,51662.0,2098.0,257.0,15094.0,6269.0,44454.0,19271.0,1535.0
1979-04-01,44651.0,13464.0,38736.0,131279.0,122092.0,-683.0,78560.0,62064.0,630.0,44963.0,15776.0,15039.0,4849.0,22478.0,-9187.0,17101.0,54592.0,2086.0,270.0,17352.0,6346.0,44215.0,19931.0,1540.0
1979-07-01,44660.0,13871.0,38013.0,134658.0,124687.0,-818.0,81605.0,64956.0,643.0,47341.0,16036.0,16252.0,5244.0,23069.0,-9971.0,17615.0,58180.0,1973.0,294.0,16651.0,6480.0,46556.0,20477.0,1652.0
1979-10-01,46533.0,14140.0,38618.0,139684.0,127896.0,-620.0,83415.0,67086.0,657.0,48598.0,16819.0,15945.0,5825.0,24018.0,-11789.0,18488.0,60447.0,2047.0,327.0,16052.0,6589.0,47794.0,21219.0,1757.3333333333333
1980-01-01,48174.0,14470.0,38444.0,148151.0,124990.0,-800.0,80657.0,72089.0,684.0,52999.0,17129.0,16993.0,6005.0,25563.0,-23161.0,19090.0,58433.0,2325.0,370.0,15400.0,6454.0,52184.0,22677.0,1887.3333333333333
1980-04-01,51317.0,14888.0,42050.0,152038.0,131234.0,-954.0,82997.0,71743.0,708.0,53113.0,17193.0,17259.0,6433.0,26816.0,-20804.0,18630.0,60903.0,2162.0,400.0,13119.0,8575.0,52260.0,24055.0,1683.6666666666667
1980-07-01,51235.0,15251.0,40544.0,157740.0,134796.0,-1068.0,88144.0,77412.0,695.0,58589.0,17186.0,17675.0,6481.0,27017.0,-22944.0,18823.0,63845.0,2076.0,414.0,14550.0,9335.0,57673.0,24173.0,1799.0
1980-10-01,53896.0,15784.0,42593.0,164527.0,142675.0,-819.0,92697.0,79615.0,1055.0,59138.0,18182.0,18322.0,7150.0,28133.0,-21851.0,20477.0,67441.0,2883.0,413.0,15544.0,9299.0,58179.0,24758.0,2209.6666666666665
1981-01-01,55517.0,16164.0,44430.0,172401.0,145857.0,-963.0,94014.0,82579.0,868.0,62328.0,18696.0,18775.0,7509.0,31508.0,-26544.0,20251.0,68168.0,2798.0,396.0,13238.0,12212.0,61314.0,27708.0,2123.0
1981-04-01,58046.0,16667.0,49926.0,173563.0,156228.0,-750.0,98414.0,80575.0,745.0,61413.0,17624.0,19888.0,7893.0,32384.0,-17335.0,19162.0,71671.0,2559.0,384.0,13116.0,13243.0,60366.0,28274.0,2231.6666666666665
1981-07-01,58808.0,17100.0,49093.0,178350.0,158901.0,-736.0,101197.0,83118.0,754.0,64970.0,16406.0,20544.0,8593.0,33936.0,-19449.0,18148.0,75018.0,2489.0,373.0,13539.0,12267.0,63859.0,29768.0,2340.3333333333335
1981-10-01,61187.0,17591.0,49561.0,184822.0,160077.0,-164.0,100663.0,84810.0,761.0,66299.0,16684.0,21217.0,9256.0,35601.0,-24745.0,18511.0,76308.0,3225.0,364.0,11784.0,12207.0,65183.0,31403.0,2380.3333333333335
1982-01-01,62228.0,18115.0,49420.0,189630.0,149065.0,-322.0,89501.0,87253.0,988.0,68539.0,16723.0,21122.0,9478.0,36700.0,-40565.0,18714.0,71811.0,3449.0,334.0,6783.0,10573.0,67534.0,32282.0,2471.3333333333335
1982-04-01,62915.0,18723.0,54114.0,191797.0,157036.0,-564.0,92728.0,87916.0,1064.0,69379.0,16923.0,22538.0,9694.0,37727.0,-34761.0,18537.0,73242.0,3238.0,332.0,8873.0,10281.0,68319.0,33442.0,2319.6666666666665
1982-07-01,65534.0,19093.0,51461.0,196697.0,156948.0,-956.0,95490.0,89169.0,1131.0,71871.0,15401.0,22724.0,9822.0,38983.0,-39749.0,17298.0,75805.0,3011.0,330.0,9419.0,9936.0,70837.0,34354.0,2520.0
1982-10-01,67707.0,19449.0,51049.0,207890.0,155614.0,-298.0,94047.0,96047.0,1198.0,76194.0,17214.0,23567.0,9618.0,39271.0,-52276.0,19853.0,74738.0,4865.0,376.0,8767.0,10166.0,75190.0,34612.0,2767.3333333333335
1983-01-01,68208.0,19421.0,51868.0,208758.0,148808.0,-506.0,86767.0,96643.0,1197.0,78044.0,17036.0,24061.0,9481.0,39722.0,-59951.0,18599.0,69330.0,4185.0,288.0,7325.0,9824.0,77117.0,35244.0,2322.6666666666665
1983-04-01,70080.0,20133.0,57670.0,212526.0,162159.0,-470.0,94180.0,97185.0,1277.0,78103.0,17309.0,24972.0,9502.0,40784.0,-50367.0,19082.0,70804.0,4477.0,311.0,11707.0,11358.0,77194.0,36323.0,2381.0
1983-07-01,72822.0,20668.0,55907.0,212999.0,164719.0,-651.0,98335.0,93478.0,1326.0,75235.0,16120.0,26232.0,9802.0,42513.0,-48280.0,18243.0,72918.0,4186.0,305.0,13570.0,11542.0,74342.0,38011.0,2506.0
1983-10-01,68912.0,20902.0,57623.0,217661.0,169080.0,-317.0,100201.0,96783.0,1420.0,75836.0,17475.0,27071.0,10153.0,43952.0,-48581.0,20947.0,73721.0,8014.0,307.0,14514.0,11659.0,74940.0,39333.0,2995.6666666666665
1984-01-01,70714.0,21524.0,59535.0,222397.0,168038.0,-619.0,97129.0,98762.0,1524.0,78427.0,18275.0,27499.0,10469.0,45700.0,-54358.0,20335.0,71526.0,7221.0,331.0,13814.0,11458.0,77544.0,40992.0,2550.3333333333335
1984-04-01,73975.0,21978.0,66401.0,222968.0,181225.0,-650.0,102952.0,98153.0,1572.0,78076.0,18000.0,28370.0,10950.0,47103.0,-41742.0,20077.0,73934.0,3737.0,332.0,16812.0,11874.0,77156.0,42263.0,2612.3333333333335
1984-07-01,74755.0,22907.0,63824.0,225349.0,179826.0,-887.0,104218.0,97028.0,1586.0,77525.0,16674.0,28660.0,11085.0,49697.0,-45523.0,19503.0,77314.0,3870.0,307.0,14532.0,12065.0,76611.0,44539.0,2967.0
1984-10-01,76764.0,24173.0,64368.0,236970.0,182077.0,-530.0,105382.0,103027.0,1592.0,79387.0,19390.0,31065.0,11265.0,51327.0,-54892.0,23640.0,79119.0,5852.0,334.0,14026.0,11903.0,78431.0,45866.0,3555.6666666666665
1985-01-01,77017.0,23629.0,65734.0,240505.0,189307.0,-667.0,110763.0,104499.0,1762.0,82642.0,19055.0,30907.0,11715.0,52065.0,-51198.0,21857.0,86553.0,6924.0,354.0,12417.0,11439.0,81648.0,46557.0,3101.3333333333335
1985-04-01,78372.0,24054.0,73258.0,241853.0,191430.0,-481.0,103576.0,103820.0,3201.0,82149.0,18561.0,32581.0,11876.0,53286.0,-50423.0,21671.0,76915.0,6375.0,462.0,14752.0,11447.0,81156.0,47798.0,3197.0
1985-07-01,81713.0,24351.0,68991.0,242861.0,197502.0,-542.0,115099.0,104061.0,1813.0,82172.0,18243.0,34500.0,12141.0,53630.0,-45360.0,21889.0,85912.0,3457.0,544.0,16844.0,11799.0,81156.0,48056.0,3412.0
1985-10-01,83275.0,24937.0,69926.0,249751.0,197488.0,67.0,113475.0,107438.0,1820.0,82919.0,20310.0,34541.0,12200.0,54761.0,-52263.0,24519.0,87073.0,4277.0,579.0,14456.0,11367.0,81894.0,49177.0,3606.0
1986-01-01,81953.0,25234.0,71866.0,251363.0,197288.0,-146.0,110992.0,109397.0,1827.0,86258.0,20513.0,33474.0,12749.0,55642.0,-54074.0,23139.0,85391.0,4371.0,367.0,14338.0,10896.0,85177.0,49776.0,3191.0
1986-04-01,84926.0,25718.0,79474.0,260580.0,208747.0,-96.0,115059.0,110396.0,1884.0,85873.0,20676.0,34631.0,12426.0,56069.0,-51833.0,24523.0,87106.0,9189.0,396.0,16869.0,10688.0,84800.0,50294.0,3565.0
1986-07-01,86547.0,26099.0,73872.0,260230.0,205224.0,-412.0,117344.0,112721.0,1677.0,87855.0,20858.0,36971.0,12743.0,56177.0,-55006.0,24866.0,88620.0,4785.0,437.0,17136.0,11151.0,86818.0,50304.0,3639.3333333333335
1986-10-01,86346.0,26537.0,73721.0,261676.0,206650.0,67.0,118639.0,112770.0,2223.0,88675.0,20378.0,36810.0,12000.0,56316.0,-55026.0,24095.0,89484.0,6244.0,513.0,17679.0,10963.0,87468.0,50486.0,3584.6666666666665
1987-01-01,85523.0,26925.0,75662.0,263462.0,213082.0,-181.0,123516.0,112239.0,2405.0,89635.0,19944.0,36492.0,11680.0,56747.0,-50379.0,22604.0,94404.0,8953.0,465.0,17749.0,10898.0,88577.0,50731.0,3244.6666666666665
1987-04-01,87677.0,27274.0,84207.0,264314.0,235000.0,-332.0,136761.0,113109.0,2693.0,90442.0,19872.0,38179.0,11670.0,57284.0,-29314.0,22667.0,102890.0,6245.0,500.0,22176.0,11196.0,89388.0,51245.0,3296.0
1987-07-01,86723.0,27718.0,78075.0,262983.0,225544.0,75.0,133328.0,112772.0,2534.0,91162.0,18803.0,39014.0,11532.0,58288.0,-37439.0,21610.0,97046.0,5200.0,481.0,23916.0,11886.0,90081.0,52415.0,3253.6666666666665
1987-10-01,90422.0,28190.0,79486.0,274471.0,225865.0,-61.0,132810.0,114445.0,2574.0,90229.0,19763.0,38758.0,11055.0,59996.0,-48606.0,24216.0,98648.0,9609.0,594.0,21609.0,11960.0,89142.0,53820.0,3905.3333333333335
1988-01-01,88689.0,28912.0,83543.0,278364.0,228640.0,89.0,130084.0,120873.0,2246.0,96243.0,21801.0,36457.0,12678.0,61031.0,-49724.0,24630.0,96911.0,7771.0,531.0,20413.0,12229.0,95124.0,54492.0,3495.6666666666665
1988-04-01,90948.0,29474.0,94634.0,276979.0,245515.0,281.0,137021.0,119331.0,2307.0,95375.0,21344.0,36951.0,11272.0,61152.0,-31465.0,23956.0,100097.0,5549.0,687.0,23639.0,12598.0,94238.0,54113.0,3596.0
1988-07-01,89087.0,29986.0,87988.0,273985.0,242322.0,-15.0,140450.0,119077.0,2466.0,95529.0,20576.0,36938.0,11432.0,62215.0,-31664.0,23548.0,102409.0,3607.0,598.0,25003.0,12440.0,94377.0,54743.0,3865.3333333333335
1988-10-01,94725.0,30543.0,88614.0,293058.0,245956.0,301.0,142254.0,122593.0,2588.0,95796.0,22016.0,37643.0,12199.0,63517.0,-47102.0,26797.0,104428.0,12223.0,558.0,24708.0,12560.0,94624.0,55812.0,4552.666666666667
1989-01-01,91710.0,30996.0,90763.0,296654.0,253282.0,215.0,147101.0,129645.0,2715.0,103582.0,23013.0,37139.0,12488.0,65809.0,-43371.0,26063.0,108304.0,9489.0,750.0,24911.0,13137.0,102368.0,57408.0,4221.666666666667
1989-04-01,97623.0,31451.0,101195.0,299269.0,266768.0,245.0,149864.0,129245.0,2813.0,104083.0,22621.0,37632.0,12651.0,67315.0,-32501.0,25162.0,112250.0,5086.0,616.0,24588.0,12409.0,102862.0,58754.0,4107.666666666667
1989-07-01,95420.0,31945.0,92954.0,295865.0,261606.0,1012.0,151493.0,129516.0,3136.0,103678.0,22402.0,38635.0,13011.0,67847.0,-34258.0,25838.0,115299.0,3081.0,684.0,23705.0,11805.0,102351.0,59040.0,4523.333333333333
1989-10-01,98127.0,32478.0,93050.0,310048.0,260817.0,-404.0,152686.0,133836.0,3123.0,105511.0,23805.0,37813.0,12363.0,68689.0,-49231.0,28325.0,117242.0,9396.0,690.0,22364.0,12390.0,104141.0,59917.0,4887.333333333333
1990-01-01,99482.0,32756.0,95569.0,317995.0,258498.0,-777.0,148078.0,140582.0,3030.0,111584.0,25753.0,38977.0,12598.0,70079.0,-59497.0,28998.0,113809.0,7852.0,672.0,20994.0,12602.0,110096.0,61217.0,4531.666666666667
1990-04-01,101074.0,33104.0,107370.0,322405.0,278240.0,-554.0,155737.0,143640.0,3126.0,113258.0,26141.0,39879.0,12562.0,71254.0,-44164.0,30382.0,117895.0,6437.0,722.0,24455.0,12665.0,111703.0,62316.0,4911.333333333333
1990-07-01,99042.0,33610.0,99855.0,319547.0,275665.0,-399.0,159815.0,142838.0,3359.0,113963.0,25061.0,39816.0,13035.0,73303.0,-43883.0,28875.0,120553.0,4364.0,760.0,26410.0,12091.0,112385.0,64264.0,4810.333333333333
1990-10-01,104567.0,34024.0,99247.0,330952.0,275226.0,-602.0,156933.0,144009.0,3794.0,114378.0,27402.0,39534.0,15854.0,74410.0,-55726.0,29631.0,119851.0,7966.0,876.0,22652.0,13554.0,112835.0,65183.0,4333.0
1991-01-01,105616.0,34550.0,99986.0,320185.0,266433.0,561.0,148284.0,132996.0,4137.0,122008.0,29660.0,38816.0,13465.0,75221.0,-53752.0,10988.0,112517.0,6351.0,666.0,20551.0,14550.0,120480.0,65960.0,-2627.6666666666665
1991-04-01,108116.0,34863.0,113358.0,338309.0,285121.0,819.0,154000.0,147859.0,4234.0,124799.0,30657.0,40367.0,12710.0,76031.0,-53188.0,23060.0,115447.0,6303.0,672.0,22603.0,15279.0,123303.0,66981.0,983.0
1991-07-01,105446.0,35279.0,103796.0,338763.0,279255.0,139.0,158240.0,153679.0,4369.0,124447.0,30167.0,39202.0,12711.0,76095.0,-59508.0,29232.0,117648.0,3543.0,641.0,24056.0,15895.0,122964.0,67038.0,3201.6666666666665
1991-10-01,106961.0,35404.0,103473.0,358975.0,277017.0,608.0,156591.0,164124.0,4447.0,129007.0,33538.0,38414.0,11898.0,77011.0,-81958.0,35117.0,117979.0,10879.0,623.0,21949.0,16041.0,127242.0,68310.0,4015.0
1992-01-01,105046.0,35452.0,107309.0,365271.0,278955.0,886.0,155364.0,176292.0,4370.0,137705.0,34685.0,38561.0,11026.0,76609.0,-86316.0,38587.0,114832.0,7324.0,663.0,24421.0,15448.0,136283.0,68015.0,4639.333333333333
1992-04-01,107206.0,35677.0,120573.0,368908.0,298302.0,949.0,161698.0,178865.0,4316.0,139072.0,35393.0,39227.0,10765.0,76978.0,-70606.0,39793.0,118377.0,5858.0,651.0,27375.0,15295.0,137333.0,68385.0,4910.666666666667
1992-07-01,109707.0,35853.0,109325.0,368442.0,286390.0,485.0,161863.0,178277.0,4411.0,139606.0,34577.0,39142.0,10307.0,76919.0,-82052.0,38671.0,121263.0,3539.0,648.0,23914.0,16037.0,138027.0,68342.0,4750.0
1992-10-01,110097.0,36286.0,106758.0,386235.0,290707.0,1800.0,166499.0,186777.0,5322.0,141596.0,37026.0,39463.0,10328.0,76381.0,-95528.0,45181.0,123024.0,12979.0,676.0,26284.0,16515.0,140111.0,67873.0,6049.333333333333
1993-01-01,105807.0,36516.0,113495.0,378122.0,292464.0,189.0,162855.0,185850.0,5128.0,144500.0,37507.0,38131.0,10796.0,77691.0,-85658.0,41350.0,120963.0,8774.0,718.0,25980.0,15194.0,143087.0,69198.0,4583.0
1993-04-01,106975.0,36616.0,125512.0,384836.0,315275.0,145.0,174362.0,190601.0,4538.0,147637.0,38371.0,37894.0,10719.0,77963.0,-69562.0,42964.0,126239.0,9298.0,645.0,31462.0,16016.0,146053.0,69505.0,4878.333333333333
1993-07-01,109025.0,36716.0,113872.0,386655.0,311226.0,3023.0,178549.0,190171.0,5147.0,147922.0,37230.0,37113.0,10634.0,78126.0,-75429.0,42249.0,129505.0,9332.0,668.0,31544.0,16832.0,146326.0,69462.0,5093.0
1993-10-01,107693.0,37179.0,112638.0,394972.0,312074.0,99.0,183503.0,200705.0,5341.0,149863.0,42605.0,37541.0,10494.0,77659.0,-82898.0,50842.0,130981.0,8914.0,709.0,33497.0,18316.0,148257.0,69110.0,6130.666666666667
1994-01-01,107183.0,37251.0,118647.0,390432.0,313051.0,48.0,177340.0,197636.0,6302.0,153265.0,40927.0,35436.0,10714.0,77309.0,-77381.0,44371.0,129622.0,8304.0,750.0,28035.0,18932.0,151605.0,68794.0,4539.666666666667
1994-04-01,105195.0,37472.0,133530.0,390691.0,343031.0,86.0,193137.0,198332.0,5576.0,152686.0,41830.0,35948.0,10703.0,79156.0,-47660.0,45646.0,138394.0,8008.0,774.0,34504.0,19465.0,151005.0,70463.0,4730.0
1994-07-01,110314.0,37622.0,121869.0,397657.0,337690.0,3183.0,195645.0,198443.0,5578.0,154167.0,39577.0,37407.0,11415.0,80998.0,-59968.0,44276.0,137277.0,7902.0,785.0,37450.0,20132.0,152464.0,71937.0,5154.333333333333
1994-10-01,106635.0,37984.0,122106.0,406192.0,335573.0,723.0,197342.0,208211.0,4135.0,155708.0,44515.0,36568.0,11267.0,83377.0,-70619.0,52503.0,139788.0,7969.0,833.0,36264.0,20457.0,153926.0,73291.0,6618.666666666667
1995-01-01,107655.0,38281.0,126399.0,412466.0,337989.0,524.0,194594.0,210310.0,4757.0,161930.0,44359.0,37463.0,11715.0,86089.0,-74477.0,48380.0,139915.0,8412.0,919.0,35282.0,18478.0,160401.0,75930.0,5236.333333333333
1995-04-01,107643.0,38354.0,140691.0,415960.0,365332.0,478.0,208201.0,211731.0,4059.0,163789.0,44492.0,37321.0,11904.0,88010.0,-50628.0,47942.0,148294.0,8576.0,902.0,40335.0,18669.0,162044.0,76518.0,5562.333333333333
1995-07-01,109108.0,38449.0,127894.0,415830.0,360670.0,3745.0,212319.0,209104.0,4417.0,163611.0,41738.0,36788.0,12294.0,88908.0,-55160.0,45493.0,149292.0,8710.0,1026.0,42625.0,19376.0,161861.0,76421.0,5997.333333333333
1995-10-01,104564.0,38444.0,126919.0,415282.0,353441.0,301.0,210584.0,212595.0,4303.0,164554.0,43888.0,36136.0,11333.0,89319.0,-61842.0,48041.0,152796.0,8804.0,1069.0,37689.0,19030.0,162785.0,76370.0,6290.333333333333
1996-01-01,105669.0,38504.0,130075.0,425523.0,360890.0,105.0,214349.0,221274.0,4692.0,170872.0,44788.0,38664.0,11669.0,89781.0,-64633.0,50402.0,156064.0,8799.0,1171.0,39105.0,18009.0,168964.0,76430.0,6957.666666666667
1996-04-01,106040.0,38398.0,147189.0,426516.0,395640.0,148.0,232631.0,222393.0,4239.0,171765.0,47166.0,37871.0,11434.0,89304.0,-30876.0,50628.0,168546.0,8779.0,1175.0,45143.0,17766.0,169892.0,75546.0,6364.333333333333
1996-07-01,108562.0,38484.0,134176.0,427184.0,390036.0,3667.0,234679.0,219615.0,4779.0,172217.0,43264.0,37210.0,12735.0,90293.0,-37148.0,47398.0,170164.0,8714.0,1318.0,44973.0,18224.0,170317.0,76172.0,6718.333333333333
1996-10-01,109095.0,38279.0,133973.0,436514.0,389781.0,540.0,235299.0,228197.0,9017.0,174790.0,46239.0,36053.0,10952.0,90610.0,-46732.0,53407.0,173635.0,8611.0,1491.0,41318.0,18855.0,172897.0,75076.0,8198.333333333334
1997-01-01,107498.0,38388.0,138911.0,433187.0,394774.0,675.0,238224.0,226651.0,5607.0,176607.0,46602.0,34423.0,11357.0,90546.0,-38413.0,50044.0,178376.0,8492.0,1189.0,41188.0,17471.0,174661.0,74042.0,7297.333333333333
1997-04-01,110803.0,38643.0,155708.0,438768.0,424369.0,720.0,251931.0,228468.0,4822.0,178752.0,46533.0,35876.0,11188.0,91192.0,-14398.0,49716.0,184799.0,8304.0,1163.0,46217.0,19752.0,176761.0,73952.0,7471.333333333333
1997-07-01,108955.0,38633.0,141920.0,435601.0,426136.0,4225.0,261978.0,226631.0,5273.0,178633.0,44519.0,36996.0,12741.0,91769.0,-9465.0,47998.0,190530.0,8246.0,1238.0,49780.0,20430.0,176689.0,74012.0,7726.666666666667
1997-10-01,112314.0,38641.0,142894.0,451796.0,422108.0,954.0,262958.0,239057.0,4362.0,181717.0,50488.0,36427.0,10941.0,92093.0,-29688.0,57340.0,196117.0,8332.0,1506.0,45151.0,20184.0,179748.0,73902.0,9004.0
1998-01-01,104928.0,38554.0,148321.0,439345.0,427185.0,947.0,260265.0,233992.0,5697.0,180465.0,50050.0,35139.0,11956.0,92086.0,-12160.0,53527.0,197840.0,8339.0,1157.0,41967.0,19300.0,178418.0,73995.0,7871.666666666667
1998-04-01,109231.0,38866.0,165798.0,445251.0,455865.0,1014.0,272421.0,235471.0,4992.0,182371.0,49909.0,36751.0,11639.0,91910.0,10614.0,53100.0,205193.0,8639.0,1208.0,45985.0,20035.0,180299.0,73711.0,7820.666666666667
1998-07-01,109123.0,38893.0,151437.0,443702.0,456297.0,4438.0,281212.0,233943.0,5853.0,182045.0,48052.0,38369.0,13357.0,91551.0,12595.0,51898.0,211658.0,9085.0,1365.0,47522.0,20667.0,180012.0,73603.0,7942.333333333333
1998-10-01,114570.0,39097.0,151845.0,460154.0,450491.0,1152.0,281360.0,245703.0,4924.0,185462.0,52788.0,37403.0,11210.0,90022.0,-9663.0,60241.0,216507.0,9859.0,1950.0,42207.0,20696.0,183406.0,72176.0,9118.333333333334
1999-01-01,108429.0,39142.0,156371.0,448286.0,451584.0,971.0,277015.0,241201.0,5592.0,183488.0,54447.0,36369.0,11634.0,88149.0,3298.0,57712.0,212931.0,10507.0,1392.0,42983.0,19709.0,181358.0,70630.0,7638.0
1999-04-01,112880.0,39384.0,176211.0,456605.0,486768.0,1043.0,292104.0,244538.0,6143.0,187125.0,53756.0,38760.0,11267.0,88035.0,30163.0,57413.0,221800.0,11152.0,1547.0,48485.0,20272.0,184987.0,71063.0,7589.333333333333
1999-07-01,115134.0,39572.0,160837.0,458196.0,483561.0,4430.0,300714.0,243788.0,6084.0,186950.0,53211.0,39166.0,11496.0,87768.0,25365.0,56838.0,228458.0,11505.0,1631.0,49128.0,21497.0,184767.0,71308.0,7423.666666666667
1999-10-01,119418.0,40055.0,161406.0,473741.0,484037.0,758.0,304705.0,254475.0,5612.0,191023.0,57741.0,40561.0,11556.0,88231.0,10296.0,63452.0,234239.0,11616.0,1551.0,46961.0,21954.0,188742.0,72058.0,8055.0
2000-01-01,114080.0,40512.0,167913.0,468041.0,499364.0,718.0,311799.0,254109.0,6656.0,193669.0,56907.0,38181.0,12277.0,88705.0,31323.0,60441.0,238985.0,11146.0,1786.0,50054.0,20974.0,191499.0,72555.0,7285.0
2000-04-01,121711.0,40710.0,188298.0,479183.0,531105.0,722.0,323773.0,257706.0,5934.0,195779.0,58099.0,39608.0,12378.0,88527.0,51922.0,61927.0,247770.0,11239.0,1977.0,52080.0,21946.0,193590.0,71943.0,7533.666666666667
2000-07-01,119787.0,40934.0,171632.0,472437.0,522953.0,4296.0,327329.0,253114.0,6906.0,192102.0,56832.0,39222.0,12790.0,88219.0,50516.0,61012.0,254343.0,11317.0,1856.0,48704.0,22426.0,189884.0,71984.0,7544.333333333333
2000-10-01,120103.0,40964.0,170727.0,488430.0,514356.0,-418.0,325631.0,268447.0,5437.0,200787.0,61268.0,40381.0,12979.0,88276.0,25926.0,67660.0,258524.0,11604.0,1944.0,43258.0,21905.0,198468.0,72163.0,8274.666666666666
2001-01-01,121695.0,40994.0,175488.0,497170.0,511352.0,-488.0,315957.0,277113.0,6398.0,209200.0,64205.0,38933.0,13997.0,86370.0,14182.0,67913.0,257127.0,11993.0,2000.0,35761.0,21069.0,206812.0,70759.0,7235.666666666667
2001-04-01,126728.0,41069.0,195449.0,503150.0,537564.0,-499.0,323518.0,280618.0,5782.0,209562.0,67474.0,41231.0,13315.0,83694.0,34414.0,71056.0,261604.0,12109.0,1809.0,38655.0,21450.0,207212.0,68733.0,6964.333333333333
