Date,Equals: Final sales to domestic purchasers,Equals: Gross domestic purchases,Final sales of domestic product,Final sales to private domestic purchasers,Gross domestic product,Less: Exports of goods and services,Plus: Imports of goods and services
1947-04-01,2.9,-0.5,2.1,3.5,-1.0,-4.9,8.1
1947-07-01,2.9,-0.8,2.7,3.5,-0.8,-18.8,-38.2
1947-10-01,4.8,11.3,0.5,6.4,6.4,-38.2,23.2
1948-01-01,4.6,9.5,1.5,4.2,6.2,-17.1,61.9
1948-04-01,5.4,10.1,2.3,3.6,6.8,-32.5,16.8
1948-07-01,1.1,2.6,0.9,-0.4,2.3,9.7,22.5
1948-10-01,3.9,1.0,3.3,1.7,0.5,-13.3,-6.3
1949-01-01,-1.4,-8.3,1.6,-3.9,-5.4,57.0,-11.5
1949-04-01,5.4,-1.4,5.2,2.6,-1.4,-3.4,-5.7
1949-07-01,0.9,5.7,-0.4,0.6,4.2,-29.4,-15.2
1949-10-01,4.9,-0.4,1.8,7.7,-3.3,-43.8,6.1
1950-01-01,7.0,17.6,6.4,10.4,16.7,-6.4,11.6
1950-04-01,12.0,13.5,11.2,12.9,12.7,4.9,23.9
1950-07-01,18.4,19.8,15.0,24.1,16.4,10.7,132.0
1950-10-01,-4.6,6.6,-3.5,-10.7,7.9,36.5,0.8
1951-01-01,11.7,4.7,12.6,4.5,5.5,21.6,0.0
1951-04-01,-0.1,4.7,2.3,-12.0,7.1,45.6,-12.6
1951-07-01,11.9,6.4,14.1,2.6,8.5,10.2,-29.8
1951-10-01,6.0,0.7,6.2,1.2,0.9,-3.8,-10.0
1952-01-01,4.4,5.1,3.6,2.0,4.3,23.1,55.1
1952-04-01,9.4,3.1,6.9,7.8,0.8,-37.2,-2.0
1952-07-01,-1.1,5.5,-3.5,-2.8,2.9,-28.1,26.8
1952-10-01,15.4,15.3,13.8,18.4,13.8,2.8,40.9
1953-01-01,8.7,7.5,8.9,7.1,7.7,-6.6,-9.5
1953-04-01,4.0,3.9,3.3,2.6,3.1,2.5,22.5
1953-07-01,-1.5,-2.9,-0.8,-0.6,-2.2,17.1,-1.6
1953-10-01,-2.4,-6.2,-2.1,-2.8,-5.9,-12.6,-18.2
1954-01-01,-2.5,-2.1,-2.3,0.1,-1.9,-16.8,-21.2
1954-04-01,0.8,-0.3,1.5,5.5,0.4,71.2,41.2
1954-07-01,3.6,4.1,4.1,7.5,4.6,-12.3,-22.1
1954-10-01,6.1,7.5,6.7,8.7,8.1,19.8,3.8
1955-01-01,8.2,12.3,7.9,10.7,11.9,15.7,25.8
1955-04-01,6.7,8.0,5.3,9.9,6.7,-9.1,24.7
1955-07-01,5.2,4.7,6.0,6.0,5.5,29.0,6.9
1955-10-01,1.6,2.9,1.1,4.3,2.4,1.8,15.4
1956-01-01,-0.8,-1.6,-0.7,-0.9,-1.5,20.4,17.8
1956-04-01,3.3,2.0,4.7,2.0,3.3,29.8,-2.1
1956-07-01,-0.2,-0.8,0.3,0.8,-0.3,14.1,3.6
1956-10-01,5.4,5.1,7.1,4.0,6.8,19.1,-17.1
1957-01-01,3.6,2.6,3.6,2.2,2.6,28.7,35.8
1957-04-01,-0.6,-0.1,-1.4,-0.2,-0.9,-11.4,3.1
1957-07-01,3.4,4.3,3.1,3.4,4.0,-10.7,-7.4
1957-10-01,0.5,-3.5,-0.1,-1.3,-4.1,-11.4,1.3
1958-01-01,-7.5,-8.0,-9.5,-8.7,-10.0,-34.1,6.1
1958-04-01,2.9,3.3,2.3,0.7,2.7,1.8,18.3
1958-07-01,5.6,9.3,5.9,6.7,9.6,1.3,-5.9
1958-10-01,9.0,10.7,8.0,9.3,9.7,-1.5,22.8
1959-01-01,7.3,7.1,8.1,10.9,7.9,32.3,11.0
1959-04-01,7.1,10.4,6.0,7.6,9.3,-3.2,20.9
1959-07-01,4.1,-1.2,5.6,4.3,0.3,44.5,3.9
1959-10-01,-1.2,1.6,-1.7,-0.6,1.1,-18.4,-9.8
1960-01-01,2.9,7.6,4.6,5.9,9.3,62.3,15.9
1960-04-01,3.0,-2.6,3.4,2.5,-2.1,12.0,3.1
1960-07-01,-0.2,1.0,0.8,-3.0,2.0,9.0,-11.3
1960-10-01,0.8,-5.9,1.7,0.3,-5.0,2.2,-17.6
1961-01-01,0.8,2.8,0.7,-0.8,2.7,-2.7,-1.9
1961-04-01,5.0,8.3,3.8,6.2,7.0,-17.3,5.0
1961-07-01,4.7,8.2,4.5,3.5,7.9,19.3,29.2
1961-10-01,9.2,8.2,9.1,9.2,8.1,6.7,9.8
1962-01-01,5.7,8.0,5.0,5.0,7.3,-2.3,12.8
1962-04-01,5.3,2.9,6.1,6.3,3.7,25.0,9.0
1962-07-01,4.7,5.3,4.4,3.3,5.0,-0.7,5.1
1962-10-01,4.0,2.2,3.1,4.4,1.3,-12.3,5.0
1963-01-01,1.2,3.8,1.9,3.3,4.4,6.2,-8.9
1963-04-01,5.2,3.4,6.3,6.7,4.6,36.0,9.7
1963-07-01,9.3,9.7,8.7,6.5,9.1,-2.0,10.5
1963-10-01,2.9,1.8,3.8,5.2,2.6,16.5,-1.2
1964-01-01,7.5,7.7,8.5,9.4,8.7,21.9,-0.4
1964-04-01,5.1,4.9,4.6,5.6,4.4,-1.6,9.3
1964-07-01,5.8,6.3,5.9,7.4,6.4,13.1,11.2
1964-10-01,1.2,1.3,1.2,1.6,1.2,8.3,11.3
1965-01-01,8.5,12.2,6.4,11.3,10.0,-39.0,-13.7
1965-04-01,5.7,3.9,7.0,6.0,5.2,85.7,56.3
1965-07-01,9.2,9.9,8.6,7.9,9.2,-8.6,1.7
1965-10-01,10.5,9.2,10.8,11.3,9.5,26.7,21.0
1966-01-01,8.0,11.2,6.9,8.1,10.1,-9.5,10.7
1966-04-01,1.7,1.2,1.8,0.0,1.4,12.6,10.4
1966-07-01,5.5,4.7,4.1,3.7,3.4,-4.7,24.4
1966-10-01,0.9,3.0,1.2,-0.9,3.3,10.3,4.6
1967-01-01,4.3,3.7,4.2,0.2,3.6,5.0,6.4
1967-04-01,4.5,0.4,4.3,6.5,0.2,-5.2,-3.2
1967-07-01,3.1,4.3,2.7,2.6,3.8,-3.2,5.4
1967-10-01,4.2,3.7,3.5,4.5,3.1,7.8,22.8
1968-01-01,9.2,9.0,8.6,9.8,8.4,11.7,25.7
1968-04-01,4.0,6.8,4.1,4.7,6.9,6.9,6.2
1968-07-01,5.9,2.9,6.2,7.4,3.1,31.6,26.4
1968-10-01,2.7,1.9,2.4,3.4,1.6,-8.6,-3.4
1969-01-01,4.7,6.9,4.2,6.0,6.4,-39.0,-32.7
1969-04-01,1.6,0.8,2.0,2.5,1.2,121.0,105.5
1969-07-01,2.3,2.8,2.2,2.8,2.7,-6.5,-5.1
1969-10-01,-0.8,-2.7,-0.1,0.6,-1.9,10.8,-4.3
1970-01-01,0.7,-0.9,1.1,1.5,-0.6,5.4,-1.3
1970-04-01,-1.3,0.1,-0.9,-0.3,0.6,16.4,8.1
1970-07-01,3.6,3.6,3.8,4.3,3.7,1.6,-0.9
1970-10-01,-0.6,-4.0,-0.9,-0.9,-4.2,0.8,6.3
1971-01-01,4.6,10.9,5.1,8.0,11.3,3.7,-4.6
1971-04-01,4.5,3.9,2.7,6.2,2.2,-2.9,33.7
1971-07-01,3.0,2.7,3.6,4.0,3.3,21.5,9.1
1971-10-01,5.2,1.5,4.6,7.7,0.9,-32.1,-24.5
1972-01-01,6.7,8.3,5.9,8.1,7.6,53.8,72.5
1972-04-01,6.3,9.2,6.5,7.7,9.4,-11.1,-13.5
1972-07-01,2.8,3.0,3.6,5.9,3.8,26.3,8.6
1972-10-01,9.8,7.0,9.7,11.7,6.9,18.1,19.3
1973-01-01,8.1,9.7,8.8,9.5,10.3,32.6,19.8
1973-04-01,-0.2,2.4,1.8,0.6,4.4,20.7,-11.0
1973-07-01,-0.4,-2.9,0.5,0.8,-2.1,1.4,-10.6
1973-10-01,-0.7,2.6,0.5,-1.7,3.9,21.1,3.0
1974-01-01,-2.0,-4.8,-0.5,-4.5,-3.4,5.3,-12.9
1974-04-01,0.4,1.0,0.4,0.0,1.0,21.0,22.9
1974-07-01,0.1,-2.6,-1.1,-0.1,-3.7,-19.9,-6.8
1974-10-01,-6.6,-2.7,-5.5,-9.0,-1.5,10.9,-3.9
1975-01-01,-0.7,-8.2,2.9,-2.2,-4.8,2.8,-34.5
1975-04-01,2.5,1.5,3.9,4.4,2.9,-11.1,-28.4
1975-07-01,6.9,10.2,3.8,6.7,7.0,-6.6,37.6
1975-10-01,4.8,5.3,5.0,5.1,5.5,24.6,23.1
1976-01-01,7.9,11.6,5.7,10.1,9.3,-2.7,27.4
1976-04-01,2.4,4.0,1.3,4.3,3.0,4.1,18.5
1976-07-01,3.1,2.6,2.7,4.4,2.2,12.1,17.4
1976-10-01,6.4,3.7,5.6,8.3,2.9,4.1,14.0
1977-01-01,6.1,7.0,3.9,6.8,4.8,-6.3,20.1
1977-04-01,5.8,7.4,6.4,6.4,8.0,11.2,3.9
1977-07-01,3.6,6.6,4.4,4.1,7.4,3.1,-5.4
1977-10-01,4.8,1.5,3.3,6.4,0.0,-12.2,5.8
1978-01-01,2.1,2.9,0.4,2.6,1.3,9.8,29.6
1978-04-01,12.9,12.8,16.5,13.5,16.4,48.7,1.2
1978-07-01,3.9,4.1,3.8,3.9,4.1,4.4,5.3
1978-10-01,4.5,4.6,5.3,4.7,5.5,16.8,5.6
1979-01-01,1.2,0.6,1.3,2.4,0.7,0.3,-1.1
1979-04-01,0.2,0.5,0.0,-0.8,0.4,1.0,2.2
1979-07-01,4.0,1.2,6.0,4.7,3.0,15.2,-6.0
1979-10-01,0.4,-0.3,1.7,-0.2,1.0,27.7,9.0
1980-01-01,-0.2,0.3,0.8,-1.7,1.3,11.6,0.3
1980-04-01,-11.1,-11.4,-7.7,-14.0,-8.0,7.8,-26.0
1980-07-01,2.4,-3.3,5.4,4.6,-0.5,-0.9,-25.8
1980-10-01,6.2,10.2,3.8,7.9,7.7,-2.4,23.2
1981-01-01,2.6,9.1,1.7,1.9,8.1,7.7,18.2
1981-04-01,0.8,-3.1,0.9,0.8,-2.9,2.2,0.6
1981-07-01,0.9,5.2,0.5,1.5,4.9,-8.2,-4.5
1981-10-01,-0.9,-3.4,-1.8,-2.4,-4.3,1.8,12.0
1982-01-01,-0.4,-5.6,-0.9,-0.4,-6.1,-16.3,-10.9
1982-04-01,-1.2,1.0,-0.4,-2.0,1.8,2.4,-6.4
1982-07-01,0.6,1.7,-2.6,0.0,-1.5,-16.6,19.9
1982-10-01,5.8,0.3,5.7,5.7,0.2,-17.1,-14.8
1983-01-01,4.9,5.7,4.6,5.2,5.4,6.6,9.5
1983-04-01,8.6,12.1,6.0,10.0,9.4,1.2,34.5
1983-07-01,10.1,10.6,7.8,10.9,8.2,6.2,35.0
1983-10-01,6.6,9.7,5.5,10.3,8.6,8.3,21.1
