Date,Consumption expenditures,Equipment,Federal,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1958-07-01,-0.268,-0.258,-0.92,1.008,0.20600000000000002,-0.03,-0.89,0.20600000000000002,,3.24,1.0559999999999998
1958-10-01,2.052,0.808,5.49,2.37,0.24,1.71,3.78,0.24,,2.82,1.326
1959-01-01,-6.162,3.1100000000000003,-5.17,3.518,0.27999999999999997,-6.61,1.44,0.27999999999999997,,1.15,0.128
1959-04-01,2.7060000000000004,0.118,4.48,0.198,0.25,-2.79,7.27,0.25,0.0,0.54,-0.166
1959-07-01,1.762,1.0699999999999998,3.24,0.264,0.264,3.2,0.03,0.264,0.0,0.21,-1.066
1959-10-01,0.06200000000000001,-0.40800000000000003,-2.5,-1.8560000000000003,0.22000000000000003,-1.93,-0.57,0.22000000000000003,0.0,-0.73,-1.672
1960-01-01,-4.8100000000000005,-0.442,-9.17,0.32199999999999995,0.4,-3.16,-6.01,0.386,0.01,2.54,0.362
1960-04-01,2.016,-1.616,0.63,-0.05600000000000009,0.578,-1.57,2.2,0.55,0.035,3.95,0.982
1960-07-01,2.752,1.402,7.73,2.8579999999999997,0.404,6.39,1.34,0.394,0.015,2.43,1.052
1960-10-01,1.266,-0.798,0.98,0.05599999999999998,0.354,-2.12,3.11,0.34199999999999997,0.015,1.82,0.496
1961-01-01,-2.1580000000000004,2.464,0.92,4.773999999999999,0.454,5.32,-4.4,0.466,-0.01,5.16,1.8539999999999999
1961-04-01,2.5780000000000003,-0.388,2.1,-1.75,0.536,-0.79,2.89,0.536,0.0,-1.09,-1.9
1961-07-01,2.7960000000000003,1.452,7.41,2.222,0.45999999999999996,6.26,1.15,0.45999999999999996,0.0,1.42,0.31
1961-10-01,2.42,0.196,4.67,2.146,0.35,3.86,0.81,0.34199999999999997,0.01,4.4,1.5939999999999999
1962-01-01,4.061999999999999,1.3459999999999999,9.06,0.93,0.32999999999999996,7.25,1.81,0.32,0.006,-1.12,-0.744
1962-04-01,1.4300000000000002,-1.104,0.99,-0.40800000000000003,0.476,-1.93,2.92,0.47000000000000003,0.006,1.07,0.21600000000000003
1962-07-01,3.7159999999999997,1.342,7.59,1.6320000000000001,0.638,3.55,4.04,0.638,0.004,1.98,-0.348
1962-10-01,1.3259999999999998,-1.2920000000000003,1.19,0.03199999999999999,0.764,0.18,1.01,0.76,0.004,1.61,0.5640000000000001
1963-01-01,-3.2119999999999997,-1.688,-8.18,-0.548,0.914,-7.03,-1.15,0.9099999999999999,0.004,2.87,0.22800000000000004
1963-04-01,-0.294,-0.722,-1.05,0.20400000000000001,0.8140000000000001,-1.12,0.07,0.806,0.008,1.35,0.11399999999999999
1963-07-01,6.909999999999999,0.968,14.43,3.566,0.916,8.17,6.26,0.72,0.194,4.54,1.682
1963-10-01,-1.35,-0.3,-6.21,-1.522,0.318,-5.17,-1.04,0.47800000000000004,-0.16,2.14,-1.538
1964-01-01,-0.616,-0.198,-1.16,0.8859999999999999,0.41600000000000004,-2.86,1.69,0.366,0.052000000000000005,2.43,0.67
1964-04-01,0.9179999999999999,-0.44399999999999995,-0.12,0.516,0.328,-2.28,2.16,0.328,0.0,3.77,0.6359999999999999
1964-07-01,-0.08199999999999993,-0.35,-1.32,0.011999999999999988,0.262,-0.4,-0.92,0.254,0.012,1.8,0.098
1964-10-01,-0.6220000000000001,-0.06799999999999999,-1.92,0.17400000000000002,0.254,-2.54,0.62,0.242,0.012,1.76,-0.01399999999999999
1965-01-01,0.356,-0.8300000000000001,-1.98,-0.932,0.22199999999999998,-3.05,1.08,0.26,-0.038,1.52,-0.33
1965-04-01,1.7920000000000003,-1.146,0.44,0.22600000000000003,0.45599999999999996,-0.76,1.2,0.38,0.076,4.38,0.9120000000000001
1965-07-01,5.034000000000001,0.572,8.85,2.314,0.508,5.48,3.37,0.488,0.02,5.1,1.236
1965-10-01,3.7960000000000003,-0.5359999999999999,5.23,0.366,0.5740000000000001,4.94,0.29,0.5599999999999999,0.012,2.56,0.33199999999999996
1966-01-01,1.02,2.152,5.58,3.16,0.654,6.05,-0.47,0.638,0.016,2.08,0.352
1966-04-01,5.282,-0.994,6.42,-0.89,0.51,3.85,2.56,0.48200000000000004,0.028000000000000004,1.36,-0.406
1966-07-01,3.7060000000000004,2.364,9.29,2.69,0.41200000000000003,10.66,-1.37,0.364,0.046,2.07,-0.086
1966-10-01,1.738,0.744,2.73,1.6439999999999997,0.26399999999999996,4.7,-1.98,0.24000000000000005,0.026000000000000002,4.36,0.636
1967-01-01,8.56,1.1800000000000002,15.75,1.7899999999999998,0.162,10.88,4.87,0.15,0.012,2.26,0.44800000000000006
1967-04-01,0.5660000000000001,-1.168,-2.55,-1.736,0.11599999999999999,0.24,-2.79,0.11599999999999999,0.0,0.9,-0.6839999999999999
1967-07-01,1.2739999999999998,1.512,3.87,1.31,0.10600000000000001,4.22,-0.35,0.098,0.012,0.65,-0.312
1967-10-01,1.614,-0.858,0.16,-0.354,0.15,-1.71,1.87,0.144,0.006,2.91,0.354
1968-01-01,4.578,-1.0859999999999999,4.21,-0.796,0.122,4.13,0.09,0.11800000000000002,0.008,3.13,0.16399999999999998
1968-04-01,0.2,-0.254,-1.22,0.386,0.11000000000000001,-0.18,-1.04,0.088,0.024,3.31,0.528
1968-07-01,0.536,-0.45599999999999996,-1.29,-0.31799999999999995,0.092,-3.1,1.82,0.062,0.03,2.48,0.047999999999999994
1968-10-01,0.9720000000000001,-0.984,-1.08,-1.046,0.06,-1.5,0.42,0.04,0.024,1.43,-0.122
1969-01-01,-1.084,1.722,-0.71,1.3,0.039999999999999994,-1.45,0.74,0.002,0.038,1.61,-0.462
1969-04-01,1.972,-2.7960000000000003,-2.76,-3.0260000000000002,-0.066,-3.26,0.5,-0.10800000000000001,0.044,1.51,-0.166
1969-07-01,0.47000000000000003,0.8240000000000001,0.41,-0.06800000000000006,-0.16999999999999998,-0.01,0.42,-0.21400000000000002,0.048,0.39,-0.724
1969-10-01,0.254,-1.762,-4.92,-3.348,-0.278,-3.2,-1.72,-0.322,0.048,-0.36,-1.314
1970-01-01,-2.492,1.75,-3.66,0.992,-0.37,-4.24,0.57,-0.42400000000000004,0.052000000000000005,1.75,-0.386
1970-04-01,-1.7719999999999998,-0.738,-5.61,-1.1800000000000002,-0.318,-6.98,1.37,-0.354,0.036,1.04,-0.11800000000000002
1970-07-01,0.13999999999999999,-0.6,-2.61,0.021999999999999974,-0.238,-2.28,-0.33,-0.27,0.032,4.31,0.8560000000000001
1970-10-01,0.03599999999999999,0.376,-0.79,-0.12400000000000003,-0.158,-1.14,0.35,-0.174,0.014000000000000002,0.98,-0.33799999999999997
1971-01-01,-0.13799999999999998,-3.172,-6.57,-3.4620000000000006,-0.126,-6.4,-0.17,-0.13,0.0,0.85,-0.16
1971-04-01,-0.29200000000000004,-0.652,-2.39,-0.554,-0.028000000000000004,-5.2,2.81,-0.041999999999999996,0.018,1.47,0.122
1971-07-01,-0.726,0.5980000000000001,-0.89,0.45999999999999996,0.05,-2.83,1.94,0.04,0.01,0.68,-0.188
1971-10-01,-0.732,-1.734,-5.31,-1.45,0.166,-3.71,-1.6,0.142,0.026000000000000002,2.52,0.11599999999999999
1972-01-01,1.746,-0.392,1.64,-0.54,0.202,-1.43,3.06,0.188,0.012,0.56,-0.346
1972-04-01,0.192,1.5059999999999998,1.95,0.844,0.178,1.21,0.75,0.146,0.034,-0.34,-0.844
1972-07-01,-2.766,-1.996,-9.04,-2.006,0.082,-8.77,-0.27,0.055999999999999994,0.028000000000000004,1.64,-0.088
1972-10-01,-0.22200000000000003,1.108,0.56,1.674,0.046,0.58,-0.02,0.018,0.028000000000000004,2.79,0.5199999999999999
1973-01-01,-0.19999999999999998,1.85,2.59,2.114,-0.018,1.84,0.74,-0.066,0.046,0.9,0.27999999999999997
1973-04-01,-0.434,-0.592,-3.1,-1.3,-0.082,-2.82,-0.28,-0.11400000000000002,0.028000000000000004,0.31,-0.624
1973-07-01,-1.616,-1.52,-6.79,-1.596,-0.12,-6.87,0.07,-0.16,0.04,2.17,0.044
1973-10-01,1.22,0.05600000000000001,0.45,0.086,-0.16999999999999998,1.02,-0.57,-0.21600000000000003,0.048,2.59,0.2
1974-01-01,2.212,1.8800000000000001,4.67,1.6940000000000002,-0.20400000000000001,2.41,2.25,-0.242,0.038,2.76,0.015999999999999993
1974-04-01,-0.712,0.898,-0.64,1.392,-0.15,1.45,-2.08,-0.18,0.03,2.66,0.642
1974-07-01,1.1700000000000002,0.8119999999999999,1.19,-0.6119999999999999,-0.11200000000000002,-2.37,3.56,-0.15,0.038,-0.39,-1.314
1974-10-01,1.442,0.292,1.84,-0.30199999999999994,-0.046,0.5,1.35,-0.08,0.036,0.08,-0.544
1975-01-01,0.71,-0.666,-1.91,0.6799999999999999,0.014000000000000002,-1.18,-0.73,-0.05,0.062,6.33,1.332
1975-04-01,0.7,-0.974,-1.77,-2.388,0.06,-2.43,0.66,0.026000000000000002,0.033999999999999996,-1.57,-1.47
1975-07-01,0.422,2.7619999999999996,4.85,3.62,0.134,4.67,0.18,0.10800000000000001,0.026000000000000002,2.83,0.724
1975-10-01,-0.03400000000000001,0.138,0.65,1.5859999999999999,0.19,-0.2,0.84,0.16,0.026000000000000002,2.9,1.2559999999999998
1976-01-01,-0.9259999999999999,-0.33599999999999997,-1.81,0.8160000000000001,0.21800000000000003,-1.63,-0.17,0.22599999999999998,-0.006,2.44,0.9280000000000002
1976-04-01,0.08199999999999999,-0.348,-0.56,-1.9420000000000002,0.142,-0.48,-0.08,0.13,0.012,-3.82,-1.738
1976-07-01,-0.446,1.052,0.3,0.03799999999999999,0.16399999999999998,0.21,0.09,0.142,0.022,-1.47,-1.1800000000000002
1976-10-01,0.664,-0.19,0.43,-0.6759999999999999,0.128,-0.39,0.81,0.11200000000000002,0.02,-0.67,-0.6140000000000001
1977-01-01,0.752,0.13,1.34,0.8939999999999999,0.138,1.22,0.12,0.148,-0.014000000000000002,2.11,0.626
1977-04-01,1.17,0.158,2.41,0.796,0.134,1.15,1.26,0.126,0.008,1.31,0.504
1977-07-01,1.518,-0.06999999999999999,1.86,-0.496,0.16,0.69,1.17,0.13799999999999998,0.02,-0.25,-0.584
1977-10-01,0.05799999999999994,-0.386,-1.26,-0.686,0.154,-2.73,1.46,0.122,0.030000000000000006,0.31,-0.45599999999999996
1978-01-01,0.5119999999999999,-0.296,0.14,-0.44400000000000006,0.21800000000000003,0.3,-0.16,0.162,0.06,-0.04,-0.364
1978-04-01,1.036,0.576,3.78,3.882,0.22200000000000003,2.05,1.73,0.16799999999999998,0.05600000000000001,6.63,3.086
1978-07-01,0.496,0.394,1.23,1.246,0.21000000000000002,0.63,0.6,0.154,0.054000000000000006,2.52,0.646
1978-10-01,0.5599999999999999,1.084,1.57,1.214,0.186,0.7,0.87,0.134,0.048,2.08,-0.05600000000000001
1979-01-01,0.6719999999999999,-0.392,-0.26,-2.282,0.21200000000000002,0.14,-0.39,0.15,0.064,-3.64,-2.104
1979-04-01,0.31399999999999995,0.272,1.91,1.65,0.186,1.84,0.06,0.128,0.05600000000000001,2.04,1.19
1979-07-01,-1.714,1.3619999999999999,0.45,2.27,0.15,0.06,0.39,0.1,0.054000000000000006,0.72,0.762
1979-10-01,1.34,-0.6100000000000001,0.26,-0.22199999999999998,0.15,0.91,-0.65,0.098,0.05,2.4,0.24
