Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
1972-04-01,0.20500000000000002,-0.2,0.33,-4.24,-3.38,-0.77,-0.24,-0.22999999999999998,6.49,6.82,-2.21,3.97,0.54,2.8,-0.2,-0.98,-4.57,0.07999999999999999,-0.52,0.12,4.8,0.05,0.13,-0.37,0.51,3.56,0.6649999999999999,0.03,-0.21,-0.02,-0.04,-5.01,-0.05499999999999999,-0.48
1972-07-01,-1.46,-0.3,0.14,0.35,-14.47,-0.63,-2.03,-0.07999999999999999,-8.37,-7.96,-15.13,-7.44,0.42,-14.86,-0.12,0.78,0.21,0.365,-1.75,-0.18,-7.27,-1.15,-0.55,-0.3,0.36,-11.07,-0.21500000000000002,0.06,0.0,-1.46,-1.18,-0.28,-0.085,-0.46
1972-10-01,0.225,0.16,-0.18,0.64,-3.06,-0.7,-0.64,0.27999999999999997,4.95,4.9,-2.44,-0.71,0.2,-2.37,-0.17,-0.45,0.82,-1.015,-1.32,-0.05,6.64,0.48,0.44,-1.96,0.15,-0.41,-0.73,0.05,-0.25,0.32,0.92,-0.07,0.095,-1.39
1973-01-01,0.02999999999999997,-0.69,-2.41,-5.17,-2.67,-0.64,1.34,0.015,8.48,8.34,-3.07,1.04,0.03,2.73,0.19,0.21,-2.76,1.185,-0.72,0.53,6.71,0.01,-0.74,-0.04,-0.04,2.11,0.235,0.07,-0.17,-0.4,0.24,-5.8,-0.16999999999999998,1.97
1973-04-01,-0.99,-0.21,-0.14,-3.42,-4.55,-0.6,-0.43,-0.15000000000000002,-3.26,-3.3,-2.38,3.01,-0.2,1.64,0.03,-2.2,-3.29,0.245,-0.56,0.05,-2.43,0.31,0.52,-0.67,-0.24,2.64,0.07,0.04,0.16,0.1,-0.66,-4.02,0.175,-0.33
1973-07-01,-1.05,-1.96,-0.41,-2.29,-12.82,-0.55,-2.76,-0.435,-5.92,-5.9,-12.97,-1.15,-0.41,-10.13,0.02,0.13,-1.88,-0.735,-4.0,-0.38,-1.35,-0.51,-0.77,-1.53,-0.46,-3.38,-0.74,0.05,0.43,-0.46,0.68,-2.84,-0.515,-1.67
1973-10-01,1.565,0.66,0.54,-0.2,3.81,-0.66,1.36,0.5650000000000001,-0.37,-0.94,2.49,-1.02,-0.62,3.35,-0.05,1.38,-0.74,0.285,0.88,-0.28,-3.82,0.2,1.43,0.01,-0.68,1.12,0.049999999999999996,0.05,0.06,-0.11,-0.19,-0.86,0.075,1.0
1974-01-01,-1.81,-0.57,0.78,0.12,-0.32,-0.6,-2.11,-0.49,8.37,7.15,1.37,3.26,-0.79,1.85,0.18,-1.86,-0.66,0.05499999999999999,-0.29,0.21,9.15,0.37,-0.24,-0.09,-0.84,4.25,0.565,0.06,-0.43,-0.32,0.35,-0.48,0.135,1.2
1974-04-01,1.22,-0.53,0.44,-0.32,1.95,-0.51,1.59,0.625,2.91,2.35,2.19,-1.42,-0.63,3.02,0.0,-0.24,-0.76,0.41500000000000004,1.72,0.13,-1.66,0.21,-0.44,2.04,-0.69,-0.28,0.5700000000000001,0.06,0.07,1.23,0.12,-0.83,0.195,0.23
1974-07-01,-1.28,-1.21,0.56,-0.83,-10.08,-0.46,-3.98,-0.8350000000000001,4.67,2.89,-10.7,0.85,-0.6,-9.41,0.08,0.54,-1.39,-0.22999999999999998,-2.9,0.57,6.19,-0.07,0.01,-1.62,-0.62,-2.53,-0.11,0.02,-1.19,-1.79,-0.19,-1.29,-0.5700000000000001,-1.41
1974-10-01,1.5999999999999999,-0.05,0.29,0.9,1.2,-0.46,3.14,0.305,1.19,0.36,0.45,-2.25,-0.51,0.01,0.15,0.6,0.61,0.275,-0.99,-0.26,-1.22,-0.12,-0.44,-0.82,-0.53,-2.15,0.33,0.02,-0.32,1.07,0.05,0.44,0.385,-0.58
1975-01-01,0.825,-0.21,-0.36,-0.92,-1.27,-0.41,0.42,0.28,-2.3,-2.36,0.3,1.44,-0.3,1.63,0.07,-1.64,-0.57,-0.69,0.19,-0.03,-1.88,0.3,0.29,0.1,-0.42,1.02,-0.5,0.12,0.23,-0.52,-0.59,-1.33,0.1,0.4
1975-04-01,-0.5550000000000002,-0.02,-0.52,-1.53,-2.24,-0.34,-0.79,0.175,-5.23,-5.39,-3.92,-0.27,-0.14,-2.05,0.19,1.49,-1.01,-0.13000000000000006,-0.25,0.19,-5.64,0.08,-0.34,-0.31,-0.2,-1.01,0.195,0.06,-0.01,-0.7,0.02,-1.87,0.03,0.26
1975-07-01,1.29,-1.21,0.34,-0.56,-0.34,-0.29,1.32,-0.63,14.99,16.02,-4.61,0.16,0.09,-3.76,0.03,4.24,-0.9,0.405,-5.21,0.32,14.87,-0.67,0.11,-3.33,0.05,0.13,-0.7100000000000001,0.04,0.94,-0.15,0.71,-0.85,0.205,-0.7
1975-10-01,0.18000000000000005,0.2,-0.1,-0.78,-1.16,-0.29,0.07,0.355,0.12,0.36,-0.63,-0.86,0.35,0.44,-0.06,-0.47,-0.68,-0.31,2.85,-0.35,-0.29,-0.43,-1.01,3.08,0.28,-2.48,0.07500000000000001,0.06,-0.11,1.01,-1.15,-1.07,0.115,-0.47
1976-01-01,-1.4849999999999999,-1.16,-0.11,-0.76,-4.43,-0.26,-2.93,-0.125,-1.26,-0.92,-4.8,1.9,0.46,-3.78,-0.03,0.4,-0.65,-0.63,-2.12,0.39,-0.14,0.37,0.14,-1.32,0.48,1.27,0.24000000000000002,-0.02,-0.12,-1.68,0.11,-1.02,-0.225,0.8
1976-04-01,-0.24,-0.24,-0.58,-1.13,1.43,-0.23,1.13,0.115,-2.01,-3.28,1.73,-0.2,0.24,3.09,0.09,-0.4,-0.55,0.04999999999999993,-1.06,-0.19,-0.26,0.37,0.87,-1.19,0.23,3.03,-0.24,0.01,-1.5,1.7,0.12,-1.36,0.10500000000000001,0.54
1976-07-01,-0.635,0.09,-0.27,-0.92,-4.97,-0.19,-1.48,-0.405,5.44,5.47,-5.01,-1.59,0.33,-3.91,0.06,-0.02,-0.65,1.8849999999999998,0.73,0.21,1.03,0.01,-0.51,0.64,0.31,-3.16,0.455,0.02,-0.3,-1.21,-0.02,-1.11,0.055,0.17
1976-10-01,1.115,-0.12,-0.14,-0.38,-1.18,-0.15,1.38,-0.09,-1.07,-0.23,-1.54,0.38,0.24,-1.01,0.0,0.36,-0.23,-1.26,-2.12,-0.1,-0.26,-0.19,-0.27,-1.82,0.23,-0.27,0.38,0.02,0.59,0.57,0.22,-0.53,0.185,-1.16
1977-01-01,1.08,0.95,-0.49,-0.6,2.06,-0.1,2.93,0.335,0.38,1.65,2.32,-0.29,0.41,3.01,0.12,-0.37,-0.11,-0.045000000000000005,0.6,-0.16,-0.68,-0.09,-0.53,-0.26,0.41,-0.52,0.8799999999999999,0.01,0.85,-0.09,-0.24,-0.69,-0.18,0.63
1977-04-01,0.7050000000000001,-0.13,0.01,-0.09,2.74,-0.1,3.11,0.26,0.52,0.78,3.86,1.04,0.21,4.05,0.04,-1.17,-0.1,-0.25499999999999995,-1.18,0.36,1.44,0.05,1.0,-1.1,0.21,2.12,-0.27,0.0,0.06,-0.11,0.14,-0.19,0.475,0.05
1977-07-01,0.0,-0.41,0.3,0.37,4.18,-0.09,-2.21,-0.225,-0.95,-2.0,3.49,1.75,0.15,3.21,0.13,0.56,0.06,-0.275,3.03,-0.23,-1.6,0.18,0.52,3.25,0.11,2.4,-0.11000000000000004,0.04,-1.21,-0.12,0.29,0.27,-0.06,-0.05
1977-10-01,-0.405,0.56,0.38,0.01,-5.86,-0.08,0.25,0.6,-2.45,-2.66,-6.72,-4.2,0.07,-6.64,-0.01,0.87,-0.38,-0.875,-1.15,-0.19,-1.07,-0.41,-0.38,-1.3,0.03,-5.74,0.14500000000000002,0.04,-0.28,0.07,-0.41,-0.07,0.06999999999999999,-0.82
1978-01-01,-1.51,-0.06,1.15,0.81,2.82,-0.09,2.11,0.21000000000000002,-1.99,-1.79,2.9,0.78,0.13,2.18,-0.05,-0.03,-0.33,0.63,-0.91,0.11,0.17,-0.19,-0.14,-0.66,0.03,0.97,0.385,0.1,0.07,-0.39,0.5,0.72,0.21,0.22
1978-04-01,1.075,0.29,0.59,0.23,1.79,-0.06,0.59,0.024999999999999998,2.8,4.62,2.26,0.85,0.24,2.1,-0.11,-0.36,-0.36,0.38,0.46,-0.11,-0.4,0.28,-0.03,-0.11,0.15,1.04,0.505,0.09,1.58,0.12,-0.08,0.16,-0.04,0.18
1978-07-01,-0.08499999999999999,0.75,0.22,0.27,1.17,-0.05,0.24,0.19,1.3,0.85,1.51,-0.66,0.27,1.29,-0.07,-0.27,0.05,0.025000000000000022,1.91,0.36,1.55,0.36,-0.09,0.8,0.2,-0.87,-0.84,0.07,-0.71,-0.56,-0.1,0.22,0.535,0.55
1978-10-01,2.54,-1.29,0.04,-0.4,-3.82,-0.03,-0.83,-0.6000000000000001,5.86,6.1,-2.97,-0.32,0.32,-2.54,-0.08,-0.77,-0.44,0.2,-2.09,-0.37,-1.99,-0.46,-0.39,-0.33,0.25,0.37,1.6949999999999998,0.07,-0.08,0.87,0.19,-0.43,-0.145,0.02
1979-01-01,-0.895,0.52,0.07,-0.63,3.76,-0.03,0.87,0.24,-2.87,-3.36,3.09,1.68,0.54,3.75,-0.17,0.84,-0.7,-0.060000000000000005,0.16,0.41,1.63,-0.06,0.08,-0.3,0.39,2.72,-1.235,0.15,-1.02,-0.03,-0.18,-0.66,-0.06999999999999999,1.18
1979-04-01,0.98,0.37,-0.13,-0.65,4.29,0.03,2.49,0.14500000000000002,1.54,1.8,4.17,2.45,0.44,4.79,-0.09,0.21,-0.52,0.515,0.76,0.38,1.44,0.21,0.09,0.19,0.38,1.54,0.235,0.06,-0.18,-0.44,-0.21,-0.63,-0.7649999999999999,-0.36
1979-07-01,0.07500000000000007,0.23,0.07,-0.13,-8.05,0.08,-1.53,-0.135,7.47,8.27,-8.4,-5.35,0.43,-8.34,-0.05,0.4,-0.21,0.585,0.67,-0.22,-0.42,0.03,-0.81,0.41,0.36,-7.49,1.865,0.06,0.37,-0.52,0.04,-0.05,0.9,-0.85
1979-10-01,1.99,-0.23,-0.07,0.24,4.79,0.15,2.95,0.39,-2.1,-1.83,5.86,1.32,0.46,5.47,0.01,-1.07,0.31,0.55,-0.43,0.02,-0.9,-0.11,-0.09,-0.1,0.41,2.95,-2.13,0.06,-0.2,0.61,-0.09,0.39,0.07499999999999998,1.21
1980-01-01,0.57,-0.31,-0.2,-0.24,4.76,0.22,-0.36,0.065,3.86,5.03,4.23,1.83,0.26,4.25,-0.02,0.55,-0.04,0.41500000000000004,2.29,0.38,1.81,0.19,-0.13,2.41,0.23,2.31,-0.155,0.03,0.92,-0.24,-0.16,-0.02,-0.24,1.01
1980-04-01,-1.145,0.08,0.07,0.63,2.07,0.27,-0.41,0.32999999999999996,-3.65,-3.05,2.17,2.51,0.61,1.28,-0.04,-0.07,0.56,-0.21500000000000002,-2.49,-0.69,-2.54,0.39,0.68,-2.97,0.52,4.18,0.07,0.09,-0.02,0.55,0.05,0.89,0.54,0.39
1980-07-01,-0.04999999999999993,0.4,0.12,0.88,1.32,0.32,1.64,0.395,-2.3,-0.5,1.95,-2.71,0.88,0.76,-0.1,-0.53,0.76,0.28,1.78,-0.06,-0.85,-0.01,-0.66,1.39,0.77,-2.66,-0.235,0.12,0.91,0.31,0.35,1.19,-0.255,0.05
1980-10-01,1.165,0.02,0.27,0.93,1.37,0.38,-2.99,-0.33,4.55,4.31,2.06,3.4,1.05,0.76,-0.08,-0.61,0.65,-0.27,0.22,0.13,1.13,-0.07,1.16,0.27,0.91,3.54,-0.12,0.14,-1.29,-0.66,-0.62,1.3,-0.295,0.26
1981-01-01,1.3450000000000002,0.18,0.6,1.55,8.02,0.44,4.51,0.33499999999999996,0.16,1.23,7.97,1.48,1.24,5.98,-0.04,0.08,0.95,0.06499999999999997,0.06,0.5,1.71,0.81,0.11,-0.92,1.14,1.41,-0.18499999999999997,0.11,-0.17,0.47,0.09,1.99,-0.335,-0.75
1981-04-01,0.385,-0.06,0.42,1.01,4.66,0.48,2.28,0.33,3.63,5.45,3.77,-2.59,1.05,2.28,-0.05,0.94,0.59,0.615,1.29,0.21,0.78,0.99,-0.06,0.35,0.98,-1.29,0.85,0.06,0.77,-0.32,0.36,1.49,0.27999999999999997,1.32
1981-07-01,-0.019999999999999907,-0.03,0.43,1.18,-0.36,0.49,-1.87,-0.14500000000000002,2.01,2.16,0.76,1.62,1.23,-0.91,-0.12,-1.0,0.76,0.345,-0.61,-0.11,-0.47,-0.86,-0.14,0.29,1.14,1.57,0.515,0.09,-1.07,0.01,0.35,1.68,-0.33499999999999996,-0.28
1981-10-01,2.3049999999999997,0.19,0.38,1.01,6.7,0.54,3.73,0.045,1.9,4.13,6.04,-2.29,1.0,4.49,-0.09,0.76,0.63,0.015,1.49,-0.05,0.19,0.4,-0.29,0.9,0.92,-0.73,0.05500000000000002,0.07,1.23,0.25,0.17,1.56,0.33,1.42
1982-01-01,-1.575,0.13,0.24,0.38,3.86,0.71,-2.15,0.21000000000000002,-1.03,0.31,4.68,5.75,1.17,3.58,-0.15,-0.66,0.14,-0.060000000000000005,-1.67,0.0,-0.04,-0.24,0.59,-1.56,1.16,7.4,-0.06,0.01,0.18,-0.06,0.29,1.1,-0.09,0.82
1982-04-01,1.02,0.46,0.9,1.3,2.41,0.75,1.78,0.16,4.13,5.24,2.22,-2.15,1.26,0.16,-0.24,0.43,0.4,0.8300000000000001,0.5,0.22,0.66,0.27,-0.14,-0.23,1.19,-2.12,0.395,0.08,-0.15,0.03,-0.05,2.06,0.10999999999999999,0.19
1982-07-01,0.21499999999999997,-0.22,-0.02,0.19,7.42,0.84,1.57,0.155,-0.58,1.23,6.78,2.09,1.37,5.76,-0.29,0.93,0.21,-0.26,0.11,-0.05,0.47,-0.19,1.52,0.51,1.32,4.07,-0.03,0.05,0.44,0.31,1.11,1.02,0.21000000000000002,-0.95
1982-10-01,0.915,0.86,0.4,0.71,3.34,0.9,2.6,0.305,3.45,5.47,5.6,0.86,1.29,3.99,-0.3,-1.95,0.31,0.495,0.39,0.08,0.08,0.09,-0.14,-0.56,1.22,1.0,0.36,0.07,0.74,0.19,-1.08,1.61,0.865,1.17
1983-01-01,-0.015000000000000013,-0.39,0.12,0.9,1.74,0.95,2.04,0.18,0.25,2.16,0.26,-2.23,1.47,-1.6,-0.32,1.8,0.78,-0.14,-1.53,-0.07,-0.14,-0.45,0.07,-0.7,1.39,-2.11,0.47,0.08,0.43,-0.09,-0.04,1.86,0.76,0.19
1983-04-01,1.23,0.59,-0.11,0.14,5.16,1.05,1.18,0.26,2.16,3.69,5.25,0.26,1.53,4.06,-0.34,0.25,0.25,0.27,3.31,-0.15,-0.61,0.0,-0.04,2.72,1.42,-0.42,0.21,0.11,-0.01,0.13,-0.2,1.19,0.08,-0.58
1983-07-01,1.4100000000000001,-0.04,0.1,0.23,0.36,1.1,-0.27,0.065,2.61,3.74,0.08,-0.7,1.17,-1.25,-0.27,0.56,0.13,0.27,-0.41,0.03,-0.12,-0.26,-0.42,-0.1,1.05,-0.57,-0.245,0.12,-0.04,0.63,-0.03,1.32,-0.27999999999999997,-0.06
1983-10-01,0.21500000000000002,-0.27,0.03,0.17,3.22,1.18,0.86,0.1,4.66,6.06,4.34,1.82,1.23,3.0,-0.21,-0.91,0.13,1.375,-1.62,0.04,0.28,0.19,0.53,-1.53,1.06,3.76,0.285,0.17,0.17,-0.04,0.23,1.34,0.625,1.22
1984-01-01,-0.5900000000000001,-1.61,0.24,0.6,0.9,1.21,0.92,0.195,0.01,0.52,1.05,0.53,1.01,-0.77,-0.22,0.07,0.37,-0.56,-1.66,0.41,0.99,-0.27,-0.58,0.23,0.81,-0.03,0.13499999999999998,0.21,-0.51,-0.06,0.75,1.82,0.585,-0.67
1984-04-01,-1.3050000000000002,1.5,0.43,0.86,2.34,1.33,0.09,0.345,0.75,2.57,2.35,-0.81,1.68,0.17,-0.26,0.25,0.43,-0.225,1.67,0.31,1.57,0.07,-0.06,0.11,1.45,-1.6,-0.17,0.23,0.14,-0.07,-0.59,2.19,0.8400000000000001,-0.06
1984-07-01,-0.495,-0.98,0.15,0.29,-0.24,1.38,-3.9,-0.395,-2.29,-0.24,0.95,2.26,1.78,-0.73,-0.26,-0.93,0.14,-0.62,0.1,-0.39,-1.76,-0.05,0.52,1.13,1.54,3.07,0.16,0.24,0.27,-0.31,0.17,1.67,-0.665,0.42
1984-10-01,2.17,2.12,0.39,0.61,4.63,1.47,3.65,0.8400000000000001,10.37,12.75,3.79,-2.29,2.36,1.7,-0.22,1.06,0.22,2.1,0.8,0.46,2.61,-0.06,-0.68,-1.25,2.15,-2.75,0.275,0.22,0.01,0.8,-0.23,2.08,0.095,-0.36
1985-01-01,-0.034999999999999976,-1.28,0.21,0.68,2.59,1.48,-0.3,0.135,-2.36,0.07,2.85,0.43,2.15,0.7,-0.25,-0.02,0.47,-0.99,-0.25,-0.09,-0.75,0.46,0.83,0.57,2.11,1.25,-0.23,0.05,0.28,-0.46,0.5,2.15,0.20500000000000002,-0.05
1985-04-01,1.7149999999999999,-1.49,0.36,0.83,3.75,1.6,1.46,0.305,5.88,8.88,4.2,1.26,1.74,1.78,-0.26,-0.19,0.47,-0.14,-1.41,0.72,2.0,0.17,-0.07,-0.08,1.57,1.72,0.1,0.18,1.26,0.25,-0.16,2.43,0.33,0.44
1985-07-01,1.32,-0.58,0.43,0.67,9.99,1.62,3.05,0.53,4.26,5.57,10.53,1.25,1.13,8.24,-0.3,-0.24,0.24,0.9199999999999999,0.65,0.16,1.18,0.69,1.52,0.54,0.93,4.54,0.385,0.2,0.18,-0.06,0.39,2.29,-0.16,1.44
1985-10-01,1.66,0.72,0.22,-0.14,1.22,1.55,-0.92,-0.24,0.9,1.41,1.2,-0.19,0.57,-0.2,-0.2,0.21,-0.36,0.505,-0.76,-0.35,-1.43,-0.55,0.6,-0.93,0.42,1.48,-0.295,0.15,-0.06,-0.08,0.04,1.4,-0.76,1.11
1986-01-01,-0.765,1.58,-0.01,0.13,-0.11,1.55,-2.29,-0.035,-2.03,-1.96,-0.26,-0.82,0.0,-1.94,-0.2,0.34,0.14,-0.3,2.26,-0.41,-1.63,0.32,-0.91,0.37,-0.18,-1.91,-0.475,0.18,0.07,0.9,0.08,1.68,0.435,-1.16
1986-04-01,3.78,2.01,-0.67,-0.16,11.01,1.64,5.54,0.28,5.34,5.87,11.44,0.25,0.35,9.97,-0.11,-0.32,0.51,1.255,2.2,-0.24,-1.25,-0.07,1.06,0.27,0.23,2.23,0.5499999999999999,0.11,0.18,-0.6,0.16,1.47,0.32,1.36
1986-07-01,1.815,-0.58,-0.37,0.01,4.77,1.59,0.93,0.08,9.75,11.21,4.95,1.56,0.85,3.34,-0.09,-0.09,0.38,0.745,-1.11,1.0,4.14,-0.34,1.64,-0.19,0.74,3.52,0.085,0.11,0.61,0.06,-0.18,1.61,0.05,0.45
1986-10-01,0.525,0.0,0.07,0.27,-8.52,1.52,-1.98,0.135,-1.57,-1.02,-8.28,-3.05,1.26,-10.07,-0.05,-0.19,0.2,-1.185,0.44,-0.12,-1.85,0.33,-2.81,0.1,1.12,-8.52,-0.635,0.14,-0.7,-0.21,0.0,1.79,0.37,-2.44
1987-01-01,-0.24499999999999997,-2.21,-0.24,-0.02,6.46,1.55,0.38,0.255,-1.75,0.33,6.57,2.92,1.59,5.03,-0.04,-0.06,0.22,0.275,-1.44,-0.4,-1.46,0.93,1.77,-0.16,1.49,6.09,0.125,0.1,0.5,-0.15,0.39,1.54,-0.16999999999999998,1.16
1987-04-01,-1.01,1.38,0.72,0.79,4.55,1.46,0.84,0.255,3.17,4.43,4.38,0.2,1.0,2.12,-0.06,0.22,0.08,1.295,0.55,0.49,1.16,-0.43,-0.21,-0.4,0.89,0.74,0.56,0.11,0.26,0.3,0.31,2.26,0.07500000000000001,0.14
1987-07-01,2.48,0.24,0.34,0.79,2.5,1.34,2.3,-0.09000000000000001,1.72,2.09,2.76,-0.32,0.39,0.63,-0.04,-0.22,0.44,-0.12999999999999998,0.89,-0.12,1.02,-0.22,-0.76,0.87,0.32,-2.55,-0.22499999999999998,0.07,-0.02,-0.32,-0.62,2.13,-0.475,-0.53
1987-10-01,-0.45499999999999996,-0.41,-0.18,-0.15,2.31,1.26,-0.25,-0.04,-1.29,-1.17,1.88,-0.59,-0.39,0.77,-0.02,0.46,0.03,-0.475,0.65,0.53,1.34,0.59,0.08,0.47,-0.46,0.38,-0.46,0.06,0.51,0.74,0.16,1.11,-0.265,-0.02
1988-01-01,-1.25,0.22,-0.51,-0.98,1.43,1.2,0.0,0.0,-5.56,-7.3,1.76,0.03,-0.78,1.54,-0.04,-0.29,-0.47,-0.915,-1.08,-0.27,-1.22,-0.12,1.33,-1.18,-1.02,2.62,0.13,0.24,-0.96,-0.22,0.28,0.22,0.0,1.21
1988-04-01,-0.215,0.82,-0.44,-0.88,-1.02,1.1,-0.77,-0.005000000000000001,-1.09,-1.19,-0.95,0.23,-0.75,-1.17,-0.02,-0.05,-0.44,1.205,0.22,-0.76,-2.42,-0.12,-0.11,-0.48,-0.93,-0.62,-0.32,0.18,0.65,0.21,-0.57,0.22,0.0,-0.38
1988-07-01,-1.31,-1.11,-0.52,-0.51,-1.73,0.99,-0.52,-0.30500000000000005,0.39,-1.35,-0.94,-0.52,-0.61,-1.42,0.0,-0.79,0.01,-0.54,-1.4,0.88,2.86,-0.28,0.62,-0.01,-0.79,0.5,0.010000000000000002,0.18,-1.13,0.34,0.23,0.48,0.20500000000000002,-0.17
1988-10-01,1.025,0.16,-0.01,-0.21,8.04,0.89,2.43,0.4,1.17,0.39,7.08,2.17,-0.7,6.4,0.0,0.96,-0.2,1.15,0.86,-0.22,-1.48,-0.13,1.16,0.82,-0.86,3.12,0.845,0.16,-0.08,-0.82,-0.04,0.67,-0.7749999999999999,0.65
1989-01-01,-0.905,0.43,0.44,0.03,-9.43,0.76,-2.28,-0.285,0.54,-1.07,-9.15,-2.75,-0.89,-9.94,-0.04,-0.25,-0.4,-0.8049999999999999,-0.05,0.28,1.83,-0.03,-3.69,-0.45,-0.97,-7.61,0.13000000000000003,0.08,-0.72,0.67,0.71,0.8,-0.049999999999999996,-2.56
1989-04-01,-0.29500000000000004,-0.83,0.29,0.47,9.2,0.74,1.06,0.05,-1.04,-2.08,9.14,1.28,-0.61,7.93,-0.13,0.19,0.19,0.73,0.01,0.18,0.21,0.61,3.77,0.23,-0.81,6.86,-0.525,0.2,-0.43,0.11,-0.69,1.21,-0.145,2.4
1989-07-01,-0.04999999999999999,0.13,0.19,0.63,-0.09,0.68,-0.88,0.42000000000000004,4.42,4.15,-0.02,-0.07,-0.37,-1.33,-0.1,0.04,0.43,0.46,0.1,0.11,0.3,-0.26,-0.65,0.23,-0.55,-0.55,0.5149999999999999,0.18,0.11,0.14,-0.04,1.31,0.20999999999999996,0.08
1989-10-01,0.42500000000000004,-0.96,0.12,-0.17,-0.42,0.64,-2.57,-0.55,-4.13,-4.57,-0.39,0.08,-0.13,-0.86,-0.18,0.14,-0.29,-0.9450000000000001,-1.32,-0.38,-2.52,-0.58,1.6,0.22,-0.41,3.03,-0.325,0.28,-0.31,-0.47,0.59,0.47,-0.51,1.23
1990-01-01,-1.6400000000000001,0.72,-0.3,-0.72,3.14,0.6,1.83,0.48,1.69,1.65,3.43,2.69,-0.14,3.55,-0.06,-0.23,-0.42,1.515,-0.59,0.3,1.48,-0.65,0.07,-0.67,-0.22,2.31,0.33999999999999997,0.08,0.1,-0.08,-0.56,-0.12,0.175,0.19
1990-04-01,0.63,-0.01,-0.74,-0.7,-3.22,0.5,-0.97,-0.69,1.6,0.87,-3.52,-0.82,-0.69,-3.32,0.27,0.03,0.04,-0.75,0.38,0.81,0.61,0.37,-1.75,0.03,-0.54,-2.73,0.28500000000000003,-0.16,-0.03,0.35,0.01,-0.2,0.12,-0.51
1990-07-01,-0.7,-0.58,-0.45,-0.04,-5.41,0.43,-0.08,0.73,1.61,0.94,-4.5,-0.32,-0.7,-4.88,-0.01,-0.9,0.41,1.28,-1.31,-0.6,-0.06,-0.26,-2.97,-0.47,-0.84,-3.49,-0.295,0.14,0.02,1.0,0.08,0.39,0.08,-1.28
1990-10-01,0.07000000000000006,0.57,-0.66,0.75,5.3,0.35,-0.27,-0.81,-0.95,-2.88,6.26,1.06,-0.87,5.16,0.17,-1.13,1.41,0.12000000000000005,2.96,-0.29,-1.38,-0.11,0.15,2.5,-0.94,2.47,1.105,0.07,-1.06,0.71,0.42,1.1,-0.26,0.13
1991-01-01,-2.15,-0.14,-0.55,2.82,10.61,0.27,-0.04,0.31,-2.27,-4.55,8.79,0.62,-1.7,5.7,0.23,1.58,3.38,-0.445,0.14,1.26,3.79,0.89,0.56,-0.6,-1.63,5.6,-1.325,-0.07,-0.58,3.12,2.06,3.1,-0.075,-0.78
1991-04-01,0.375,-0.09,0.17,-1.91,-2.17,0.19,0.68,0.305,3.63,2.34,-1.98,-0.19,-1.25,-0.27,0.1,-0.29,-2.08,0.36500000000000005,-1.82,-0.57,0.35,-0.57,-0.57,-1.16,-1.36,0.88,0.295,0.11,-0.03,0.93,0.81,-1.72,0.9199999999999999,-0.11
1991-07-01,-0.425,-0.27,-0.04,-2.93,-4.76,0.13,-1.13,-0.655,-1.93,-3.4,-4.71,-0.24,-1.07,-1.9,0.14,-0.19,-2.89,-0.28,0.14,0.27,0.27,-0.11,0.04,0.52,-1.11,-0.92,-0.12,0.04,-0.4,-0.8,0.98,-2.8,-0.325,-0.9
1991-10-01,-1.04,0.25,0.03,-2.92,-9.04,0.06,-2.52,-0.37,-6.69,-7.07,-10.27,1.32,-0.49,-7.41,0.12,1.1,-2.95,-0.6699999999999999,-0.36,-0.57,-2.03,0.41,2.29,-1.03,-0.62,-4.53,-0.14500000000000002,0.14,0.12,-4.0,-3.87,-2.86,-1.08,-0.27
1992-01-01,-0.455,-0.86,-0.18,-1.85,-3.48,-0.05,-0.27,0.585,0.87,1.31,-2.48,-0.8,-0.22,-0.58,-0.07,-0.93,-1.67,-0.29000000000000004,-0.6,0.21,0.16,0.15,1.04,0.12,-0.48,0.29,0.32999999999999996,0.25,0.66,-0.51,0.59,-1.9,-0.06,-0.03
1992-04-01,0.815,1.56,0.34,-0.3,-2.83,-0.11,-1.22,-0.355,1.42,0.91,-2.08,-1.44,-0.76,-1.67,0.15,-0.9,-0.64,0.74,1.42,-0.53,-1.03,-0.27,-1.89,0.13,-0.75,-1.87,-0.305,-0.01,0.25,2.85,-0.02,-0.41,-0.02,-1.37
1992-07-01,-0.71,-0.88,-0.73,-1.65,6.98,-0.17,1.01,0.625,1.42,0.01,6.49,0.55,-0.7,8.31,0.13,0.36,-0.92,0.10999999999999999,-0.5,0.57,0.95,0.24,3.47,0.14,-0.73,7.8,-0.12,0.03,-0.71,0.15,1.82,-1.82,0.555,1.82
1992-10-01,-0.5549999999999999,-0.09,0.03,-0.58,-2.14,-0.23,0.1,-0.255,-1.64,-2.01,-3.62,1.75,-0.9,-2.81,0.25,1.23,-0.61,-0.605,-1.09,0.46,1.28,-0.29,2.78,-0.71,-0.89,-1.82,-0.12,0.0,0.53,-3.88,-1.94,-0.81,-0.105,-0.53
