Date,Aircraft,Ammunition,Civilian,Compensation of general government employees,Consumption expenditures,Consumption of general government fixed capital,Durable goods,Electronics,Equipment,Gross investment,Gross output of general government,Installation support,Intellectual property products,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Military,Missiles,National defense consumption expenditures and gross investment,Nondurable goods,Other durable goods,Other equipment,Other nondurable goods,Personnel support,Petroleum products,Research and development,Services,Ships,Software,Structures,Transportation of material,Travel of persons,Value added,Vehicles,Weapons support
1972-04-01,6.15,-9.3,2.2,-9.1,-3.8,-3.7,-3.1,-22.0,223.7,51.6,-2.3,143.8,6.3,15.4,8.0,520.6,-14.3,-3.1999999999999997,3.4,-10.3,25.8,-97.9,5.3,14.8,-17.7,6.1,42.5,201.10000000000002,14.5,-11.8,0.4,-1.6,-7.4,17.250000000000004,-24.8
1972-07-01,-47.650000000000006,-15.1,0.6,0.6,-17.7,-3.4,-35.9,1.5500000000000007,-82.7,-42.7,-17.7,-86.5,4.6,-56.2,4.9,-74.2,0.6,48.349999999999994,-22.4,-33.3,-34.7,20468.5,-78.8,-37.6,-15.6,4.0,-71.5,-41.2,25.6,-2.0,-59.2,-77.7,-0.7,5.349999999999998,-28.4
1972-10-01,13.8,8.5,-1.1,1.4,-3.5,-3.0,-11.2,48.65,179.6,35.1,-2.7,-20.5,2.1,-12.2,6.4,127.6,2.7,-56.5,1.8,-25.9,-9.4,-97.2,92.5,43.1,-68.2,1.7,-4.6,-12.399999999999999,18.7,-12.8,22.4,207.6,-0.1,35.85,-62.8
1973-01-01,7.999999999999998,-30.1,-14.4,-10.7,-3.2,-2.7,28.7,7.05,277.5,60.0,-3.6,39.4,0.3,15.9,-6.7,-29.6,-8.7,143.55,5.7,-15.9,180.9,-96.2,1.6,-43.1,-2.2,-0.5,27.9,51.0,29.2,-8.9,-21.9,27.3,-8.1,-30.05,273.0
1973-04-01,-33.95,-10.8,-1.0,-7.5,-5.6,-2.6,-8.2,-20.15,-39.2,-17.3,-2.9,130.3,-2.2,8.4,-1.0,1607.7,-10.8,15.9,-7.9,-13.1,8.9,-99.7,45.2,48.1,-34.0,-2.6,33.3,23.3,13.5,8.4,6.8,-54.1,-5.9,142.4,-18.3
1973-07-01,-39.599999999999994,-73.4,-3.0,-5.4,-15.7,-2.7,-44.4,-47.75,-69.0,-31.8,-15.2,-27.2,-4.5,-45.3,-0.6,-9.6,-6.6,-47.05,-18.7,-65.0,-51.3,28444.1,-47.8,-43.9,-62.3,-5.2,-33.9,-68.25,17.0,22.3,-28.6,113.5,-4.4,-81.0,-73.1
1973-10-01,128.25,57.9,3.5,-0.4,4.7,-2.7,31.2,134.75,-9.8,-5.7,2.9,-23.4,-6.2,19.9,1.9,-75.9,-2.5,35.0,2.9,23.4,-43.8,5013.4,27.8,154.2,0.6,-7.0,13.0,-9.45,18.1,2.9,-7.1,-18.1,-1.2,44.449999999999996,122.9
1974-01-01,-58.900000000000006,-32.0,5.1,0.3,-0.5,-2.5,-35.6,-52.8,331.9,50.4,1.5,123.3,-8.0,9.7,-6.4,523.9,-2.2,4.5,6.8,-7.5,56.9,-96.0,51.3,-16.3,-4.9,-8.8,56.2,31.25,17.5,-17.5,-20.3,43.0,-0.7,67.4,120.1
1974-04-01,88.4,-31.3,2.9,-0.7,2.4,-2.2,39.6,148.35,49.0,13.4,2.6,-28.7,-6.5,16.6,0.0,20.2,-2.6,39.400000000000006,4.3,44.3,28.2,-98.9,24.2,-27.4,146.6,-7.4,-2.7,69.3,18.6,3.6,118.4,11.8,-1.2,81.3,16.2
1974-07-01,-43.85,-63.2,3.8,-2.0,-11.9,-2.0,-60.0,-64.95,81.6,16.1,-12.0,22.2,-6.5,-39.2,-3.0,-32.8,-4.9,-15.200000000000001,-7.2,-45.4,167.7,,-7.4,1.2,-46.3,-7.0,-22.8,1.9000000000000004,6.8,-45.2,-67.3,-18.0,-2.0,-86.35,-56.3
