Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,Energy goods and services,"Entertainment, literary, and artistic originals",Equipment,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Final sales of computers to domestic purchasers,Financial services and insurance,Fixed investment,Food,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic purchases excluding final sales of computers to domestic purchasers,Gross domestic purchases excluding food and energy,Gross investment,Gross private domestic investment,Health care,Household consumption expenditures,Housing and utilities,Industrial equipment,Information processing equipment,Intellectual property products,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1982-07-01,0.02,0.03,-0.02,0.30666666666666664,0.11,0.67,0.02,0.18,0.01,0.35,-0.03,-0.03,0.52,0.46,0.13,0.13,0.25,0.02,0.53,1.11,1.04,5.45,4.61,0.04,0.48,0.73,2.82,0.89,0.06,0.02,0.09,0.07,0.23,0.12,1.01,0.01,0.36,0.04,0.02,0.04,0.31,0.19,3.9,0.1,0.0,0.07,0.1,2.79,0.01,0.69,0.09,0.05,0.12
1982-10-01,-0.06,-0.05,0.0,0.2866666666666667,0.09,0.21,0.01,0.16,-0.02,0.49,-0.1,-0.01,0.46,0.24,-0.18,-0.15,0.18,0.06,-0.2,0.14,1.05,3.97,3.93,0.06333333333333334,0.18,0.62,2.69,1.06,0.05,0.06,0.1,0.01,0.36,0.13,0.05,-0.04,0.18,0.06,0.02,0.04,0.45,0.29,2.72,0.08,-0.01,0.09,0.06,2.59,0.0,0.56,-0.07,0.01,0.0
1983-01-01,0.0,0.08,-0.19,0.12333333333333334,0.22,-0.53,0.03,0.05,-0.03,0.08,-0.16,-0.23,0.29,-0.11,-0.01,0.01,0.17,0.05,-0.7,0.01,0.39,2.52,2.83,0.01,-0.11,0.68,2.17,0.68,0.06,-0.06,0.08,0.15,0.17,-0.1,-0.21,0.02,-0.19,0.13,0.04,0.03,0.4,0.31,2.01,0.06,-0.02,0.06,0.08,2.01,-0.01,0.32,-0.32,0.02,-0.03
1983-04-01,-0.1,0.09,-0.16,0.2333333333333333,0.12,0.38,0.02,-0.03,-0.11,0.33,0.0,-0.19,-0.48,-0.11,0.23,0.35,0.17,0.05,0.31,1.05,0.8,3.03,2.23,0.03,-0.2,0.44,1.19,0.6,0.05,-0.09,0.05,0.07,0.17,0.16,0.93,0.02,-0.15,0.07,0.04,0.01,0.18,0.22,2.24,0.07,-0.04,0.04,0.04,1.19,-0.01,0.47,-0.17,0.0,0.17
1983-07-01,-0.1,0.12,-0.16,0.24333333333333332,0.18,0.2,0.02,-0.05,-0.12,0.47,-0.1,-0.19,1.1,0.11,-0.06,0.06,0.12,0.04,0.19,0.74,0.88,4.33,4.0,0.05333333333333334,0.01,0.6,2.6,0.41,0.01,-0.07,0.09,0.13,0.36,0.11,0.56,0.02,0.01,0.09,0.05,-0.01,0.19,0.21,3.25,0.01,-0.04,0.08,0.1,2.51,-0.01,0.41,-0.03,0.02,0.14
1983-10-01,0.01,-0.07,-0.11,0.17,0.2,-0.1,0.01,0.04,-0.02,0.28,-0.1,-0.13,-0.17,0.23,0.1,0.11,0.21,0.03,-0.22,0.17,0.58,2.57,2.44,0.023333333333333334,0.24,0.56,1.54,0.56,0.01,-0.04,0.06,0.17,0.31,-0.03,-0.03,0.03,0.07,0.07,0.01,0.03,0.14,0.21,1.61,0.09,-0.01,0.06,0.16,1.44,-0.01,0.31,-0.03,0.04,0.08
1984-01-01,0.02,0.02,-0.18,0.32666666666666666,0.01,0.09,0.0,0.02,-0.02,0.53,-0.02,-0.2,0.0,0.24,0.56,0.58,0.21,0.0,0.06,0.85,1.11,4.22,3.37,0.04666666666666667,0.25,0.51,1.82,0.48,0.02,-0.09,0.08,0.02,0.35,0.18,0.83,0.04,0.12,0.09,0.02,0.03,0.18,0.43,2.65,0.07,-0.03,0.08,0.12,1.8,-0.01,0.58,0.02,0.06,0.12
1984-04-01,0.06,-0.08,-0.15,0.24333333333333332,0.21,0.08,0.03,0.03,0.0,0.41,0.0,-0.17,0.56,0.41,-0.01,-0.01,0.19,0.05,-0.02,0.26,0.79,3.76,3.52,0.02,0.46,0.44,2.09,0.67,0.04,-0.08,0.05,0.15,0.27,0.14,0.05,0.05,0.25,0.07,0.03,0.04,0.14,0.15,2.35,0.08,-0.02,0.02,0.16,2.09,0.0,0.38,0.17,0.03,0.02
1984-07-01,0.01,0.11,-0.14,0.2833333333333333,0.07,-0.15,0.03,-0.04,-0.02,0.59,-0.06,-0.15,0.39,0.32,0.15,0.17,0.15,0.0,-0.32,0.23,0.97,3.3,3.15,0.036666666666666674,0.33,0.38,1.7,0.71,0.0,-0.09,0.07,0.11,0.47,0.13,0.16,0.03,0.14,0.04,0.0,0.03,0.19,0.05,1.86,0.07,-0.04,0.05,0.18,1.63,-0.01,0.37,0.11,0.02,-0.06
1984-10-01,-0.03,0.07,-0.1,0.2866666666666667,0.06,0.07,0.01,-0.05,-0.04,0.49,-0.07,-0.11,-0.02,0.23,-0.03,0.03,0.13,0.05,0.03,0.31,0.89,2.69,2.53,0.013333333333333334,0.2,0.42,1.24,0.47,0.01,-0.07,0.01,0.03,0.42,0.08,0.25,0.01,0.06,0.03,0.0,0.0,0.12,0.08,1.48,0.07,-0.01,0.01,0.17,1.17,-0.01,0.4,0.1,0.02,0.09
1985-01-01,0.01,0.12,-0.15,0.09333333333333334,0.17,0.02,0.03,-0.05,-0.01,-0.16,-0.01,-0.16,0.81,0.23,0.16,0.17,0.17,0.02,-0.01,0.65,0.32,3.59,3.25,0.013333333333333334,0.25,0.41,2.22,0.54,0.0,-0.12,0.06,0.14,-0.28,0.12,0.48,0.02,0.15,0.03,0.01,0.03,0.2,0.14,2.86,0.08,0.01,0.04,0.08,2.21,0.0,0.48,0.14,0.04,0.08
1985-04-01,0.0,0.05,-0.13,0.18000000000000002,0.08,0.3,0.01,0.01,-0.01,0.09,-0.03,-0.15,-0.09,0.12,-0.06,-0.05,0.22,0.06,0.26,0.5,0.5,2.75,2.36,-0.016666666666666666,0.12,0.41,1.51,0.63,0.04,-0.12,0.03,0.06,0.03,0.07,0.42,0.01,0.08,0.01,0.03,0.03,0.16,0.27,1.98,0.07,-0.06,0.03,0.04,1.48,-0.02,0.41,0.04,0.07,0.0
1985-07-01,-0.02,0.04,-0.11,0.15666666666666665,-0.06,-0.12,0.02,0.06,-0.02,0.22,0.02,-0.13,0.39,0.32,-0.03,0.0,0.16,-0.06,-0.07,0.09,0.56,2.94,2.96,0.03,0.3,0.35,1.83,0.56,0.06,-0.11,0.04,0.05,0.18,0.04,0.14,0.0,0.19,0.0,0.01,0.05,0.18,0.28,1.94,0.05,-0.05,0.03,0.13,1.85,-0.01,0.34,0.09,0.06,0.04
1985-10-01,0.0,0.06,-0.13,0.22333333333333336,0.09,0.07,0.01,0.13,-0.01,0.27,0.07,-0.17,-0.35,0.45,0.22,0.23,0.17,0.08,0.05,0.64,0.66,3.01,2.56,-0.003333333333333334,0.45,0.35,1.03,0.54,0.07,-0.09,0.0,0.07,0.25,0.02,0.54,0.01,0.23,0.04,0.0,0.03,0.2,0.23,1.74,0.06,-0.05,0.01,0.22,1.1,-0.02,0.39,0.1,0.12,0.04
1986-01-01,-0.05,-0.09,-0.21,0.03666666666666666,0.01,-0.65,0.04,0.04,0.0,-0.1,-0.08,-0.27,0.67,0.37,0.17,0.17,0.12,-0.01,-0.61,-0.32,0.07,2.42,2.64,-0.013333333333333334,0.32,0.44,2.16,0.61,0.1,-0.15,0.02,0.06,-0.17,0.07,-0.32,-0.05,0.14,0.07,0.01,0.02,0.22,0.26,1.77,0.1,-0.06,0.02,0.23,2.08,-0.03,0.17,0.07,0.07,-0.02
1986-04-01,-0.09,-0.13,-0.08,0.023333333333333334,0.16,-1.76,0.01,0.25,0.0,-0.11,-0.11,-0.11,-0.17,0.55,0.09,0.08,0.18,0.04,-1.65,-1.44,0.08,0.41,1.98,0.0,0.46,0.42,1.32,0.55,0.07,-0.02,0.01,0.13,-0.17,0.06,-1.59,-0.1,0.35,0.06,0.04,0.07,0.1,0.26,-0.23,0.04,-0.05,0.03,0.2,1.21,-0.02,0.19,0.08,0.14,0.04
1986-07-01,-0.08,0.09,0.04,0.12333333333333334,0.31,-0.52,0.02,0.26,-0.04,0.05,-0.04,0.04,-0.28,0.62,0.35,0.41,0.16,0.04,-0.51,0.49,0.42,2.25,2.45,0.013333333333333334,0.54,0.39,0.89,0.38,0.07,0.12,0.02,0.24,0.01,0.04,0.18,-0.04,0.35,0.08,0.07,0.05,0.19,0.19,1.33,0.05,-0.04,0.01,0.27,0.85,-0.01,0.37,0.07,0.03,0.0
1986-10-01,0.0,0.04,-0.01,0.18666666666666668,0.22,-0.34,0.01,0.15,-0.01,0.03,-0.02,-0.02,-0.06,0.5,0.17,0.18,0.17,0.03,-0.17,0.36,0.58,2.62,2.77,0.006666666666666668,0.5,0.47,1.19,0.28,0.02,-0.01,0.02,0.17,0.0,0.03,0.15,0.01,0.26,0.0,0.04,0.02,0.1,0.15,1.53,0.06,-0.03,0.01,0.23,1.16,0.0,0.54,0.08,0.12,0.12
1987-01-01,-0.02,0.17,-0.23,0.1566666666666667,0.31,0.78,0.01,0.02,-0.01,-0.09,0.0,-0.26,-0.56,0.32,0.24,0.26,0.18,0.05,0.77,1.76,0.53,3.46,2.18,0.016666666666666666,0.3,0.42,0.61,0.41,0.12,-0.13,0.04,0.1,0.03,-0.11,1.45,0.0,0.08,0.1,0.11,0.03,0.26,-0.01,2.37,0.08,0.05,0.03,0.24,0.61,0.0,0.61,0.01,0.0,0.1
1987-04-01,0.01,0.15,-0.17,0.21333333333333335,0.28,0.16,0.02,-0.11,-0.01,0.17,-0.03,-0.2,0.04,0.19,0.21,0.21,0.14,0.03,0.17,1.01,0.7,3.51,2.94,0.02,0.2,0.5,1.43,0.49,0.06,-0.14,0.05,0.26,0.13,0.04,0.73,0.01,0.01,0.03,0.06,0.02,0.19,0.13,2.41,0.08,-0.06,0.03,0.18,1.4,0.0,0.53,0.07,-0.05,0.05
1987-07-01,-0.01,0.02,-0.13,0.2233333333333333,0.26,0.4,0.03,-0.12,0.0,0.27,0.03,-0.15,0.07,0.22,0.09,0.1,0.17,0.04,0.33,0.89,0.78,3.52,2.87,0.036666666666666674,0.22,0.48,1.45,0.4,0.01,-0.13,0.07,0.22,0.2,0.06,0.63,-0.01,0.03,0.0,0.08,0.0,0.18,0.13,2.37,0.07,-0.08,0.04,0.19,1.48,0.0,0.51,0.08,0.0,0.13
1987-10-01,-0.02,0.19,0.01,0.10999999999999999,0.15,-0.04,0.03,0.22,-0.04,0.06,0.0,0.01,0.15,0.66,0.04,0.07,0.13,-0.01,0.03,0.56,0.31,3.09,3.11,-0.006666666666666665,0.64,0.45,1.59,0.48,0.1,0.08,0.1,0.09,0.03,0.03,0.41,0.02,0.47,0.07,0.05,0.03,0.12,0.18,2.15,0.07,0.02,0.08,0.19,1.59,-0.01,0.25,0.14,0.01,0.13
1988-01-01,0.0,-0.01,-0.03,0.16333333333333333,-0.06,-0.22,0.01,0.12,-0.01,0.51,-0.01,-0.04,0.21,0.59,0.14,0.15,0.2,0.03,-0.17,0.16,0.73,3.32,3.35,0.08,0.59,0.59,1.81,0.47,0.07,0.01,0.11,-0.16,0.37,0.14,0.22,0.01,0.45,0.05,0.07,0.06,0.25,0.21,1.96,0.05,0.0,0.09,0.14,1.81,0.0,0.22,0.22,-0.02,0.07
1988-04-01,0.02,0.26,-0.08,0.21333333333333335,0.2,0.01,0.0,0.06,-0.03,0.36,-0.02,-0.1,0.23,0.44,0.22,0.22,0.2,0.08,-0.02,0.86,0.78,4.12,3.79,0.043333333333333335,0.46,0.67,1.94,0.37,0.09,-0.12,0.06,0.07,0.26,0.09,0.66,0.06,0.26,-0.04,0.06,0.05,0.2,0.29,2.78,0.07,0.0,0.07,0.18,1.92,-0.01,0.42,0.14,0.04,0.11
1988-07-01,-0.04,0.02,-0.04,0.15666666666666665,0.26,0.17,0.02,0.04,-0.09,0.2,-0.03,-0.06,0.38,0.35,0.43,0.5,0.18,0.02,0.1,1.12,0.56,4.05,3.39,0.03,0.31,0.63,2.03,0.5,0.01,-0.06,0.04,0.19,0.16,0.04,0.86,0.05,0.21,-0.02,0.07,0.03,0.24,0.17,3.11,0.06,-0.03,0.04,0.14,1.99,-0.02,0.36,0.14,0.06,0.11
1988-10-01,0.05,0.18,-0.02,0.20333333333333334,0.26,-0.02,0.01,0.3,0.01,0.3,-0.04,-0.03,0.14,0.66,0.22,0.2,0.17,0.04,-0.11,0.75,0.79,4.1,3.86,0.06,0.7,0.62,1.86,0.49,0.11,0.03,0.02,0.11,0.32,-0.03,0.48,0.04,0.47,0.05,0.08,0.07,0.21,0.24,2.57,0.13,0.03,0.04,0.19,1.82,-0.03,0.49,0.15,0.09,0.07
1989-01-01,0.01,-0.01,-0.02,0.25666666666666665,0.18,0.22,0.04,0.1,0.0,0.27,-0.07,-0.02,0.14,0.4,0.36,0.37,0.2,-0.04,0.21,1.07,0.84,4.19,3.59,0.02666666666666667,0.41,0.7,1.92,0.4,0.05,0.0,0.05,0.18,0.13,0.15,0.89,0.02,0.27,0.02,0.03,0.04,0.33,0.16,2.92,0.11,0.01,0.05,0.13,1.85,-0.05,0.57,0.12,0.01,0.2
1989-04-01,0.0,0.07,-0.1,0.24333333333333332,0.03,1.02,0.02,0.04,-0.01,0.27,-0.11,-0.12,0.17,0.46,0.46,0.46,0.21,-0.04,0.96,1.75,0.86,4.87,3.26,0.04666666666666667,0.46,0.66,1.78,0.45,0.03,-0.08,0.03,0.07,0.2,0.07,1.72,0.01,0.23,0.03,0.04,0.04,0.23,0.18,3.42,0.07,-0.04,0.05,0.23,1.67,-0.04,0.59,0.16,0.05,0.05
1989-07-01,0.01,-0.16,-0.04,0.1466666666666667,0.08,-0.32,0.04,0.15,0.0,0.18,-0.13,-0.05,-0.01,0.35,0.23,0.23,0.2,0.07,-0.37,0.03,0.59,2.5,2.53,0.04666666666666667,0.37,0.67,1.6,0.5,0.07,-0.03,0.03,-0.02,0.13,0.05,-0.05,0.01,0.29,0.01,0.05,0.07,0.25,0.14,1.49,0.1,-0.02,0.03,0.06,1.46,-0.04,0.41,0.11,0.05,0.0
1989-10-01,-0.02,0.14,-0.09,0.22333333333333336,0.12,-0.15,0.01,0.15,-0.01,0.13,-0.15,-0.13,0.07,0.39,0.19,0.19,0.18,0.02,-0.18,0.43,0.7,3.19,3.02,0.013333333333333336,0.37,0.66,1.72,0.54,0.07,-0.05,0.01,0.07,0.13,0.0,0.31,-0.01,0.26,0.04,0.0,0.05,0.15,0.14,1.99,0.06,0.03,0.04,0.13,1.56,-0.04,0.56,0.11,0.07,0.05
1990-01-01,0.0,0.2,-0.13,0.25333333333333335,0.19,0.63,0.02,0.16,-0.01,0.27,-0.03,-0.17,0.12,0.43,0.59,0.59,0.21,0.04,0.59,1.85,0.9,5.18,3.79,0.04666666666666667,0.43,0.6,1.86,0.44,0.1,-0.04,0.02,0.02,0.21,0.05,1.66,0.01,0.3,0.09,0.15,0.06,0.28,0.22,3.68,0.13,-0.02,0.04,0.13,1.83,-0.03,0.63,0.12,0.04,0.13
1990-04-01,-0.04,0.2,-0.04,0.32,0.01,-0.17,0.03,0.07,-0.01,0.64,-0.13,-0.05,0.11,0.28,0.07,0.07,0.2,0.01,-0.13,0.39,1.1,3.71,3.76,0.04666666666666667,0.24,0.7,2.04,0.52,0.06,-0.02,0.05,-0.08,0.41,0.23,0.38,-0.03,0.21,0.01,0.1,0.01,0.24,0.28,2.31,0.11,-0.02,0.04,0.07,1.92,-0.02,0.46,0.1,0.02,0.12
1990-07-01,-0.01,0.05,0.0,0.17333333333333334,0.02,0.67,0.02,0.19,0.0,0.06,-0.13,-0.01,0.09,0.41,0.37,0.37,0.19,0.02,0.71,1.41,0.67,4.34,3.28,0.04666666666666667,0.41,0.75,1.98,0.61,0.08,0.03,0.05,0.0,0.07,-0.02,1.39,-0.01,0.35,0.03,0.01,0.05,0.26,0.16,3.25,0.14,-0.02,0.04,0.06,1.85,-0.01,0.61,0.11,0.03,0.04
1990-10-01,-0.12,0.01,-0.04,0.36000000000000004,0.07,1.36,0.0,0.26,0.0,0.45,-0.07,-0.06,0.08,0.36,0.16,0.17,0.15,-0.02,1.37,1.81,1.18,4.91,3.33,0.03,0.24,0.71,1.69,0.31,0.09,0.0,0.0,0.09,0.37,0.09,1.74,-0.12,0.34,0.04,0.02,0.06,0.19,0.24,3.43,0.09,-0.03,-0.01,0.02,1.62,0.0,0.73,0.08,0.11,0.11
1991-01-01,-0.02,0.03,-0.06,0.15,0.27,-0.91,0.05,0.2,-0.01,0.34,-0.13,-0.1,-0.16,0.53,0.37,0.37,0.23,0.02,-1.06,-0.04,0.55,2.54,2.99,0.03333333333333333,0.51,0.64,1.56,0.47,0.08,-0.02,0.17,0.19,0.1,0.25,-0.31,-0.01,0.48,0.04,0.05,0.05,0.35,0.3,1.38,0.11,0.02,0.08,0.05,1.43,0.04,0.2,0.11,0.09,-0.01
1991-04-01,-0.07,0.08,-0.07,0.14666666666666667,0.08,-0.55,0.03,-0.04,0.0,0.19,-0.02,-0.11,-0.07,0.13,0.26,0.27,0.16,0.02,-0.48,0.2,0.47,2.06,2.24,0.013333333333333336,0.06,0.56,1.24,0.24,-0.01,-0.08,0.08,0.06,0.03,0.16,0.12,-0.07,0.06,0.0,0.02,0.02,0.25,0.2,1.42,0.12,-0.03,0.07,0.07,1.22,-0.02,0.28,0.02,0.03,0.04
1991-07-01,0.02,0.11,-0.14,0.26333333333333336,0.12,-0.06,0.01,-0.04,0.02,0.49,-0.11,-0.23,0.27,0.09,-0.12,-0.13,0.14,0.05,-0.08,0.18,0.87,2.96,2.91,0.023333333333333334,0.11,0.61,1.69,0.25,0.02,-0.12,0.05,0.09,0.41,0.08,0.07,0.0,0.0,0.03,0.07,0.03,0.17,0.21,1.76,0.08,-0.09,0.07,0.09,1.57,-0.04,0.38,0.0,0.02,0.12
1991-10-01,-0.01,0.09,-0.1,0.25333333333333335,0.07,0.18,0.0,0.06,-0.02,0.37,-0.11,-0.13,0.06,-0.16,-0.04,-0.02,0.08,-0.03,0.11,0.4,0.77,2.58,2.31,0.006666666666666667,-0.18,0.64,1.57,0.45,0.06,-0.07,-0.06,0.06,0.34,0.03,0.33,0.0,-0.11,0.03,0.05,0.02,0.15,0.23,1.85,0.05,-0.01,0.0,-0.06,1.45,-0.06,0.4,-0.11,0.05,0.04
1992-01-01,-0.04,-0.06,-0.06,0.13666666666666666,0.0,-0.15,-0.01,0.13,-0.04,0.04,-0.18,-0.1,0.2,-0.06,0.05,0.09,0.05,0.07,-0.14,0.11,0.37,1.96,1.96,-0.01,-0.1,0.69,1.66,0.35,0.04,0.02,-0.13,-0.01,0.08,-0.03,0.11,0.0,0.0,0.08,0.0,0.02,0.22,0.24,1.59,0.02,-0.07,0.01,-0.05,1.48,-0.13,0.33,0.0,0.05,0.12
1992-04-01,-0.01,-0.01,-0.13,0.19666666666666666,0.09,0.12,0.01,-0.05,-0.01,0.13,-0.14,-0.19,0.17,0.15,0.04,0.05,0.1,0.02,0.08,0.41,0.68,2.71,2.36,0.03,0.14,0.61,1.43,0.3,0.03,-0.1,0.0,0.1,0.07,0.05,0.32,0.0,-0.01,0.02,0.01,0.02,0.2,0.17,1.7,0.11,-0.04,0.07,0.15,1.3,-0.07,0.55,0.04,0.01,-0.04
1992-07-01,-0.01,0.02,-0.14,0.19666666666666668,0.03,0.19,0.01,-0.01,0.0,0.31,-0.08,-0.19,0.08,0.17,0.15,0.15,0.11,-0.01,0.15,0.49,0.65,2.65,2.11,0.023333333333333334,0.16,0.57,1.23,0.24,0.06,-0.07,0.01,0.09,0.24,0.08,0.46,-0.01,0.06,0.07,0.04,0.03,0.14,0.2,1.64,0.06,-0.09,0.05,0.11,1.15,-0.05,0.34,0.05,-0.03,-0.03
1992-10-01,-0.02,0.04,-0.09,0.14,0.05,0.17,0.01,-0.12,-0.01,0.23,-0.14,-0.14,0.31,0.23,0.01,0.02,0.07,0.02,0.08,0.24,0.54,2.7,2.38,0.043333333333333335,0.22,0.6,1.71,0.38,-0.02,-0.11,0.07,0.08,0.09,0.14,0.19,-0.01,0.03,-0.01,0.0,0.02,0.04,0.1,1.8,0.04,-0.05,0.08,0.21,1.56,-0.03,0.31,0.08,-0.01,0.21
1993-01-01,-0.04,-0.04,-0.09,0.08333333333333333,-0.01,-0.02,0.0,-0.02,-0.04,0.09,-0.08,-0.13,0.22,0.22,0.0,0.04,0.05,-0.03,0.0,0.18,0.36,2.21,2.1,0.03666666666666667,0.18,0.48,1.45,0.34,0.02,-0.09,-0.01,0.1,0.0,0.1,0.19,0.0,0.05,0.0,-0.01,0.02,0.19,0.18,1.55,0.07,-0.07,-0.06,0.17,1.37,0.04,0.27,0.08,0.04,0.12
1993-04-01,0.0,-0.09,-0.14,0.11333333333333333,0.17,-0.09,0.01,-0.06,-0.01,0.15,0.01,-0.19,0.36,0.23,0.15,0.16,0.14,0.06,-0.21,0.09,0.42,2.59,2.34,0.02666666666666667,0.23,0.42,1.65,0.43,0.03,-0.12,0.03,0.17,0.07,0.08,-0.08,0.01,0.05,0.02,0.01,0.03,0.06,0.21,1.75,0.09,-0.07,0.02,0.17,1.65,0.0,0.27,0.09,0.0,0.0
1993-07-01,0.01,0.0,-0.12,0.10333333333333333,0.16,-0.15,0.01,-0.06,0.01,0.24,-0.06,-0.17,0.26,0.14,0.05,0.04,0.07,0.01,-0.21,-0.1,0.37,1.82,1.75,0.02,0.15,0.41,1.3,0.27,0.02,-0.1,-0.03,0.18,0.13,0.11,-0.26,0.0,0.0,0.01,0.01,0.02,-0.1,0.17,1.13,0.07,-0.04,-0.02,0.14,1.23,-0.01,0.13,0.08,0.01,0.04
1993-10-01,-0.07,-0.01,-0.11,0.13999999999999999,0.22,0.17,0.02,-0.03,-0.05,0.3,0.01,-0.16,0.03,0.23,0.12,0.19,0.07,0.06,0.17,0.51,0.53,2.35,1.89,0.03666666666666667,0.16,0.32,0.98,0.27,0.03,-0.1,0.11,0.17,0.23,0.07,0.3,-0.01,0.17,0.02,0.02,0.01,-0.04,0.18,1.5,0.08,-0.04,0.11,0.06,0.98,-0.02,0.23,0.09,0.03,0.03
1994-01-01,0.0,-0.17,-0.06,0.15,0.08,-0.1,0.02,0.12,0.01,0.15,-0.02,-0.08,-0.06,0.39,0.03,0.02,0.04,0.02,-0.09,-0.1,0.51,1.91,1.9,0.02333333333333333,0.39,0.41,1.04,0.36,0.02,-0.02,-0.04,0.08,0.05,0.1,-0.17,-0.01,0.16,0.04,0.02,0.02,0.06,0.21,0.93,0.06,-0.04,-0.01,0.23,1.02,-0.06,0.37,0.08,0.1,0.02
1994-04-01,-0.04,0.06,-0.05,0.13,0.2,-0.11,0.01,0.08,-0.04,0.26,0.01,-0.07,0.17,0.24,0.03,0.07,0.11,0.05,-0.1,0.33,0.51,2.22,2.23,0.04,0.2,0.34,1.09,0.29,0.04,-0.05,-0.01,0.15,0.2,0.06,0.14,0.0,0.13,0.01,0.01,0.04,0.1,0.14,1.43,-0.01,-0.01,0.02,0.12,1.1,-0.03,0.25,0.06,0.04,0.04
1994-07-01,-0.05,-0.06,-0.09,0.15666666666666665,0.23,0.37,0.01,-0.03,-0.04,0.18,0.03,-0.12,0.03,0.31,0.2,0.24,0.05,0.03,0.38,0.87,0.58,2.8,2.11,0.03333333333333333,0.27,0.38,0.94,0.24,0.04,-0.1,0.03,0.2,0.12,0.06,0.64,-0.01,0.13,-0.01,0.04,0.02,0.08,0.22,1.84,0.02,-0.03,0.05,0.18,0.97,-0.03,0.39,0.12,0.01,0.01
1994-10-01,0.02,-0.11,-0.14,0.16666666666666666,0.06,0.06,0.01,-0.14,0.01,0.26,0.05,-0.21,0.13,0.29,0.04,0.02,0.09,-0.07,0.08,0.12,0.64,2.35,2.05,0.043333333333333335,0.3,0.33,1.03,0.27,0.05,-0.15,0.07,0.2,0.17,0.09,0.06,0.01,0.07,-0.01,-0.01,0.0,0.07,0.18,1.2,0.05,-0.08,0.08,0.22,1.08,-0.02,0.38,0.14,-0.04,-0.03
1995-01-01,0.03,-0.13,-0.14,0.11666666666666665,0.13,-0.03,0.01,-0.09,0.0,0.26,-0.08,-0.2,0.07,0.44,0.13,0.13,0.08,0.01,-0.06,0.11,0.51,2.42,2.12,0.05666666666666667,0.46,0.46,1.22,0.37,0.05,-0.12,0.2,0.15,0.16,0.1,-0.02,0.03,0.24,0.02,0.03,0.03,0.04,0.15,1.24,0.06,-0.05,0.18,0.2,1.13,0.01,0.25,0.12,-0.04,0.03
1995-04-01,0.0,-0.06,-0.13,0.14,-0.03,-0.01,0.02,0.08,-0.02,0.2,0.02,-0.2,0.13,0.27,0.17,0.2,0.15,-0.02,0.01,0.19,0.55,2.5,2.14,0.04,0.27,0.23,1.28,0.32,0.1,-0.11,0.04,0.09,0.13,0.08,0.23,0.02,0.19,0.02,0.01,0.05,0.09,0.2,1.48,0.07,-0.11,0.02,0.08,1.29,0.0,0.34,0.07,0.04,0.17
1995-07-01,-0.02,-0.02,-0.2,0.08333333333333333,-0.11,-0.07,0.02,-0.05,-0.02,0.15,0.03,-0.31,0.15,0.23,0.05,0.07,0.1,0.05,-0.08,0.02,0.34,1.9,1.61,0.03,0.21,0.19,0.99,0.33,0.05,-0.19,0.1,-0.02,0.09,0.06,0.13,0.0,0.16,0.01,0.04,0.03,0.17,0.1,1.04,0.05,-0.18,0.08,0.07,1.02,-0.01,0.18,0.12,0.06,0.08
1995-10-01,-0.05,-0.01,-0.23,0.17333333333333334,-0.07,-0.09,0.02,-0.11,-0.04,0.4,-0.02,-0.35,0.2,0.01,0.08,0.11,0.08,-0.01,-0.11,0.02,0.57,2.0,1.67,0.02,-0.04,0.29,1.12,0.38,0.04,-0.23,-0.06,0.08,0.13,0.27,0.09,-0.02,-0.09,0.0,0.01,0.05,0.11,0.08,1.13,0.08,-0.15,-0.06,0.1,1.11,-0.02,0.17,0.09,0.04,0.0
1996-01-01,-0.06,0.0,-0.29,0.12666666666666668,0.03,0.37,0.01,-0.2,-0.01,0.06,0.01,-0.42,0.08,-0.06,0.16,0.17,0.07,0.02,0.33,0.62,0.5,2.23,1.28,0.04,-0.12,0.17,0.79,0.37,0.04,-0.26,0.05,0.14,0.14,-0.08,0.6,-0.05,-0.13,0.03,-0.02,0.04,0.09,0.14,1.43,0.08,-0.11,0.07,0.07,0.8,-0.02,0.45,0.01,-0.01,-0.13
1996-04-01,-0.01,-0.05,-0.31,0.006666666666666668,-0.22,0.43,0.03,-0.23,0.01,-0.17,0.07,-0.47,0.19,-0.09,0.23,0.23,0.15,-0.01,0.39,0.42,-0.11,1.98,0.84,-0.04,-0.1,0.22,1.24,0.35,0.01,-0.32,0.02,0.01,-0.12,-0.05,0.64,-0.02,-0.17,-0.01,-0.03,0.02,0.07,0.15,1.72,0.09,-0.18,0.02,0.08,1.3,-0.03,0.06,0.04,0.07,0.09
