Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
2003-01-01,1.7,1.3,1.1,7.5,0.2,3.8333333333333335,2.7,2.3,5.1,5.9,2.2,6.0,9.8,2.2,-1.4,2.3,5.2,0.09999999999999991,0.1,-12.2
2003-04-01,7.4,5.0,-1.3,6.6,3.4,3.3333333333333335,2.0,2.0,1.6,4.0,2.5,10.0,1.2,3.4,2.1,3.0,6.0,-1.8333333333333333,-0.6,-4.6
2003-07-01,8.9,4.3,1.2,6.5,6.2,3.966666666666667,2.0,2.8,3.0,4.4,4.0,8.2,3.8,4.5,3.4,3.6,11.8,2.1999999999999997,-0.6,0.5
2003-10-01,10.0,6.7,7.4,5.9,7.7,7.233333333333333,1.5,4.0,7.7,6.3,6.6,8.5,1.7,3.9,5.7,3.7,12.7,3.1666666666666665,-0.9,2.1
2004-01-01,13.1,8.1,10.6,6.9,7.8,9.533333333333333,2.4,4.4,7.5,10.1,5.8,9.1,3.3,5.1,6.1,4.5,12.7,7.466666666666666,-0.2,1.8
2004-04-01,7.7,6.5,11.9,2.8,7.3,8.966666666666667,1.2,4.3,13.1,12.1,4.5,4.1,0.5,3.0,4.2,3.4,13.5,10.866666666666667,0.3,-1.6
2004-07-01,6.1,8.5,9.5,4.6,6.6,8.4,1.5,3.4,9.3,11.3,4.8,6.9,0.7,2.2,5.5,3.1,8.3,6.966666666666666,-0.4,-0.1
2004-10-01,7.0,11.0,6.8,3.1,6.4,7.066666666666667,1.0,3.4,7.1,10.3,4.6,2.8,3.6,2.9,6.6,4.1,6.2,6.966666666666666,-0.2,-0.2
2005-01-01,4.7,10.5,6.1,3.0,7.3,6.033333333333334,0.9,3.4,8.8,8.3,6.2,3.4,2.1,2.8,7.5,3.2,7.3,4.966666666666667,-0.3,3.1
2005-04-01,7.9,11.3,7.1,2.2,7.9,6.7,0.7,3.5,4.9,6.2,8.4,2.7,1.4,3.4,8.6,4.0,6.6,3.6999999999999997,-0.2,2.7
2005-07-01,7.4,11.0,7.1,1.4,7.4,6.3,0.7,4.2,7.4,5.5,8.0,1.3,1.7,3.8,7.7,4.1,6.7,3.8666666666666667,0.3,0.0
2005-10-01,2.4,8.8,7.5,1.4,6.5,6.033333333333334,0.6,2.9,6.0,6.2,6.9,1.7,0.8,3.4,6.9,2.8,5.7,3.966666666666667,0.2,2.8
2006-01-01,5.1,12.7,9.2,3.8,7.1,7.400000000000001,1.8,3.5,6.5,7.8,7.3,1.6,7.7,3.0,9.4,3.3,2.7,5.8,0.6,5.4
2006-04-01,3.4,10.5,9.7,3.6,3.8,6.833333333333333,2.0,3.6,6.8,7.3,5.8,2.1,6.3,3.9,8.4,3.1,-4.6,7.033333333333334,1.0,7.2
2006-07-01,2.6,8.5,9.4,0.2,0.9,6.933333333333334,0.8,1.8,1.2,7.2,4.9,-0.7,1.8,3.3,7.8,2.4,-11.1,5.233333333333333,1.2,9.6
2006-10-01,6.5,7.0,9.6,2.0,-0.8,5.366666666666666,1.7,2.3,-1.9,3.5,5.1,3.3,-0.5,2.9,6.7,2.8,-15.4,7.0,1.5,8.2
2007-01-01,5.2,3.8,7.4,-1.5,-2.3,4.133333333333334,0.4,1.5,-4.1,3.0,5.9,0.3,-4.5,3.2,5.3,2.9,-19.2,6.300000000000001,1.7,8.1
2007-04-01,5.3,3.5,6.7,1.4,-1.7,3.233333333333333,1.6,1.6,-3.3,2.1,6.7,2.3,-0.2,2.1,6.2,2.4,-17.2,6.266666666666667,1.7,11.0
2007-07-01,4.2,3.6,10.8,3.7,-1.1,4.066666666666667,2.5,2.4,-2.2,2.4,6.4,5.3,0.9,1.7,7.2,2.4,-17.9,9.033333333333333,1.8,14.6
2007-10-01,4.6,5.0,10.0,4.3,0.2,4.266666666666667,2.6,2.5,-0.3,2.8,6.1,3.6,5.6,0.1,8.8,2.0,-20.8,6.7,1.6,19.0
2008-01-01,1.7,2.2,9.1,5.6,-1.3,3.6,2.4,2.9,-0.5,0.4,5.8,6.3,4.3,2.4,6.5,2.3,-23.8,5.466666666666666,0.4,15.5
2008-04-01,-2.4,-0.2,9.9,5.3,-4.5,2.4000000000000004,1.9,1.0,-7.9,-1.0,4.4,5.8,4.5,-0.5,3.5,1.2,-24.8,4.633333333333334,-0.1,9.1
2008-07-01,-6.6,-3.7,6.5,6.7,-6.3,0.4333333333333334,2.8,-0.4,-8.9,-1.6,2.9,7.9,4.5,-2.3,0.2,-0.4,-23.8,2.733333333333333,0.4,3.7
