Date,"Disposable personal income, chained (2017) dollars","Personal income excluding current transfer receipts, Billions of chained (2017) dollars","Total, Billions of chained (2017) dollars"
1947-01-01,,1559006.0,1475895.0
1947-04-01,-3.8,1546673.0,1461568.0
1947-07-01,11.1,1552849.0,1500603.0
1947-10-01,-5.5,1563069.0,1479486.0
1948-01-01,7.7,1592486.0,1507039.0
1948-04-01,13.0,1622311.0,1553784.0
1948-07-01,6.7,1643600.0,1579120.0
1948-10-01,2.3,1656875.0,1588002.0
1949-01-01,-7.6,1615494.0,1556734.0
1949-04-01,2.0,1612453.0,1564437.0
1949-07-01,2.6,1613218.0,1574581.0
1949-10-01,2.3,1616301.0,1583531.0
1950-01-01,34.6,1676465.0,1705662.0
1950-04-01,-1.2,1731512.0,1700659.0
1950-07-01,5.1,1786262.0,1721970.0
1950-10-01,2.5,1821540.0,1732476.0
1951-01-01,0.4,1834849.0,1734194.0
1951-04-01,9.2,1884843.0,1772842.0
1951-07-01,4.6,1914182.0,1792980.0
1951-10-01,-0.7,1923245.0,1789803.0
1952-01-01,-0.2,1932206.0,1789005.0
1952-04-01,5.2,1960938.0,1811778.0
1952-07-01,8.3,1994399.0,1848306.0
1952-10-01,8.9,2038996.0,1887925.0
1953-01-01,4.8,2063278.0,1910295.0
1953-04-01,5.3,2088478.0,1935233.0
1953-07-01,-1.9,2075078.0,1925922.0
1953-10-01,-1.3,2063396.0,1919427.0
1954-01-01,2.0,2048503.0,1929178.0
1954-04-01,0.4,2044626.0,1930997.0
1954-07-01,4.3,2063000.0,1951497.0
1954-10-01,7.9,2098828.0,1988983.0
1955-01-01,6.6,2136756.0,2021227.0
1955-04-01,9.2,2186347.0,2065971.0
1955-07-01,7.6,2228823.0,2104076.0
1955-10-01,4.7,2258461.0,2128597.0
1956-01-01,4.1,2284851.0,2150081.0
1956-04-01,3.8,2308799.0,2170454.0
1956-07-01,2.1,2319878.0,2181713.0
1956-10-01,6.3,2357613.0,2215462.0
1957-01-01,1.3,2362227.0,2222438.0
1957-04-01,2.8,2371296.0,2238099.0
1957-07-01,2.0,2381742.0,2249402.0
1957-10-01,-2.6,2355391.0,2234375.0
1958-01-01,-3.5,2321418.0,2214628.0
1958-04-01,2.8,2321499.0,2229995.0
1958-07-01,9.1,2376903.0,2279039.0
1958-10-01,6.3,2418359.0,2314044.0
1959-01-01,2.3,2437813.0,2327444.0
1959-04-01,6.6,2483457.0,2364977.0
1959-07-01,-0.5,2482429.0,2361784.0
1959-10-01,2.9,2501229.0,2378605.0
1960-01-01,4.7,2539890.0,2406059.0
1960-04-01,2.6,2555375.0,2421621.0
1960-07-01,0.8,2557793.0,2426236.0
1960-10-01,-0.2,2549358.0,2425231.0
1961-01-01,3.8,2560952.0,2448140.0
1961-04-01,6.2,2595457.0,2485330.0
1961-07-01,5.4,2629865.0,2518390.0
1961-10-01,8.0,2686504.0,2567495.0
1962-01-01,4.0,2715523.0,2592806.0
1962-04-01,4.4,2752710.0,2620784.0
1962-07-01,2.2,2772505.0,2634877.0
1962-10-01,3.6,2798787.0,2658270.0
1963-01-01,3.5,2815430.0,2681376.0
1963-04-01,3.7,2847185.0,2706043.0
1963-07-01,4.5,2876197.0,2735670.0
1963-10-01,6.7,2920403.0,2780210.0
1964-01-01,8.1,2958886.0,2834596.0
1964-04-01,11.2,3012495.0,2911035.0
1964-07-01,5.3,3059654.0,2948996.0
1964-10-01,4.6,3101501.0,2982565.0
1965-01-01,4.8,3151101.0,3017672.0
1965-04-01,4.6,3195648.0,3051732.0
1965-07-01,11.4,3248909.0,3135140.0
1965-10-01,8.3,3326807.0,3198311.0
1966-01-01,4.0,3371206.0,3229916.0
1966-04-01,1.1,3402333.0,3238486.0
1966-07-01,5.0,3443988.0,3278055.0
1966-10-01,4.8,3476274.0,3316465.0
1967-01-01,6.2,3512277.0,3366472.0
1967-04-01,3.2,3530366.0,3393192.0
1967-07-01,3.9,3569445.0,3425442.0
1967-10-01,3.0,3597327.0,3450452.0
1968-01-01,6.8,3654954.0,3507990.0
1968-04-01,6.7,3709021.0,3565717.0
1968-07-01,1.3,3767275.0,3577118.0
1968-10-01,3.1,3807258.0,3604797.0
1969-01-01,1.0,3841202.0,3613735.0
1969-04-01,4.0,3884188.0,3649115.0
1969-07-01,8.4,3940552.0,3723489.0
1969-10-01,3.1,3966757.0,3751967.0
1970-01-01,4.3,3989225.0,3791373.0
1970-04-01,5.0,3987844.0,3838128.0
1970-07-01,6.5,4021919.0,3899453.0
1970-10-01,-1.0,3996644.0,3890124.0
1971-01-01,8.2,4048097.0,3967754.0
1971-04-01,6.0,4079761.0,4025541.0
1971-07-01,2.1,4108030.0,4046575.0
1971-10-01,4.7,4161895.0,4093754.0
1972-01-01,1.8,4233192.0,4112500.0
1972-04-01,4.2,4289543.0,4155218.0
1972-07-01,8.0,4368082.0,4236036.0
1972-10-01,17.0,4501988.0,4405825.0
1973-01-01,3.1,4518722.0,4439242.0
1973-04-01,3.4,4556419.0,4476707.0
1973-07-01,1.8,4588757.0,4496944.0
1973-10-01,4.4,4647785.0,4546145.0
1974-01-01,-6.5,4558548.0,4470667.0
1974-04-01,-3.7,4506776.0,4429087.0
1974-07-01,0.4,4503875.0,4433089.0
1974-10-01,-0.5,4478758.0,4427166.0
1975-01-01,-0.6,4428445.0,4420507.0
1975-04-01,19.8,4435015.0,4624985.0
1975-07-01,-5.7,4476498.0,4557752.0
1975-10-01,3.2,4523986.0,4593382.0
1976-01-01,4.9,4579621.0,4648850.0
1976-04-01,2.3,4637143.0,4675253.0
1976-07-01,3.2,4674511.0,4711731.0
1976-10-01,2.6,4720535.0,4741624.0
1977-01-01,0.9,4744929.0,4752281.0
1977-04-01,3.8,4811201.0,4796947.0
1977-07-01,5.7,4870138.0,4863605.0
1977-10-01,7.9,4986190.0,4956571.0
1978-01-01,3.2,5023032.0,4995434.0
1978-04-01,4.3,5104430.0,5048307.0
1978-07-01,3.1,5156394.0,5087571.0
1978-10-01,2.7,5211544.0,5121040.0
1979-01-01,4.9,5273837.0,5182406.0
1979-04-01,-3.6,5235208.0,5135530.0
1979-07-01,1.9,5249012.0,5159548.0
1979-10-01,0.8,5269030.0,5170075.0
1980-01-01,1.5,5257511.0,5189801.0
1980-04-01,-3.5,5216102.0,5144288.0
1980-07-01,4.4,5214784.0,5200481.0
1980-10-01,5.5,5316801.0,5270033.0
1981-01-01,-0.7,5319583.0,5260568.0
1981-04-01,0.3,5342784.0,5264986.0
1981-07-01,8.8,5444091.0,5377654.0
1981-10-01,0.3,5431365.0,5381607.0
1982-01-01,1.0,5431228.0,5394349.0
1982-04-01,2.5,5459893.0,5427895.0
1982-07-01,2.1,5429172.0,5455773.0
1982-10-01,1.5,5429027.0,5475780.0
1983-01-01,4.1,5465641.0,5530602.0
1983-04-01,2.9,5511157.0,5570132.0
1983-07-01,6.1,5574159.0,5653010.0
1983-10-01,9.0,5709415.0,5775762.0
1984-01-01,7.9,5818008.0,5886423.0
1984-04-01,6.6,5923633.0,5981246.0
1984-07-01,5.3,6024581.0,6059290.0
1984-10-01,3.3,6081916.0,6109391.0
1985-01-01,-1.0,6119440.0,6094725.0
1985-04-01,8.2,6148088.0,6216366.0
1985-07-01,-1.1,6186461.0,6199198.0
1985-10-01,4.5,6263498.0,6267385.0
1986-01-01,5.5,6319018.0,6352191.0
1986-04-01,5.1,6393426.0,6431976.0
1986-07-01,2.3,6435490.0,6467893.0
1986-10-01,0.1,6465314.0,6468798.0
1987-01-01,3.0,6492639.0,6516465.0
1987-04-01,-4.1,6532078.0,6449165.0
1987-07-01,7.4,6602368.0,6565052.0
1987-10-01,5.9,6724795.0,6659742.0
1988-01-01,6.7,6791830.0,6769320.0
1988-04-01,4.7,6854589.0,6846743.0
1988-07-01,4.1,6929174.0,6916391.0
1988-10-01,3.9,7001028.0,6982304.0
1989-01-01,4.4,7095800.0,7057801.0
1989-04-01,-1.3,7083414.0,7034622.0
1989-07-01,2.7,7122125.0,7080900.0
1989-10-01,3.5,7177914.0,7141774.0
1990-01-01,3.2,7204142.0,7198988.0
1990-04-01,3.0,7259111.0,7252120.0
1990-07-01,0.1,7254275.0,7253072.0
1990-10-01,-3.2,7167723.0,7195145.0
1991-01-01,1.2,7117751.0,7217203.0
1991-04-01,3.0,7148756.0,7271412.0
1991-07-01,1.5,7169375.0,7299381.0
1991-10-01,3.2,7196290.0,7356679.0
1992-01-01,7.9,7278690.0,7498634.0
1992-04-01,3.8,7349958.0,7568955.0
1992-07-01,1.7,7379448.0,7601736.0
1992-10-01,1.8,7443374.0,7635426.0
1993-01-01,1.5,7409023.0,7664497.0
1993-04-01,1.3,7468628.0,7688356.0
1993-07-01,0.3,7478693.0,7694711.0
1993-10-01,2.8,7551292.0,7748230.0
1994-01-01,2.6,7578913.0,7798612.0
1994-04-01,4.1,7687362.0,7876413.0
1994-07-01,2.4,7725363.0,7922793.0
1994-10-01,5.9,7823166.0,8036225.0
1995-01-01,3.4,7881968.0,8104055.0
1995-04-01,1.1,7924459.0,8126503.0
1995-07-01,3.7,7996631.0,8200090.0
1995-10-01,2.3,8076618.0,8246721.0
1996-01-01,3.8,8156805.0,8323458.0
1996-04-01,3.7,8258405.0,8398628.0
1996-07-01,3.2,8336965.0,8464222.0
1996-10-01,2.0,8407965.0,8506952.0
1997-01-01,3.7,8516301.0,8584917.0
1997-04-01,3.5,8610696.0,8658721.0
1997-07-01,4.8,8739724.0,8761097.0
1997-10-01,6.0,8897212.0,8890468.0
1998-01-01,8.8,9109821.0,9079491.0
1998-04-01,5.7,9265045.0,9206767.0
1998-07-01,4.0,9380902.0,9298291.0
1998-10-01,3.0,9469866.0,9367951.0
1999-01-01,4.3,9556944.0,9468137.0
1999-04-01,0.3,9582248.0,9474540.0
1999-07-01,2.9,9665772.0,9541544.0
1999-10-01,5.3,9820158.0,9665147.0
2000-01-01,7.2,10041526.0,9833872.0
2000-04-01,4.8,10149256.0,9950190.0
2000-07-01,5.4,10283649.0,10081461.0
2000-10-01,2.7,10347659.0,10148995.0
2001-01-01,3.2,10424847.0,10229862.0
2001-04-01,-0.3,10383101.0,10221913.0
2001-07-01,9.5,10351237.0,10455451.0
2001-10-01,-6.5,10277618.0,10282075.0
2002-01-01,9.9,10283772.0,10528392.0
2002-04-01,3.3,10309245.0,10612984.0
2002-07-01,0.5,10301816.0,10625868.0
2002-10-01,2.5,10342371.0,10690885.0
2003-01-01,0.1,10302631.0,10693570.0
2003-04-01,4.6,10402758.0,10815095.0
2003-07-01,7.0,10473795.0,10999396.0
2003-10-01,1.1,10593537.0,11029280.0
2004-01-01,1.8,10592423.0,11079226.0
2004-04-01,4.2,10703651.0,11192715.0
2004-07-01,2.6,10813318.0,11264886.0
2004-10-01,4.7,10956217.0,11396020.0
2005-01-01,-5.3,10852128.0,11241419.0
2005-04-01,3.7,10956673.0,11344156.0
2005-07-01,1.5,11019094.0,11386022.0
2005-10-01,3.6,11148800.0,11487984.0
2006-01-01,7.6,11380421.0,11700733.0
2006-04-01,1.5,11446085.0,11744340.0
2006-07-01,0.6,11443898.0,11761357.0
2006-10-01,5.0,11623670.0,11904732.0
2007-01-01,3.1,11715388.0,11995959.0
2007-04-01,2.0,11806913.0,12055316.0
2007-07-01,0.7,11806279.0,12075627.0
2007-10-01,0.5,11800631.0,12090326.0
2008-01-01,1.7,11838740.0,12141632.0
2008-04-01,8.5,11724038.0,12391597.0
2008-07-01,-7.5,11660777.0,12152792.0
2008-10-01,4.6,11747491.0,12291354.0
2009-01-01,-0.3,11332447.0,12282014.0
2009-04-01,2.7,11181027.0,12364247.0
2009-07-01,-4.8,11046824.0,12214676.0
2009-10-01,0.6,11061952.0,12232605.0
2010-01-01,2.4,11073504.0,12306043.0
2010-04-01,6.8,11294983.0,12510578.0
2010-07-01,2.2,11385154.0,12578497.0
2010-10-01,1.5,11461036.0,12626116.0
2011-01-01,4.1,11734687.0,12753088.0
2011-04-01,-0.8,11740353.0,12727814.0
2011-07-01,2.1,11850361.0,12795613.0
2011-10-01,0.9,11874039.0,12824419.0
2012-01-01,6.3,12094421.0,13021210.0
2012-04-01,2.7,12180895.0,13108717.0
2012-07-01,-3.1,12101300.0,13004868.0
2012-10-01,11.6,12513015.0,13366760.0
2013-01-01,-14.9,12048713.0,12837167.0
2013-04-01,3.1,12167633.0,12934442.0
2013-07-01,1.4,12189016.0,12979638.0
2013-10-01,0.6,12224482.0,12997522.0
2014-01-01,4.7,12395933.0,13149135.0
2014-04-01,5.1,12524526.0,13314492.0
2014-07-01,3.8,12650626.0,13439658.0
2014-10-01,5.8,12850504.0,13631343.0
2015-01-01,5.6,13056257.0,13818963.0
2015-04-01,1.2,13101710.0,13860572.0
2015-07-01,2.3,13168312.0,13937925.0
2015-10-01,2.3,13247250.0,14016837.0
2016-01-01,3.3,13289808.0,14130636.0
2016-04-01,-0.8,13262926.0,14102140.0
2016-07-01,2.3,13354952.0,14181975.0
2016-10-01,2.6,13450799.0,14274209.0
2017-01-01,4.2,13591096.0,14422281.0
2017-04-01,4.4,13751373.0,14579572.0
2017-07-01,2.8,13867331.0,14681438.0
2017-10-01,2.5,14017876.0,14772454.0
2018-01-01,4.3,14071479.0,14927505.0
2018-04-01,3.6,14170464.0,15061420.0
2018-07-01,4.3,14336434.0,15220277.0
2018-10-01,3.9,14460277.0,15365341.0
2019-01-01,5.0,14629934.0,15554293.0
2019-04-01,-0.3,14648468.0,15542915.0
2019-07-01,2.7,14711302.0,15647739.0
2019-10-01,1.9,14812711.0,15722810.0
2020-01-01,2.6,14895368.0,15825897.0
2020-04-01,46.0,14120835.0,17395333.0
2020-07-01,-13.5,14724854.0,16778237.0
2020-10-01,-8.0,15096475.0,16431389.0
2021-01-01,57.6,15096708.0,18411663.0
2021-04-01,-27.7,15376945.0,16975295.0
2021-07-01,-4.5,15504682.0,16780248.0
2021-10-01,-4.5,15570275.0,16590361.0
2022-01-01,-10.9,15405110.0,16116797.0
2022-04-01,-1.8,15335732.0,16042803.0
2022-07-01,6.6,15527747.0,16301966.0
2022-10-01,3.8,15568446.0,16452853.0
2023-01-01,10.9,15702434.0,16885337.0
2023-04-01,3.4,15815992.0,17025223.0
2023-07-01,1.4,15923635.0,17082816.0
2023-10-01,3.2,16078642.0,17216520.0
2024-01-01,5.6,16243244.0,17451796.0
2024-04-01,1.0,16274708.0,17497191.0
2024-07-01,0.2,16281068.0,17506381.0
2024-10-01,1.9,16366663.0,17588796.0
