Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Residual,Services,Structures
1984-10-01,67827.0,,,,8268823.0,1790774.0,8320199.0,,,8093504.0,,,227191.0,-147819.5,5503827.0,1304786.0
1985-01-01,20964.0,,,,8409376.0,1788005.0,8400820.0,,,8167968.0,,,233239.0,-168993.5,5590356.0,1330926.0
1985-04-01,30728.0,,,,8476476.0,1796770.0,8474787.0,,,8236850.0,,,238246.0,-176419.0,5650309.0,1348129.0
1985-07-01,25833.0,,,,8610994.0,1828492.0,8604220.0,,,8362559.0,,,241976.0,-175275.5,5742118.0,1351553.0
1985-10-01,47518.0,,,,8645718.0,1838758.0,8668188.0,,,8422810.0,,,245649.0,-174907.5,5788721.0,1365476.0
1986-01-01,42151.0,,,,8732103.0,1856349.0,8749127.0,,,8502574.0,,,246852.0,-176807.0,5833819.0,1387446.0
1986-04-01,20508.0,,,,8801501.0,1854889.0,8788524.0,,,8541189.0,,,247642.0,-186128.0,5898603.0,1373802.0
1986-07-01,-11777.0,,,,8923397.0,1880337.0,8872601.0,,,8622889.0,,,250022.0,-184984.5,5954188.0,1369026.0
1986-10-01,-9977.0,,,,8979033.0,1891995.0,8920193.0,,,8667084.0,,,253384.0,-189103.0,5993571.0,1363970.0
1987-01-01,45442.0,,,,8973400.0,1899130.0,8986367.0,,,8729796.0,,,256823.0,-185246.5,6062604.0,1362651.0
1987-04-01,25481.0,,,,9094515.0,1932498.0,9083256.0,,,8824309.0,,,259208.0,-181533.5,6106530.0,1370554.0
1987-07-01,-2196.0,,,,9201506.0,1954589.0,9162024.0,,,8901030.0,,,261260.0,-180491.0,6144804.0,1386328.0
1987-10-01,95725.0,,,,9246175.0,2007327.0,9319332.0,,,9057309.0,,,262348.0,-164785.5,6219398.0,1399610.0
1988-01-01,21045.0,,,,9380205.0,2019139.0,9367502.0,,,9106163.0,,,261709.0,-167644.5,6288225.0,1361682.0
1988-04-01,29197.0,,,,9496071.0,2057199.0,9490594.0,,,9227660.0,,,263358.0,-164551.0,6338728.0,1389095.0
1988-07-01,24293.0,,,,9550236.0,2059627.0,9546206.0,,,9281310.0,,,265311.0,-166106.5,6413401.0,1377067.0
1988-10-01,33371.0,,,,9671757.0,2096603.0,9673405.0,,,9406590.0,,,267272.0,-163986.5,6489790.0,1383262.0
1989-01-01,65960.0,,,,9726830.0,2141298.0,9771725.0,,,9503916.0,,,268306.0,-146611.5,6524524.0,1378061.0
1989-04-01,50515.0,,,,9821224.0,2169445.0,9846293.0,,,9578027.0,,,268798.0,-141408.0,6579807.0,1354410.0
1989-07-01,13959.0,,,,9940009.0,2187508.0,9919228.0,,,9649414.0,,,270357.0,-146402.5,6619816.0,1369968.0
1989-10-01,20258.0,,,,9950234.0,2172006.0,9938767.0,,,9666409.0,,,272867.0,-154493.5,6683423.0,1360600.0
1990-01-01,18585.0,,,,10062251.0,2203604.0,10047386.0,,,9771542.0,,,276351.0,-154004.0,6728598.0,1389741.0
1990-04-01,46550.0,,,,10064478.0,2206530.0,10083855.0,,,9805377.0,,,278968.0,-151201.0,6795465.0,1357089.0
1990-07-01,30476.0,,,,10090739.0,2205610.0,10090569.0,,,9810807.0,,,280240.0,-151595.5,6834161.0,1323345.0
1990-10-01,-14323.0,,,,10050080.0,2161269.0,9998704.0,,,9718400.0,,,280763.0,-162702.5,6850089.0,1275696.0
1991-01-01,-22629.0,,,,10011711.0,2142039.0,9951916.0,,,9669898.0,,,282470.0,-163524.5,6866722.0,1233037.0
1991-04-01,-26846.0,,,,10094206.0,2152994.0,10029510.0,,,9744303.0,,,285656.0,-167438.0,6934633.0,1238909.0
1991-07-01,1133.0,,,,10116838.0,2173011.0,10080195.0,,,9797204.0,,,283460.0,-162397.5,6963309.0,1230895.0
1991-10-01,39445.0,,,,10104234.0,2179279.0,10115329.0,,,9828349.0,,,287445.0,-159394.5,6984008.0,1242481.0
1992-01-01,2985.0,,,,10271920.0,2189616.0,10236435.0,,,9950221.0,,,286692.0,-175667.0,7080266.0,1279417.0
1992-04-01,28683.0,,,,10346790.0,2231082.0,10347429.0,,,10062430.0,,,285485.0,-163334.0,7127127.0,1287844.0
1992-07-01,26307.0,,,,10454804.0,2258843.0,10449673.0,,,10167339.0,,,282840.0,-161689.0,7204875.0,1277894.0
1992-10-01,30178.0,,,,10561217.0,2286141.0,10558648.0,,,10277639.0,,,281543.0,-163567.5,7261869.0,1305027.0
1993-01-01,52093.0,,,,10551705.0,2295988.0,10576275.0,,,10294735.0,,,282066.0,-157727.0,7270062.0,1298157.0
1993-04-01,35149.0,,,,10633332.0,2319270.0,10637847.0,,,10356715.0,,,281648.0,-156179.0,7290531.0,1309769.0
1993-07-01,2328.0,,,,10722254.0,2302555.0,10688606.0,,,10408698.0,,,280405.0,-173543.0,7360852.0,1336310.0
1993-10-01,19545.0,,,,10846998.0,2357586.0,10833987.0,,,10557248.0,,,277202.0,-166386.5,7393758.0,1382860.0
1994-01-01,61934.0,,,,10905184.0,2409010.0,10939116.0,,,10662369.0,,,277206.0,-150329.0,7436598.0,1366164.0
1994-04-01,111808.0,,,,10998610.0,2457999.0,11087361.0,,,10809067.0,,,278747.0,-145210.0,7485350.0,1411374.0
1994-07-01,69811.0,,,,11110416.0,2467388.0,11152176.0,,,10871268.0,,,281378.0,-149586.5,7546817.0,1409094.0
1994-10-01,98103.0,,,,11204272.0,2536490.0,11279932.0,,,10997734.0,,,282683.0,-129592.5,7574050.0,1406135.0
1995-01-01,82042.0,,,,11263317.0,2545841.0,11319951.0,,,11037888.0,,,282577.0,-130738.5,7607156.0,1403023.0
1995-04-01,46814.0,,,,11337530.0,2532531.0,11353721.0,,,11068044.0,,,286145.0,-141208.5,7677463.0,1395520.0
1995-07-01,10647.0,,,,11472644.0,2554056.0,11450310.0,,,11162793.0,,,288012.0,-144320.0,7734835.0,1417076.0
1995-10-01,17123.0,,,,11539803.0,2595478.0,11528067.0,,,11235101.0,,,293390.0,-133397.0,7745468.0,1425056.0
1996-01-01,2307.0,,,,11644425.0,2611438.0,11614418.0,,,11316819.0,,,297982.0,-138617.0,7797169.0,1450731.0
1996-04-01,33592.0,,,,11804431.0,2677534.0,11808140.0,,,11507121.0,,,301437.0,-133024.5,7864384.0,1502388.0
1996-07-01,74191.0,,,,11862327.0,2736634.0,11914063.0,,,11608336.0,,,306105.0,-116754.5,7873776.0,1514706.0
1996-10-01,43244.0,,,,12022443.0,2760412.0,12037775.0,,,11726817.0,,,311299.0,-123539.0,7951762.0,1544769.0
1997-01-01,35640.0,,,,12096170.0,2795542.0,12115472.0,,,11799772.0,,,315984.0,-110820.5,7984381.0,1540852.0
1997-04-01,140404.0,,,,12204884.0,2886001.0,12317221.0,,,12001538.0,,,316078.0,-100571.5,8058333.0,1545962.0
