Date,Actual employer and household contributions (5+11),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Civilian,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Effect on personal income (1-11-15 or 21-11-15),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (26),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (16),Less: Pension service charges,Military,Monetary income receipts on assets (18+20),Monetary interest,Net change in benefit entitlements,Output,Plus: Household actual contributions (11),Plus: Implied funding of benefits from holding gains on assets
2009-01-01,140867.0,136670.0,4197.0,142.0,122096.0,62870.0,34357.6,54010.0,199578.0,345288.0,345288.0,195523.0,77483.0,195381.0,195381.0,145568.0,-86715.0,145568.0,101327.0,145568.0,145568.0,145568.0,142.0,122096.0,122096.0,142.0,145568.0,142.0,25311.2,44241.0,44241.0,77483.0,142.0,4197.0,0.0
2010-01-01,148819.0,144736.0,4083.0,136.0,123660.0,72152.0,35100.2,58727.0,206685.0,354779.0,354779.0,202738.0,83025.0,202602.0,202602.0,147958.0,-89956.0,147958.0,100829.0,147958.0,147958.0,147958.0,136.0,123660.0,123660.0,136.0,147958.0,136.0,26136.4,47129.0,47129.0,83025.0,136.0,4083.0,0.0
2011-01-01,153302.0,149327.0,3975.0,140.0,125246.0,81141.0,35740.4,60470.0,214464.0,368598.0,368598.0,210629.0,89218.0,210489.0,210489.0,153994.0,-92692.0,153994.0,100769.0,153994.0,153994.0,153994.0,140.0,125246.0,125246.0,140.0,153994.0,140.0,26479.6,53225.0,53225.0,89218.0,140.0,3975.0,0.0
2012-01-01,159993.0,156245.0,3748.0,139.0,131725.0,80885.0,37376.4,60496.0,218232.0,376108.0,376108.0,214623.0,86507.0,214484.0,214484.0,157736.0,-99358.0,157736.0,104980.0,157736.0,157736.0,157736.0,139.0,131725.0,131725.0,139.0,157736.0,139.0,27440.6,52756.0,52756.0,86507.0,139.0,3748.0,0.0
2013-01-01,163482.0,159949.0,3533.0,125.0,135673.0,68705.0,38491.8,59844.0,222231.0,384743.0,384743.0,218823.0,86558.0,218698.0,218698.0,162387.0,-103513.0,162387.0,121366.0,162387.0,162387.0,162387.0,125.0,135673.0,135673.0,125.0,162387.0,125.0,27771.2,41021.0,41021.0,86558.0,125.0,3533.0,0.0
2014-01-01,168299.0,164759.0,3540.0,129.0,139591.0,67632.0,39681.2,60779.0,226296.0,391942.0,391942.0,222885.0,86705.0,222756.0,222756.0,165517.0,-107391.0,165517.0,126464.0,165517.0,165517.0,165517.0,129.0,139591.0,139591.0,129.0,165517.0,129.0,28337.2,39053.0,39053.0,86705.0,129.0,3540.0,0.0
2015-01-01,174732.0,170908.0,3824.0,143.0,141875.0,72267.0,40316.8,61468.0,223984.0,386643.0,386643.0,220303.0,82109.0,220160.0,220160.0,162516.0,-113121.0,162516.0,122963.0,162516.0,162516.0,162516.0,143.0,141875.0,141875.0,143.0,162516.0,143.0,28755.4,39553.0,39553.0,82109.0,143.0,3824.0,0.0
2016-01-01,177286.0,173270.0,4016.0,136.0,143810.0,80584.0,41820.0,64960.0,220840.0,376855.0,376855.0,216960.0,77030.0,216824.0,216824.0,155880.0,-112190.0,155880.0,108636.0,155880.0,155880.0,155880.0,136.0,143810.0,143810.0,136.0,155880.0,136.0,28722.8,47244.0,47244.0,77030.0,136.0,4016.0,0.0
2017-01-01,182303.0,178035.0,4268.0,142.0,145747.0,83575.0,42399.6,64989.0,219803.0,374760.0,374760.0,215677.0,74056.0,215535.0,215535.0,154815.0,-117172.0,154815.0,107654.0,154815.0,154815.0,154815.0,142.0,145747.0,145747.0,142.0,154815.0,142.0,28925.4,47161.0,47161.0,74056.0,142.0,4268.0,0.0
2018-01-01,191653.0,186993.0,4660.0,144.0,149788.0,97237.0,44001.4,68582.0,221854.0,375269.0,375269.0,217338.0,72065.0,217194.0,217194.0,153271.0,-122927.0,153271.0,97755.0,153271.0,153271.0,153271.0,144.0,149788.0,149788.0,144.0,153271.0,144.0,29659.4,55516.0,55516.0,72065.0,144.0,4660.0,0.0
2019-01-01,199764.0,194883.0,4881.0,147.0,155313.0,95026.0,45607.2,73372.0,224610.0,375995.0,375995.0,219876.0,69297.0,219729.0,219729.0,151238.0,-126245.0,151238.0,100516.0,151238.0,151238.0,151238.0,147.0,155313.0,155313.0,147.0,151238.0,147.0,31221.8,50722.0,50722.0,69297.0,147.0,4881.0,0.0
2020-01-01,214500.0,209133.0,5367.0,180.0,158335.0,92012.0,47207.8,80452.0,225121.0,369969.0,369969.0,219934.0,66786.0,219754.0,219754.0,144669.0,-133868.0,144669.0,108642.0,144669.0,144669.0,144669.0,180.0,158335.0,158335.0,180.0,144669.0,180.0,32252.6,36027.0,36027.0,66786.0,180.0,5367.0,0.0
2021-01-01,236254.0,230427.0,5827.0,186.0,162212.0,152367.0,48555.6,89656.0,234575.0,379681.0,379681.0,228934.0,72364.0,228748.0,228748.0,144919.0,-146412.0,144919.0,66408.0,144919.0,144919.0,144919.0,186.0,162212.0,162212.0,186.0,144919.0,186.0,34297.6,78511.0,78511.0,72364.0,186.0,5827.0,0.0
2022-01-01,245336.0,238986.0,6350.0,192.0,168348.0,194554.0,51642.8,94492.0,242220.0,390140.0,390140.0,236062.0,73872.0,235870.0,235870.0,147728.0,-150652.0,147728.0,29970.0,147728.0,147728.0,147728.0,192.0,168348.0,168348.0,192.0,147728.0,192.0,34633.2,117758.0,117758.0,73872.0,192.0,6350.0,0.0
2023-01-01,289080.0,281910.0,7170.0,133.0,186031.0,190340.0,55467.6,100922.0,251087.0,401386.0,401386.0,244050.0,65056.0,243917.0,243917.0,150165.0,-188025.0,150165.0,62741.0,150165.0,150165.0,150165.0,133.0,186031.0,186031.0,133.0,150165.0,133.0,39155.8,87425.0,87425.0,65056.0,133.0,7170.0,0.0
