Date,Private fixed investment
2013-07-01,7.6
2013-10-01,6.7
2014-01-01,5.0
2014-04-01,12.3
2014-07-01,8.4
2014-10-01,5.6
2015-01-01,1.7
2015-04-01,4.4
2015-07-01,4.6
2015-10-01,-0.1
2016-01-01,3.0
2016-04-01,3.0
2016-07-01,4.5
2016-10-01,3.7
2017-01-01,5.3
2017-04-01,4.0
2017-07-01,3.1
2017-10-01,9.6
2018-01-01,7.1
2018-04-01,4.2
2018-07-01,1.1
2018-10-01,1.0
2019-01-01,1.1
2019-04-01,7.6
2019-07-01,4.3
2019-10-01,-1.1
2020-01-01,-3.0
2020-04-01,-27.8
2020-07-01,28.7
2020-10-01,16.0
2021-01-01,9.4
2021-04-01,5.5
2021-07-01,-2.1
2021-10-01,2.9
2022-01-01,8.5
2022-04-01,2.0
2022-07-01,-1.8
2022-10-01,-1.9
2023-01-01,3.1
2023-04-01,8.6
2023-07-01,2.6
2023-10-01,3.5
2024-01-01,6.5
2024-04-01,2.3
2024-07-01,2.1
2024-10-01,-1.1
